c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
449045,1347,449045,12712,449045.0,33327.0,167.10604000754526,86.3578484400476,192.68934341967645
449045,1349,449045,12711,449045.0,33254.0,162.89889817000108,77.64623487315416,184.00426513345167
449045,1306,449045,12559,449045.0,33195.0,158.6328959682135,68.99932879368916,175.29587601403256
449045,1263,449045,12511,449045.0,33160.0,154.3198177200586,60.4526920222669,166.5950088164169
449055,1268,449055,12513,449055.0,33152.0,149.97030476549187,52.03783550927443,157.92881119547658
449055,1293,449055,12586,449055.0,33239.0,145.5932473620434,43.78086326970866,149.32012545059615
449055,1317,449055,12659,449055.0,33267.0,141.1958293883967,35.702830218093865,140.78806724383492
449055,1320,449055,12619,449055.0,33226.0,136.7841547364846,27.821343552126848,132.349405895037
449055,1281,449055,12535,449055.0,33180.0,132.36386625031014,20.151830511374783,124.01948079628144
449055,1254,449055,12496,449055.0,33127.0,127.94022679217875,12.707306266103728,115.81193699520804
449066,1279,449066,12531,449066.0,33173.0,123.51772093833306,5.497199981477024,107.7378622794424
449066,1311,449066,12684,449066.0,33282.0,119.09985507923275,-1.4730270327378605,99.80558407618116
449066,1319,449066,12715,449066.0,33265.0,114.68960909065659,-8.200388705912445,92.02185231880861
449066,1281,449066,12632,449066.0,33189.0,110.29013066530347,-14.68198477462738,84.39343054124015
449066,1244,449066,12518,449066.0,33116.0,105.90492949663671,-20.913981219232483,76.9273909959081
449066,1224,449066,12468,449066.0,33079.0,101.53737490926888,-26.89285313363021,69.6298929860273
449076,1255,449076,12541,449076.0,33134.0,97.19002501552283,-32.617414853716895,62.50473734761209
449076,1246,449076,12611,449076.0,33174.0,92.86440857541508,-38.089573249492105,55.55297183648506
449076,1264,449076,12611,449076.0,33186.0,88.56129590599225,-43.313306377167464,48.773727411512084
449076,1261,449076,12570,449076.0,33142.0,84.2811066603179,-48.29321118615849,42.165344342633404
