c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
69628,6783,69628,62610,69628.0,99937.0,262.1486267536592,453.9908036222441,489.3723225425655
69628,6798,69628,62576,69628.0,99941.0,264.9036482589773,450.63216028325144,490.51548289904815
69639,6793,69639,62546,69639.0,99944.0,267.6676653052807,447.22728045284657,491.5793612474412
69639,6778,69639,62532,69639.0,99924.0,270.4342620225279,443.7926193714932,492.56057502976097
69639,6782,69639,62492,69639.0,99908.0,273.19674908619135,440.3427409415845,493.4554996378576
69639,6793,69639,62497,69639.0,99921.0,275.947987001961,436.8897260006948,494.2600190582805
69639,6808,69639,62551,69639.0,99930.0,278.680383689741,433.44286662996706,494.96936653042053
69639,6811,69639,62556,69639.0,99936.0,281.3861192135197,430.0090265654071,495.57826784085853
69649,6808,69649,62534,69649.0,99932.0,284.0574056465465,426.59345693801095,496.0812376494081
69649,6790,69649,62488,69649.0,99905.0,286.68656983102943,423.2002373864877,496.4727416452717
69649,6804,69649,62488,69649.0,99923.0,289.2659188081359,419.83199023898493,496.74711340213685
69649,6814,69649,62519,69649.0,99931.0,291.787602680522,416.4894201048195,496.8984527654489
69649,6818,69649,62539,69649.0,99919.0,294.2436896702409,413.17139114003214,496.9207467753846
69649,6821,69649,62520,69649.0,99933.0,296.6263726758748,409.87553588935566,496.80808177180796
69659,6811,69659,62483,69659.0,99907.0,298.92810318730386,406.59872183574294,496.55475664204545
69659,6814,69659,62464,69659.0,99883.0,301.1415799543789,403.336908248845,496.1552144268827
69659,6804,69659,62486,69659.0,99887.0,303.2596412219391,400.0846747284709,495.60373580470065
69659,6815,69659,62521,69659.0,99921.0,305.27514778749565,396.8351015433642,494.8941779545604
69659,6827,69659,62534,69659.0,99911.0,307.180962346861,393.58031763809527,494.0201475366083
69659,6826,69659,62507,69659.0,99901.0,308.97009011663414,390.3123158273781,492.9754177549619
69670,6821,69670,62474,69670.0,99887.0,310.63586561017013,387.0233534290836,491.75410806005254
69670,6800,69670,62435,69670.0,99869.0,312.17197127680924,383.7056552677511,490.35053359589926
69670,6815,69670,62462,69670.0,99893.0,313.5722517920948,380.35076130737957,488.7589755223495
69670,6824,69670,62515,69670.0,99898.0,314.8305589549694,376.9492598486779,486.97367797638634
69670,6835,69670,62503,69670.0,99881.0,315.9408560710627,373.4913416627776,484.989122447934
69670,6823,69670,62457,69670.0,99887.0,316.8974828568008,369.9675985990059,482.8002782180418
69680,6808,69680,62451,69680.0,99862.0,317.6952815462277,366.3691846342555,480.4026468976652
69680,6802,69680,62442,69680.0,99855.0,318.3294467687121,362.68741049288474,477.7921619383151
69680,6831,69680,62465,69680.0,99853.0,318.79530578348124,358.91346018675125,474.9650161121516
69680,6824,69680,62478,69680.0,99866.0,319.08835302141284,355.03856771694853,471.91758101351564
69680,6836,69680,62444,69680.0,99851.0,319.20452896502667,351.05446601287963,468.64654214965185
69680,6819,69680,62469,69680.0,99850.0,319.1404642357058,346.9537097129644,465.1491020028594
69690,6816,69690,62418,69690.0,99836.0,318.89353318919456,342.72973848217714,461.4230690323871
69690,6814,69690,62390,69690.0,99829.0,318.46175760032503,338.37669122241243,457.4668367492744
69690,6811,69690,62446,69690.0,99832.0,317.8436961103542,333.8890401941902,453.2793460238263
69690,6819,69690,62422,69690.0,99836.0,317.03842068654006,329.26153093139385,448.86014602591104
69690,6810,69690,62457,69690.0,99819.0,316.04557811595305,324.48965073359045,444.20958013731604
69690,6814,69690,62405,69690.0,99804.0,314.86547382637605,319.57015842025214,439.3289207822704
69701,6798,69701,62372,69701.0,99802.0,313.4991072133406,314.5011918164662,434.22032769077816
69701,6781,69701,62388,69701.0,99793.0,311.9480916792196,309.28189235931217,428.88676109171905
69701,6801,69701,62415,69701.0,99800.0,310.214475541496,303.9120993595882,423.3320096371468
69701,6796,69701,62422,69701.0,99818.0,308.30067017712855,298.392670467081,417.56090176418036
69701,6804,69701,62396,69701.0,99770.0,306.2096087823074,292.726147041621,411.57964370211226
69701,6777,69701,62351,69701.0,99765.0,303.9449393662187,286.91706418734,405.3959662381242
69711,6776,69711,62310,69711.0,99740.0,301.5110232007481,280.97157954351457,399.018905997175
69711,6771,69711,62336,69711.0,99737.0,298.91277098576387,274.89673638583537,392.4584860911632
69711,6775,69711,62358,69711.0,99747.0,296.1555290787066,268.70009342863335,385.72557916531684
69711,6780,69711,62356,69711.0,99725.0,293.24513705198245,262.3900853691046,378.83200918045395
69711,6751,69711,62330,69711.0,99710.0,290.1880592647718,255.97664644496427,371.7907094406423
69711,6753,69711,62281,69711.0,99686.0,286.991385862441,249.47140865988024,364.6156855387932
69721,6743,69721,62253,69721.0,99680.0,283.6626787081575,242.88726590741976,357.3217989883491
69721,6745,69721,62272,69721.0,99674.0,280.20985224614174,236.23768407720775,349.92458357689895
