c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
35081.0,5884.0,35081.0,68189.0,35081.0,88894.0,-489.76174401684943,-173.67439413011232,-231.15653755080953
35081.0,5889.0,35081.0,68129.0,35081.0,88889.0,-479.86518878496753,-165.5298400753261,-223.49227716608934
35081.0,5921.0,35081.0,68193.0,35081.0,88944.0,-469.62715180582404,-157.34404432033278,-215.68074925372508
35081.0,5945.0,35081.0,68323.0,35081.0,88959.0,-459.06169213905514,-149.1390462932861,-207.73945469771388
35091.0,5973.0,35091.0,68351.0,35091.0,88982.0,-448.18303754530837,-140.93614264575803,-199.68543129341901
35091.0,5963.0,35091.0,68277.0,35091.0,88959.0,-437.005251735231,-132.75413621439657,-191.53479852429302
35091.0,5949.0,35091.0,68222.0,35091.0,88949.0,-425.542189032961,-124.60882546969577,-183.30275727755875
35091.0,5961.0,35091.0,68209.0,35091.0,88944.0,-413.80788372642246,-116.51418513558306,-175.00405207003982
35091.0,6008.0,35091.0,68268.0,35091.0,89004.0,-401.8170154505841,-108.48386132971234,-166.65346220971162
35091.0,6056.0,35091.0,68381.0,35091.0,89038.0,-389.58489159613646,-100.53151558463384,-158.26574869825842
35101.0,6063.0,35101.0,68354.0,35101.0,89058.0,-377.1268855539762,-92.66976029072038,-149.85498556484043
35101.0,6052.0,35101.0,68320.0,35101.0,89008.0,-364.457903013474,-84.90891554599887,-141.43392679487104
35101.0,6044.0,35101.0,68223.0,35101.0,89014.0,-351.5924141269274,-77.25706432589047,-133.01407622851147
35101.0,6065.0,35101.0,68229.0,35101.0,89018.0,-338.54495796313137,-69.72151491686313,-124.60632442448627
35101.0,6106.0,35101.0,68347.0,35101.0,89065.0,-325.33057034622084,-62.31030432693052,-116.22142964275375
35101.0,6137.0,35101.0,68464.0,35101.0,89088.0,-311.9647359289249,-55.03206678427517,-107.86991153459206
35112.0,6156.0,35112.0,68456.0,35112.0,89078.0,-298.4629672194467,-47.894093025485944,-99.56158587033332
