c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
379748.0,13301.0,379748.0,9715.0,379748.0,25033.0,101.88778954755772,87.82683143397949,180.93339398449854
379748.0,13281.0,379748.0,9711.0,379748.0,25023.0,93.40477761946163,81.62816055456348,170.59524180311837
379758.0,13282.0,379758.0,9693.0,379758.0,25002.0,84.7139792304381,75.2761851855996,159.95877700423097
379758.0,13261.0,379758.0,9677.0,379758.0,24984.0,75.82914218698878,68.78123623952543,149.03914332512946
379758.0,13244.0,379758.0,9660.0,379758.0,24973.0,66.76416866884882,62.15363648250191,137.8519146360332
379758.0,13236.0,379758.0,9651.0,379758.0,24948.0,57.53296967878681,55.403411290394814,126.41291377826536
379758.0,13224.0,379758.0,9669.0,379758.0,24946.0,48.14930289657423,48.54009866690862,114.73806005441514
379758.0,13220.0,379758.0,9660.0,379758.0,24933.0,38.626696696402064,41.57282009705621,102.84328128472282
379768.0,13202.0,379768.0,9653.0,379768.0,24918.0,28.978447739481766,34.510530976338046,90.74452026833015
379768.0,13182.0,379768.0,9629.0,379768.0,24901.0,19.217588493150828,27.362162948878463,78.45775215914011
379768.0,13172.0,379768.0,9615.0,379768.0,24873.0,9.356749367673103,20.136512153998567,65.99890295696153
379768.0,13171.0,379768.0,9619.0,379768.0,24872.0,-0.5919979316352624,12.842002609389084,53.383676690137264
379768.0,13168.0,379768.0,9623.0,379768.0,24854.0,-10.617148277754637,5.486585506083628,40.627418267310986
379768.0,13144.0,379768.0,9618.0,379768.0,24845.0,-20.70764082673034,-1.9221125300710753,27.745096484860056
379779.0,13136.0,379779.0,9602.0,379779.0,24825.0,-30.852803229353498,-9.37656853399318,14.75133181368389
379779.0,13131.0,379779.0,9585.0,379779.0,24803.0,-41.04241127950954,-16.869304655648534,1.6603612211215477
379779.0,13115.0,379779.0,9584.0,379779.0,24778.0,-51.26672471008135,-24.39301043240596,-11.514111040129194
379779.0,13104.0,379779.0,9574.0,379779.0,24777.0,-61.51647720791311,-31.940672082699024,-24.75913059223268
379779.0,13109.0,379779.0,9571.0,379779.0,24776.0,-71.78286953409687,-39.50559572970377,-38.06258825647859
379779.0,13091.0,379779.0,9567.0,379779.0,24758.0,-82.05750129301052,-47.081357162595324,-51.41308468219006
379789.0,13074.0,379789.0,9543.0,379789.0,24737.0,-92.3322740171703,-54.66175525513968,-64.79974883439704
379789.0,13061.0,379789.0,9512.0,379789.0,24719.0,-102.59941762102201,-62.24091495858056,-78.21223129871441
379789.0,13046.0,379789.0,9529.0,379789.0,24699.0,-112.85163036872987,-69.81358661463173,-91.64085049746268
379789.0,13037.0,379789.0,9522.0,379789.0,24711.0,-123.08221320857172,-77.37535440960167,-105.07671204301664
379789.0,13047.0,379789.0,9528.0,379789.0,24694.0,-133.28510764333345,-84.9225274830329,-118.51163357524666
379789.0,13028.0,379789.0,9523.0,379789.0,24685.0,-143.45477461995807,-92.45186561478863,-131.93790977793628
379799.0,13005.0,379799.0,9497.0,379799.0,24656.0,-153.5860421316633,-99.96037638942104,-145.3481505715975
379799.0,13008.0,379799.0,9504.0,379799.0,24644.0,-163.67412003903837,-107.44529322742642,-158.73532023074824
379799.0,12997.0,379799.0,9493.0,379799.0,24630.0,-173.71467907019615,-114.9041412918192,-172.0928805293264
379799.0,12985.0,379799.0,9489.0,379799.0,24611.0,-183.70382214081195,-122.33472744004936,-185.4149005305528
379799.0,12987.0,379799.0,9494.0,379799.0,24610.0,-193.63800480009246,-129.7350502556444,-198.69609883099588
379799.0,12968.0,379799.0,9482.0,379799.0,24602.0,-203.5139595718585,-137.10316666018775,-211.93179821575995
379810.0,12961.0,379810.0,9453.0,379810.0,24576.0,-213.32863442699232,-144.43710219330373,-225.11780099410998
379810.0,12932.0,379810.0,9442.0,379810.0,24558.0,-223.07922442017832,-151.73498311238563,-238.25034504420427
379810.0,12938.0,379810.0,9462.0,379810.0,24560.0,-232.76330873313566,-158.99528716645278,-251.3261953462009
379810.0,12937.0,379810.0,9453.0,379810.0,24538.0,-242.37893334209593,-166.21685693043008,-264.34268696969906
379810.0,12922.0,379810.0,9433.0,379810.0,24545.0,-251.92450987125147,-173.39868384515063,-277.2976346267703
379810.0,12909.0,379810.0,9428.0,379810.0,24524.0,-261.3986723579411,-180.53981715361152,-290.1891797104229
379820.0,12895.0,379820.0,9427.0,379820.0,24509.0,-270.8002781657096,-187.6394503853087,-303.0156558426178
379820.0,12896.0,379820.0,9421.0,379820.0,24502.0,-280.128492379977,-194.6969526935884,-315.7755458499861
379820.0,12887.0,379820.0,9409.0,379820.0,24494.0,-289.3827978747262,-201.7118066226539,-328.467473560904
379820.0,12886.0,379820.0,9410.0,379820.0,24473.0,-298.5628946520322,-208.6835676781714,-341.09014345642754
379820.0,12883.0,379820.0,9406.0,379820.0,24465.0,-307.6685431143964,-215.61183560176477,-353.6422970291163
379820.0,12858.0,379820.0,9378.0,379820.0,24457.0,-316.6994241370253,-222.49621712858368,-366.1227162505056
