c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138081.0,71355.0,138081.0,110366.0,138081.0,47500.0,-335.80923205497464,-80.03974055651304,-273.39996598603364
138081.0,71348.0,138081.0,110385.0,138081.0,47525.0,-338.5705390657445,-77.6624040130704,-270.70927603239625
138081.0,71372.0,138081.0,110366.0,138081.0,47552.0,-341.24623319365537,-75.25564958674008,-267.7796872627228
138081.0,71363.0,138081.0,110411.0,138081.0,47526.0,-343.82400476175167,-72.82413569098283,-264.6052461297951
138092.0,71361.0,138092.0,110375.0,138092.0,47524.0,-346.2907232522207,-70.37183806094234,-261.17897380993156
138092.0,71359.0,138092.0,110393.0,138092.0,47527.0,-348.63236162621627,-67.90196881343553,-257.49307267915196
138092.0,71329.0,138092.0,110389.0,138092.0,47527.0,-350.8341004032287,-65.41704595401359,-253.5392401208241
138092.0,71328.0,138092.0,110405.0,138092.0,47529.0,-352.88061397440134,-62.91897156652507,-249.30886325598254
138092.0,71336.0,138092.0,110414.0,138092.0,47528.0,-354.75643439132944,-60.408956705278165,-244.79315961846618
138092.0,71338.0,138092.0,110429.0,138092.0,47543.0,-356.4461340846654,-57.887317213277214,-239.98330857125563
138102.0,71330.0,138102.0,110393.0,138102.0,47532.0,-357.9342956300629,-55.35329220799306,-234.87054136505856
138102.0,71322.0,138102.0,110377.0,138102.0,47506.0,-359.205509880111,-52.80517866355549,-229.44630749628885
138102.0,71325.0,138102.0,110407.0,138102.0,47517.0,-360.24451021655557,-50.24079627728298,-223.70268965854962
138102.0,71307.0,138102.0,110407.0,138102.0,47518.0,-361.03636044606225,-47.657799002406115,-217.63290970703378
138102.0,71328.0,138102.0,110428.0,138102.0,47565.0,-361.5666280227717,-45.053570230662764,-211.2315575681148
138102.0,71328.0,138102.0,110437.0,138102.0,47557.0,-361.8214580821287,-42.424924309073404,-204.49442188581855
138112.0,71328.0,138112.0,110387.0,138112.0,47550.0,-361.7875001807037,-39.76792005896148,-197.4182220891522
138112.0,71309.0,138112.0,110386.0,138112.0,47563.0,-361.45186425283157,-37.07808995867728,-190.00061842802117
138112.0,71310.0,138112.0,110393.0,138112.0,47559.0,-360.8022903721439,-34.35102844907432,-182.2404454417592
138112.0,71316.0,138112.0,110385.0,138112.0,47583.0,-359.82742952207775,-31.58285380788385,-174.1378977541128
138112.0,71321.0,138112.0,110382.0,138112.0,47568.0,-358.51700708742845,-28.770408139537253,-165.69462168215088
138112.0,71322.0,138112.0,110411.0,138112.0,47605.0,-356.8618289561432,-25.91137166385444,-156.91378550283918
138123.0,71323.0,138123.0,110401.0,138123.0,47604.0,-354.8537621026542,-23.00424283533563,-147.80009796509347
138123.0,71332.0,138123.0,110411.0,138123.0,47623.0,-352.4857567314475,-20.04819650927223,-138.35973244482483
138123.0,71329.0,138123.0,110404.0,138123.0,47631.0,-349.7518738148533,-17.043020552508068,-128.6002415851201
138123.0,71336.0,138123.0,110447.0,138123.0,47641.0,-346.64731218057926,-13.989098545658123,-118.53052697968474
138123.0,71365.0,138123.0,110442.0,138123.0,47654.0,-343.1684029591264,-10.88720990595705,-108.16084543994529
138123.0,71353.0,138123.0,110425.0,138123.0,47690.0,-339.31248047854666,-7.738234439304975,-97.50277870230988
138133.0,71350.0,138133.0,110414.0,138133.0,47670.0,-335.07775519484437,-4.543155923030767,-86.56910957806738
138133.0,71344.0,138133.0,110419.0,138133.0,47681.0,-330.4634315889166,-1.3034193301776327,-75.37379035171071
138133.0,71384.0,138133.0,110409.0,138133.0,47715.0,-325.46994763834783,1.9786882069081315,-63.932110268356325
138133.0,71384.0,138133.0,110480.0,138133.0,47743.0,-320.098981735637,5.299916065191695,-52.26072774279311
138133.0,71416.0,138133.0,110465.0,138133.0,47753.0,-314.35317846810204,8.65636861864543,-40.37737858803541
138133.0,71385.0,138133.0,110477.0,138133.0,47763.0,-308.23587450183396,12.044075440598263,-28.300561258394907
138143.0,71397.0,138143.0,110435.0,138143.0,47772.0,-301.75110173432967,15.459250749609168,-16.04945149884901
138143.0,71429.0,138143.0,110465.0,138143.0,47795.0,-294.9038008228956,18.8980560424189,-3.643960805304232
138143.0,71410.0,138143.0,110465.0,138143.0,47814.0,-287.6999110424116,22.35627280561262,8.895256203515146
138143.0,71444.0,138143.0,110472.0,138143.0,47828.0,-280.14631404753413,25.829237560913924,21.546908884482036
138143.0,71462.0,138143.0,110482.0,138143.0,47883.0,-272.25076288704804,29.311948315086852,34.28927864183032
138143.0,71455.0,138143.0,110485.0,138143.0,47874.0,-264.02173128782965,32.79916852661327,47.1005610397811
138154.0,71464.0,138154.0,110475.0,138154.0,47888.0,-255.46831247482467,36.285480180491604,59.9591827831091
138154.0,71487.0,138154.0,110478.0,138154.0,47913.0,-246.6002967691358,39.76521126384418,72.84386963780833
138154.0,71513.0,138154.0,110508.0,138154.0,47920.0,-237.42818077467228,43.23231472020653,85.73360967395695
138154.0,71523.0,138154.0,110527.0,138154.0,47956.0,-227.9629459375529,46.68048238722595,98.60771894042801
138154.0,71511.0,138154.0,110533.0,138154.0,47962.0,-218.21583886588718,50.10355077578545,111.44599811040166
138154.0,71524.0,138154.0,110521.0,138154.0,47956.0,-208.19843030317244,53.49587712050911,124.22885124993138
138164.0,71546.0,138164.0,110485.0,138164.0,47978.0,-197.92285322607563,56.8523297234309,136.93719939649787
138164.0,71550.0,138164.0,110501.0,138164.0,47990.0,-187.40192017835506,60.16784420584504,149.55227255732308
138164.0,71591.0,138164.0,110542.0,138164.0,48024.0,-176.64905266130262,63.43698903308072,162.05554990315056
138164.0,71615.0,138164.0,110541.0,138164.0,48060.0,-165.67804847304387,66.65405045712541,174.42896614309592
138164.0,71596.0,138164.0,110562.0,138164.0,48042.0,-154.50275941709842,69.81349944038513,186.6552713516806
138164.0,71602.0,138164.0,110543.0,138164.0,48048.0,-143.13701689458995,72.91035504982122,198.7181886572049
138174.0,71601.0,138174.0,110535.0,138174.0,48079.0,-131.5949607557402,75.94022593529823,210.6022266668195
138174.0,71634.0,138174.0,110543.0,138174.0,48086.0,-119.89144109182041,78.8990826693306,222.29250940318667
138174.0,71639.0,138174.0,110563.0,138174.0,48113.0,-108.04217680274695,81.78304036636169,233.77484686625752
138174.0,71687.0,138174.0,110569.0,138174.0,48101.0,-96.06365224182463,84.58841479690048,245.03585445131864
138174.0,71712.0,138174.0,110562.0,138174.0,48154.0,-83.97279594898362,87.31193879508587,256.0629941891167
138174.0,71690.0,138174.0,110567.0,138174.0,48135.0,-71.78658057766143,89.95085980470051,266.8446434755083
138185.0,71718.0,138185.0,110570.0,138185.0,48149.0,-59.52189357163326,92.50288628938353,277.37016943684296
138185.0,71746.0,138185.0,110580.0,138185.0,48155.0,-47.19567601859467,94.96614701732884,287.62983526942855
138185.0,71759.0,138185.0,110569.0,138185.0,48182.0,-34.824914269801695,97.33921388862657,297.6146421098532
138185.0,71763.0,138185.0,110605.0,138185.0,48203.0,-22.426463537936968,99.62114586822722,307.3163617425365
138185.0,71793.0,138185.0,110577.0,138185.0,48189.0,-10.016974100151401,101.81158442619824,316.72771591572337
138185.0,71778.0,138185.0,110552.0,138185.0,48200.0,2.3870703222759175,103.9107548080353,325.8424131418219
138195.0,71809.0,138195.0,110572.0,138195.0,48217.0,14.769255165935135,105.91914649234542,334.65497846051244
138195.0,71838.0,138195.0,110589.0,138195.0,48215.0,27.11315199985978,107.8371682951263,343.16061112252953
138195.0,71854.0,138195.0,110586.0,138195.0,48249.0,39.40244063617513,109.66518285146753,351.35517560815777
138195.0,71884.0,138195.0,110554.0,138195.0,48264.0,51.621212624394275,111.40365738007279,359.2353241141087
138195.0,71895.0,138195.0,110579.0,138195.0,48230.0,63.754270474664224,113.0530219287846,366.79867171812316
138195.0,71889.0,138195.0,110601.0,138195.0,48252.0,75.78730170038216,114.6134657908448,374.043720773103
138205.0,71904.0,138205.0,110581.0,138205.0,48254.0,87.706816868146,116.08504444355009,380.96953258734686
138205.0,71944.0,138205.0,110589.0,138205.0,48284.0,99.49997961485423,117.46787237051939,387.5755491633896
138205.0,71959.0,138205.0,110616.0,138205.0,48310.0,111.1546710799089,118.76216498992494,393.8617552585489
138205.0,71953.0,138205.0,110595.0,138205.0,48292.0,122.6597527426805,119.96833407897654,399.82902091183416
138205.0,71971.0,138205.0,110583.0,138205.0,48297.0,134.00515367057284,121.0870881176906,405.47928242791886
138205.0,71958.0,138205.0,110586.0,138205.0,48282.0,145.18168742530406,122.11926636108791,410.815369536999
138216.0,71982.0,138216.0,110615.0,138216.0,48300.0,156.18076894956562,123.06560899058508,415.8406628292695
138216.0,72007.0,138216.0,110603.0,138216.0,48318.0,166.99421387192007,123.92681544575134,420.5588829113992
138216.0,72029.0,138216.0,110620.0,138216.0,48339.0,177.61429252818658,124.70378770316509,424.97418117157326
138216.0,72050.0,138216.0,110604.0,138216.0,48316.0,188.0340126575412,125.39778730027527,429.09140251572865
138216.0,72045.0,138216.0,110609.0,138216.0,48316.0,198.24739424789823,126.01044333762934,432.916151624074
138216.0,72050.0,138216.0,110579.0,138216.0,48318.0,208.24952628988467,126.54361344308148,436.454549243824
138226.0,72067.0,138226.0,110613.0,138226.0,48343.0,218.03640563419407,126.99914014556538,439.71298999261717
