c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138244.0,6673.0,138244.0,11940.0,138244.0,27220.0,-103.91880830757583,-65.27650206274677,-91.04032308602967
138244.0,6649.0,138244.0,12010.0,138244.0,27221.0,-110.2901685518143,-66.39556935506026,-96.53311447190964
138244.0,6646.0,138244.0,11989.0,138244.0,27239.0,-116.83877534803668,-67.64241652672465,-102.25324804283849
138244.0,6634.0,138244.0,11948.0,138244.0,27221.0,-123.56139840383898,-69.03614352043913,-108.20550187898583
138255.0,6642.0,138255.0,11974.0,138255.0,27173.0,-130.45505621011992,-70.59449694838098,-114.3938770017154
138255.0,6664.0,138255.0,12076.0,138255.0,27251.0,-137.51694897467428,-72.33396093043562,-120.82174336071638
138255.0,6683.0,138255.0,12100.0,138255.0,27289.0,-144.74406656614042,-74.26891795435677,-127.49166073622946
138255.0,6656.0,138255.0,12106.0,138255.0,27204.0,-152.13259501215987,-76.41004720536984,-134.4045506584298
138255.0,6647.0,138255.0,11999.0,138255.0,27190.0,-159.67753651900017,-78.76328747526193,-141.55923922195058
138255.0,6612.0,138255.0,11940.0,138255.0,27182.0,-167.3727859876219,-81.33030736802259,-148.9529677664296
138265.0,6590.0,138265.0,11939.0,138265.0,27152.0,-175.21154681298088,-84.11013857294647,-156.58210649389682
138265.0,6579.0,138265.0,11905.0,138265.0,27138.0,-183.18687771700036,-87.10076802163806,-164.44260767359498
138265.0,6563.0,138265.0,11963.0,138265.0,27129.0,-191.29217250447562,-90.29994016464559,-172.5303867497978
138265.0,6552.0,138265.0,11944.0,138265.0,27145.0,-199.52147986947296,-93.70519775210163,-180.8415768382947
138265.0,6550.0,138265.0,11868.0,138265.0,27165.0,-207.86970595965056,-97.313687354019,-189.37241996736628
138265.0,6545.0,138265.0,11924.0,138265.0,27091.0,-216.33270393626555,-101.12240966756917,-198.1189328028642
138275.0,6563.0,138275.0,11863.0,138275.0,27107.0,-224.9071980779537,-105.12876089864403,-207.07688326676688
138275.0,6595.0,138275.0,12020.0,138275.0,27151.0,-233.59044340324508,-109.33058820429386,-216.24203365786516
138275.0,6579.0,138275.0,12009.0,138275.0,27176.0,-242.3795925924103,-113.72528168582753,-225.60984902209788
138275.0,6561.0,138275.0,11965.0,138275.0,27139.0,-251.27110219600394,-118.30831990023229,-235.17460008563907
138275.0,6510.0,138275.0,11895.0,138275.0,27080.0,-260.2606416608237,-123.07264106911246,-244.92882824308802
138275.0,6516.0,138275.0,11835.0,138275.0,27037.0,-269.34353564590344,-128.0095180826866,-254.8638001438221
138286.0,6487.0,138286.0,11875.0,138286.0,27010.0,-278.5153269269657,-133.1100673212423,-264.97060201077784
138286.0,6483.0,138286.0,11853.0,138286.0,27031.0,-287.77214838211637,-138.36622387571012,-275.241111021277
138286.0,6492.0,138286.0,11888.0,138286.0,27022.0,-297.1108940793996,-143.77085559962498,-285.6683542875505
138286.0,6478.0,138286.0,11878.0,138286.0,27004.0,-306.5291936368517,-149.31742504011538,-296.2463791406393
138286.0,6463.0,138286.0,11827.0,138286.0,27022.0,-316.02528304718624,-154.9997013630616,-306.9700619478658
138286.0,6459.0,138286.0,11845.0,138286.0,26997.0,-325.59798251186106,-160.81187056605447,-317.8349629166126
138296.0,6486.0,138296.0,11861.0,138296.0,27040.0,-335.2466922998194,-166.74883371424932,-328.8370833704647
138296.0,6518.0,138296.0,11950.0,138296.0,27058.0,-344.971046450726,-172.8059547311063,-339.9723677973102
138296.0,6499.0,138296.0,11870.0,138296.0,27023.0,-354.7701636373441,-178.9781041120591,-351.2359609260944
138296.0,6436.0,138296.0,11852.0,138296.0,26996.0,-364.642063872363,-185.25893165416,-362.62171375982746
138296.0,6416.0,138296.0,11860.0,138296.0,26942.0,-374.58386832786437,-191.6410463204441,-374.1223839455253
138296.0,6398.0,138296.0,11769.0,138296.0,26904.0,-384.5925819823435,-198.11665013243334,-385.7304011604615
138307.0,6373.0,138307.0,11733.0,138307.0,26880.0,-394.66580956772583,-204.67838347568298,-397.4388415657523
138307.0,6405.0,138307.0,11758.0,138307.0,26916.0,-404.80212765505934,-211.32046502922117,-409.2421724136287
138307.0,6404.0,138307.0,11806.0,138307.0,26915.0,-415.00104212139456,-218.03936967395202,-421.13633799594965
138307.0,6374.0,138307.0,11773.0,138307.0,26904.0,-425.262630206725,-224.83349613282024,-433.11828829749845
138307.0,6379.0,138307.0,11768.0,138307.0,26854.0,-435.58729823213235,-231.70254692455973,-445.18560010231687
138307.0,6375.0,138307.0,11798.0,138307.0,26888.0,-445.9757764033385,-238.64728244407195,-457.33654075913876
138317.0,6402.0,138317.0,11871.0,138317.0,26924.0,-456.42899856273783,-245.66917158924562,-469.57007482912775
138317.0,6398.0,138317.0,11855.0,138317.0,26935.0,-466.9476766406143,-252.76938442069113,-481.88521870369266
138317.0,6371.0,138317.0,11886.0,138317.0,26879.0,-477.53179643746364,-259.94754572989496,-494.2801054796046
138317.0,6325.0,138317.0,11764.0,138317.0,26829.0,-488.1804799377215,-267.2010771928301,-506.7516950898319
138317.0,6302.0,138317.0,11726.0,138317.0,26814.0,-498.89242057578036,-274.52566846078,-519.2963746237386
138317.0,6296.0,138317.0,11684.0,138317.0,26803.0,-509.6665757783689,-281.91673155767825,-531.910785151003
138327.0,6297.0,138327.0,11724.0,138327.0,26771.0,-520.502627078607,-289.3708430380657,-544.5923186349182
138327.0,6280.0,138327.0,11739.0,138327.0,26803.0,-531.4010641454687,-296.88624919855727,-557.3393093204281
138327.0,6286.0,138327.0,11724.0,138327.0,26774.0,-542.3630971319994,-304.46249920406115,-570.1509803897675
138327.0,6280.0,138327.0,11728.0,138327.0,26759.0,-553.3905329162842,-312.0999286536232,-583.0272390310884
138327.0,6254.0,138327.0,11690.0,138327.0,26771.0,-564.4856394827386,-319.79947322658325,-595.9685668406155
138327.0,6294.0,138327.0,11763.0,138327.0,26769.0,-575.6510327906138,-327.5626585997302,-608.9759124729583
