c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
172839,19353,172839.0,58120.0,172839.0,87118.0,-397.1290889506265,-509.8728498945404,-582.2287411838923
172839,19353,172839.0,58098.0,172839.0,87115.0,-408.2030529738838,-522.2234304260191,-595.7922316332845
172849,19340,172849.0,58134.0,172849.0,87129.0,-419.52806666437647,-534.8340693621939,-609.6597977194572
172849,19354,172849.0,58197.0,172849.0,87134.0,-431.0960300358088,-547.7016812932653,-623.8269466099539
172849,19331,172849.0,58166.0,172849.0,87090.0,-442.8983248944361,-560.8222870011929,-638.2885654434151
172849,19291,172849.0,58096.0,172849.0,87055.0,-454.92571123120075,-574.1900655105383,-653.0388267508963
172849,19269,172849.0,57999.0,172849.0,87032.0,-467.16857443850654,-587.7975739905161,-668.0716209447869
172849,19252,172849.0,57964.0,172849.0,87009.0,-479.6174609111596,-601.6372328297016,-683.3811882158943
172860,19236,172860.0,57940.0,172860.0,86989.0,-492.2635583035062,-615.7031128160806,-698.9626161133192
172860,19226,172860.0,57959.0,172860.0,86958.0,-505.09897705732385,-629.9920836155947,-714.8122110793711
172860,19213,172860.0,58012.0,172860.0,86963.0,-518.1168941913285,-644.5039574306174,-730.9278169438502
172860,19237,172860.0,57980.0,172860.0,86979.0,-531.3115494859217,-659.2407857849469,-747.3089206184554
172860,19201,172860.0,57976.0,172860.0,86968.0,-544.6780436905555,-674.2059975103011,-763.9563609004144
172860,19196,172860.0,58004.0,172860.0,86958.0,-558.2121170283356,-689.4039080905494,-780.8718427755801
172870,19211,172870.0,58072.0,172870.0,86982.0,-571.9100660078961,-704.839161115401,-798.0575324235252
172870,19217,172870.0,58042.0,172870.0,86962.0,-585.7685457177149,-720.51559376174,-815.5156418077023
172870,19186,172870.0,57975.0,172870.0,86927.0,-599.7841423738902,-736.4351616116737,-833.2480250459898
172870,19138,172870.0,57875.0,172870.0,86892.0,-613.9531594263733,-752.5980235935127,-851.2561446905615
172870,19127,172870.0,57858.0,172870.0,86859.0,-628.2719431527137,-769.0038800694987,-869.5414948746616
172870,19120,172870.0,57845.0,172870.0,86838.0,-642.7374200126301,-785.6535218345724,-888.1061858096368
172880,19103,172880.0,57813.0,172880.0,86834.0,-657.3473804199236,-802.5497117216767,-906.9533941117008
172880,19087,172880.0,57848.0,172880.0,86846.0,-672.1005231913916,-819.6974230564508,-926.0874724632096
172880,19091,172880.0,57858.0,172880.0,86824.0,-686.9964610887986,-837.1036089044705,-945.5136820749858
172880,19089,172880.0,57864.0,172880.0,86817.0,-702.035632854651,-854.7765059992944,-965.2378048214098
172880,19078,172880.0,57895.0,172880.0,86811.0,-717.2190468773049,-872.7247119324193,-985.2658716552887
172880,19080,172880.0,57865.0,172880.0,86834.0,-732.5479758724777,-890.9562903380843,-1005.6038755769691
