c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
34971,2810,34971,9076,34971,20201,3.5952665659156806,-121.61103854720417,-131.79238873845924
34971,2808,34971,9079,34971,20189,3.6191956869288044,-122.09677193369865,-133.64233108144808
34971,2809,34971,9095,34971,20219,3.642704431854286,-122.67502510527997,-135.59962407400872
34971,2813,34971,9104,34971,20222,3.665956177092324,-123.34985775834271,-137.66664454991434
34981,2816,34981,9098,34981,20200,3.6891349490277845,-124.12441116152979,-139.84504268840973
34981,2808,34981,9071,34981,20200,3.7125060529656184,-125.00076509443731,-142.13561573517313
34981,2802,34981,9047,34981,20185,3.73640992225259,-125.98016801054239,-144.53846752590727
34981,2810,34981,9044,34981,20184,3.761164894652682,-127.063587736385,-147.05324736580596
34981,2804,34981,9088,34981,20203,3.786988186482565,-128.25215767942512,-149.67928612374496
34981,2811,34981,9113,34981,20208,3.813993742864366,-129.54704091141647,-152.41550205626086
34991,2811,34991,9069,34991,20189,3.8422285067153057,-130.94883756183776,-155.26013911875677
34991,2810,34991,9066,34991,20164,3.87172281774495,-132.45727212068678,-158.2106879031209
34991,2804,34991,9034,34991,20149,3.902514465040226,-134.07150061786575,-161.26419567699932
34991,2808,34991,9054,34991,20148,3.934609965188441,-135.79064306029727,-164.41775918244684
34991,2810,34991,9116,34991,20185,3.9679397290293057,-137.6139664131847,-167.6687995877241
34991,2813,34991,9108,34991,20189,4.002377947136753,-139.54038626290568,-171.01485457586332
35001,2814,35001,9066,35001,20163,4.0378130300279125,-141.56772836011282,-174.4531001450871
35001,2816,35001,9023,35001,20144,4.0742200371374375,-143.6926688507242,-177.98016277356749
35001,2801,35001,9026,35001,20139,4.1116865281084936,-145.91148075885047,-181.59239810451038
35001,2804,35001,9045,35001,20148,4.150335173059925,-148.22080161969504,-185.28624972815402
35001,2805,35001,9076,35001,20161,4.190185618021668,-150.61776264268477,-189.05831783453337
35001,2809,35001,9078,35001,20187,4.231089168190887,-153.09951189028004,-192.90506904419834
35011,2811,35011,9045,35011,20138,4.272770692371284,-155.66267190112296,-196.82240001996593
35011,2814,35011,9006,35011,20125,4.314912994212802,-158.3033126608751,-200.80551436085346
35011,2808,35011,9009,35011,20131,4.357226994074351,-161.01752097793917,-204.84926469015255
35011,2812,35011,9075,35011,20143,4.3994713039786495,-163.8019147489866,-208.9484703503486
35011,2810,35011,9086,35011,20157,4.441435370595252,-166.65336560395397,-213.09781017233388
35011,2819,35011,9077,35011,20124,4.482946905434928,-169.56811217709128,-217.29149285798962
35021,2811,35021,9031,35021,20117,4.523923845953578,-172.54118085660258,-221.52314227279035
35021,2813,35021,9006,35021,20103,4.564414188601773,-175.56662209285707,-225.7860273539945
35021,2814,35021,9024,35021,20123,4.604585245445445,-178.63821029727927,-230.07333935196178
35021,2807,35021,9040,35021,20135,4.6446947022080165,-181.74988302672773,-234.37817865870312
35021,2808,35021,9073,35021,20128,4.685047520184261,-184.89554323821858,-238.69323525386193
35021,2810,35021,9070,35021,20124,4.725934626931624,-188.06842920684687,-243.0104523854303
35032,2808,35032,9013,35032,20101,4.767601955740235,-191.2606068084089,-247.32093073672277
35032,2808,35032,8993,35032,20097,4.810251848623576,-194.46312674563686,-251.61508143596905
35032,2807,35032,9018,35032,20107,4.854034317068956,-197.66670328866908,-255.882842012597
35032,2812,35032,9056,35032,20112,4.899036248921005,-200.8620628286595,-260.1137066907687
35032,2800,35032,9041,35032,20110,4.9452806989182285,-204.03955779812267,-264.2965268230395
35032,2807,35032,9032,35032,20096,4.992695785988133,-207.18860075839024,-268.4193023903223
35042,2811,35042,8993,35042,20091,5.041071410372134,-210.29755846519294,-272.469151112235
35042,2812,35042,8985,35042,20077,5.090090812826346,-213.35415684863537,-276.43243734257334
35042,2804,35042,9019,35042,20089,5.139402579209369,-216.3459743228804,-280.2949255758524
35042,2804,35042,9026,35042,20098,5.188613701032568,-219.26050574605344,-284.0417930593276
35042,2815,35042,9029,35042,20080,5.237230011590238,-222.08475493296464,-287.65746351972723
35042,2810,35042,9012,35042,20069,5.284671504631018,-224.8048276541275,-291.1254931886677
35052,2813,35052,8966,35052,20053,5.330354456506298,-227.40593028825901,-294.42871402583233
35052,2809,35052,8964,35052,20057,5.373735136633646,-229.87284743062685,-297.54952134160703
35052,2822,35052,9017,35052,20042,5.4143211955718025,-232.1904779973202,-300.4701019754068
35052,2818,35052,9020,35052,20092,5.451733719922374,-234.34377260495808,-303.17247407779666
35052,2808,35052,9019,35052,20059,5.485785566034073,-236.3171233074704,-305.6382540760874
35052,2813,35052,8974,35052,20036,5.516458608685665,-238.0939529327281,-307.8484063947283
35063,2811,35063,8949,35063,20036,5.543812290397304,-239.65696795816876,-309.7833934117938
35063,2807,35063,8944,35063,20036,5.567930729703643,-240.98888320528903,-311.4235663916187
35063,2808,35063,8982,35063,20040,5.588888150250092,-242.0730259552342,-312.7493649463008
35063,2815,35063,9013,35063,20060,5.606716438895402,-242.89329791893357,-313.74125482824047
35063,2808,35063,8983,35063,20048,5.621423399805077,-243.43360083386108,-314.3795159906486
35063,2816,35063,8951,35063,20010,5.633037418734462,-243.67746486865025,-314.6441264187582
35073,2811,35073,8939,35073,20012,5.64163603873238,-243.6083721217612,-314.51503783173854
35073,2807,35073,8964,35073,20021,5.647352374739841,-243.2103851664715,-313.9726678356342
35073,2808,35073,8990,35073,20042,5.650335080016055,-242.4683809644597,-312.99811336005246
35073,2807,35073,8996,35073,20040,5.650682097725856,-241.36772066813947,-311.5729706567605
35073,2820,35073,8974,35073,20013,5.648429142047108,-239.89379697299617,-309.6791226932101
35073,2813,35073,8926,35073,20002,5.643629332462782,-238.0320322082646,-307.2988790425766
35083,2808,35083,8929,35083,20021,5.6364389832035,-235.76849560517252,-304.4154061185991
35083,2810,35083,8949,35083,20044,5.62710026474047,-233.0906686808716,-301.0129767968772
35083,2802,35083,9007,35083,20030,5.61585108806006,-229.987656950523,-297.0768355682328
35083,2808,35083,8987,35083,20035,5.60284315344662,-226.4496986143071,-292.59301769268995
35083,2806,35083,8953,35083,20030,5.588096489202651,-222.46764447214755,-287.54840817558323
35083,2802,35083,8935,35083,20006,5.571488452414664,-218.03313792264188,-281.9309985177471
35094,2802,35094,8938,35094,20017,5.552730646071344,-213.1393617739779,-275.7302870190458
35094,2815,35094,9008,35094,20041,5.531343875376694,-207.78157097469,-268.93766111976385
35094,2810,35094,8988,35094,20044,5.506718172206324,-201.95692376262983,-261.5464848650013
35094,2810,35094,9011,35094,20076,5.478223499270925,-195.6639533932218,-253.5519140288002
35094,2807,35094,8996,35094,20039,5.445249729712959,-188.90229170474265,-244.95071433795528
35094,2815,35094,8979,35094,20035,5.4071860403749925,-181.67279027798082,-235.74138246205308
35104,2811,35104,8994,35104,20036,5.36343282915247,-173.97790361089895,-225.92465486640515
35104,2810,35104,9027,35104,20089,5.313442128577841,-165.82203678885452,-215.50398970769393
35104,2809,35104,9046,35104,20089,5.2567197521544555,-157.21149532115737,-204.48556640589217
35104,2818,35104,9062,35104,20105,5.192809428153045,-148.1540956882059,-192.87796265147463
35104,2819,35104,9017,35104,20101,5.121341908928261,-138.65889780445158,-180.6919741032687
35104,2809,35104,9015,35104,20096,5.042124785266149,-128.73647198256964,-167.9407464916753
35115,2813,35115,9070,35115,20124,4.955155641437427,-118.39950987178176,-154.64008823315305
35115,2810,35115,9097,35115,20152,4.860556533237817,-107.6630221517669,-140.80867575789586
35115,2810,35115,9147,35115,20185,4.758522880474935,-96.54381294012697,-126.4679142605094
35115,2804,35115,9089,35115,20175,4.649290818143073,-85.05979100033888,-111.64159695257113
35115,2801,35115,9072,35115,20183,4.533070384175581,-73.2299165786867,-96.35576484478274
35115,2811,35115,9089,35115,20194,4.4099667979047545,-61.07494113867193,-80.6389119956072
