c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
310956,13301,310956,9942,310956.0,34692.0,400.76743121080284,124.34045331072369,229.93261373066161
310956,13290,310956,9952,310956.0,34707.0,396.3825524344371,129.84603268538623,239.37359742565855
310956,13290,310956,10000,310956.0,34725.0,392.2233154611947,135.34695098344446,248.870266785795
310956,13200,310956,10041,310956.0,34765.0,388.3332997601381,140.82111939974155,258.394072877828
310956,13048,310956,10041,310956.0,34819.0,384.7531274696834,146.2477493494859,267.9166711071658
310956,13006,310956,10021,310956.0,34809.0,381.51827058682704,151.60807388384438,277.41075652263
310967,13009,310967,10028,310967.0,34789.0,378.6563710110065,156.88548593537013,286.8507153456152
310967,13024,310967,10033,310967.0,34796.0,376.18559011397787,162.0653044641095,296.2126321933751
310967,13037,310967,10038,310967.0,34807.0,374.11435123305483,167.13461021347723,305.47391488400706
310967,13063,310967,10017,310967.0,34799.0,372.4418127518593,172.08218595713868,314.6130334115385
310967,13141,310967,10006,310967.0,34820.0,371.15870317324516,176.89830869354398,323.609414301546
310967,13391,310967,9944,310967.0,34756.0,370.2490787629499,181.5742039267459,332.4432583207826
310977,13440,310977,9959,310977.0,34794.0,369.69378720796254,186.10115831003407,341.0950879349771
310977,13408,310977,10004,310977.0,34831.0,369.4746643474614,190.4697300946551,349.54528824518496
310977,13332,310977,10049,310977.0,34866.0,369.5770320361804,194.6697497853271,357.77425117604594
310977,13210,310977,10082,310977.0,34878.0,369.98947369299026,198.6911861853808,365.7631053358907
310977,13109,310977,10075,310977.0,34909.0,370.70167320943796,202.52523865683293,373.49447970118104
310977,13106,310977,10072,310977.0,34891.0,371.7015338675522,206.16503462569915,380.953032572079
310987,13123,310987,10064,310987.0,34905.0,372.97291531434917,209.60577273385712,388.12569778446306
310987,13115,310987,10065,310987.0,34898.0,374.4947398142097,212.844550654793,395.00166890861874
310987,13123,310987,10045,310987.0,34905.0,376.2409988159226,215.88012057604186,401.572281731011
310987,13187,310987,10056,310987.0,34914.0,378.181051380961,218.7126210152349,407.8309289356845
310987,13354,310987,10010,310987.0,34867.0,380.2806099313085,221.34325870650184,413.77295262753245
310987,13491,310987,10007,310987.0,34862.0,382.50425210500237,223.77384746762476,419.39527409291594
310998,13483,310998,10051,310998.0,34881.0,384.81912790048307,226.00631329639822,424.69578726273244
310998,13445,310998,10045,310998.0,34901.0,387.1980115069051,228.042608836601,429.6730198899521
310998,13346,310998,10072,310998.0,34914.0,389.6201891508738,229.88509988744053,434.32631750219855
310998,13231,310998,10116,310998.0,34944.0,392.0702202521295,231.5371203315771,438.65630732984306
310998,13171,310998,10058,310998.0,34932.0,394.535402296102,233.00355576062987,442.6653973555634
310998,13153,310998,10076,310998.0,34938.0,397.0030165731757,234.29113391197208,446.35813439476226
311007,13180,311007,10045,311007.0,34917.0,399.4584197071872,235.40820319400888,449.7412774406123
311007,13168,311007,10046,311007.0,34935.0,401.8843436574539,236.36431680705516,452.8236549310577
311007,13179,311007,10042,311007.0,34899.0,404.2609250607645,237.1698852776929,455.61597166536706
311007,13244,311007,10012,311007.0,34875.0,406.56600711366616,237.83588698433633,458.1305043762351
311007,13487,311007,9964,311007.0,34833.0,408.7762954348301,238.37343599493914,460.38047312712786
311007,13525,311007,9968,311007.0,34831.0,410.87030557940193,238.79302271135566,462.3791448112125
311017,13502,311017,10005,311017.0,34868.0,412.83217605434584,239.10380742885582,464.13911760055
311017,13422,311017,10048,311017.0,34911.0,414.65393723664727,239.31363025727376,465.67230601925286
311017,13286,311017,10074,311017.0,34886.0,416.3351701780873,239.42982412609567,466.99060599590626
311017,13167,311017,10044,311017.0,34913.0,417.8806505274515,239.4602255191354,468.10659191363095
311017,13136,311017,10040,311017.0,34918.0,419.2970481593934,239.4136966494067,469.03389920787936
311017,13143,311017,10050,311017.0,34906.0,420.5900585254685,239.30008393496587,469.78749446911706
311028,13144,311028,10017,311028.0,34883.0,421.7629268152525,239.1300334194678,470.38380831957295
311028,13119,311028,10016,311028.0,34884.0,422.8160834707046,238.91479233857373,470.8405545152981
311028,13180,311028,10013,311028.0,34866.0,423.7471603960979,238.66591149493854,471.17639461677345
311028,13314,311028,9955,311028.0,34804.0,424.55156795719296,238.3948905800601,471.41053265512187
311028,13443,311028,9940,311028.0,34809.0,425.2244787434349,238.1126142967825,471.5620348022135
311028,13440,311028,9956,311028.0,34800.0,425.7640380982823,237.8285809427121,471.64902723489865
311038,13410,311038,9991,311038.0,34826.0,426.1741602969952,237.5504937987541,471.6882734672739
311038,13299,311038,10026,311038.0,34829.0,426.4654512948325,237.28461976225418,471.69527425348497
311038,13145,311038,10053,311038.0,34868.0,426.6539867259904,237.0367004567419,471.68470333574544
311038,13104,311038,10037,311038.0,34865.0,426.75850539367605,236.81292788786556,471.67102675039706
311038,13071,311038,10015,311038.0,34877.0,426.7973048497339,236.62050077849676,471.66913521548906
311038,13073,311038,9983,311038.0,34815.0,426.78613569933543,236.46752459992055,471.6946835417948
311049,13049,311049,9966,311049.0,34810.0,426.73725394303506,236.36242303475274,471.76386135528696
311049,13047,311049,9984,311049.0,34822.0,426.6590277961146,236.3132835723759,471.89279699805047
311049,13131,311049,9984,311049.0,34782.0,426.55588205657523,236.32753766766982,472.09711620798606
311049,13341,311049,9931,311049.0,34739.0,426.4293224489153,236.41191247126466,472.3915903031487
311049,13403,311049,9907,311049.0,34770.0,426.28085128698126,236.57210546749667,472.78952934065035
311049,13354,311049,9940,311049.0,34776.0,426.11573215074344,236.81208871690097,473.30229821337883
311059,13290,311059,9976,311059.0,34781.0,425.94522359036165,237.1337649916898,473.9393944046893
311059,13142,311059,10039,311059.0,34810.0,425.7862313469775,237.53752005704678,474.70885228152554
311059,13004,311059,9993,311059.0,34831.0,425.65892108171795,238.02332699776966,475.61775707524225
311059,12994,311059,10002,311059.0,34789.0,425.58330497754224,238.59154450926485,476.67279542754443
311059,12988,311059,10003,311059.0,34809.0,425.5762829649284,239.24304285020656,477.8805123990678
311059,12993,311059,9975,311059.0,34806.0,425.6502024372255,239.97904397014025,479.24723829252014
311069,12978,311069,9976,311069.0,34794.0,425.81256963931264,240.80091053555995,480.77903315613537
311069,13015,311069,9992,311069.0,34781.0,426.0661271354685,241.70989191278218,482.4816467387539
311069,13169,311069,9919,311069.0,34742.0,426.40944079293104,242.7069100389303,484.3602427610669
311069,13303,311069,9929,311069.0,34726.0,426.8388825627081,243.79214837035886,486.41882256217696
311069,13299,311069,9935,311069.0,34756.0,427.3519706194618,244.96440138709434,488.6595806886504
311069,13271,311069,9971,311069.0,34768.0,427.95035082129635,246.22076748392004,491.0826577578213
311080,13164,311080,9970,311080.0,34786.0,428.6408207936123,247.5569503968229,493.68644635276365
311080,13021,311080,10037,311080.0,34799.0,429.43419014731177,248.96789605339177,496.4681301934248
311080,12984,311080,10022,311080.0,34823.0,430.3426282597843,250.44859700813342,499.4242198530508
311080,12948,311080,10004,311080.0,34772.0,431.37674388689334,251.9948116498756,502.5509717742051
311080,12944,311080,9973,311080.0,34792.0,432.5435700048107,253.60321061873,505.84444379781655
311080,12940,311080,9980,311080.0,34790.0,433.8456012988038,255.27093033003638,509.30024398845893
311090,12946,311090,9967,311090.0,34792.0,435.2804591067868,256.9950436929912,512.913381674471
311090,13023,311090,9982,311090.0,34766.0,436.84103803328054,258.77227394090346,516.6782451312685
311090,13276,311090,9976,311090.0,34717.0,438.5167657014517,260.5989294111958,520.588315493822
311090,13288,311090,9926,311090.0,34772.0,440.2967387866903,262.4708327269491,524.6355482778612
311090,13256,311090,9949,311090.0,34773.0,442.1735477069583,264.3829713000898,528.8099853192317
311090,13197,311090,10009,311090.0,34803.0,444.14532943542497,266.3291647572478,533.100004161591
311100,13078,311100,10031,311100.0,34816.0,446.2153484382047,268.30244156185773,537.4929036778358
311100,12900,311100,10020,311100.0,34836.0,448.389797908391,270.29599146145404,541.9754883325237
311100,12930,311100,9979,311100.0,34836.0,450.6745052354214,272.3037752085662,546.5345847039317
311100,12935,311100,10041,311100.0,34830.0,453.07201076866784,274.32046594889425,551.1573874742634
311100,12916,311100,9977,311100.0,34817.0,455.5803189487899,276.3412607777219,555.8315199569832
311100,12902,311100,10005,311100.0,34823.0,458.1927227260357,278.3617994126478,560.5448540949566
311111,12980,311111,9982,311111.0,34840.0,460.8977785216636,280.3779675314373,565.2853311525978
311111,13112,311111,9965,311111.0,34780.0,463.67994799171225,282.38560515561994,570.0408765866719
311111,13260,311111,9958,311111.0,34786.0,466.5218155934747,284.38015462004887,574.7990978359333
311111,13275,311111,9944,311111.0,34800.0,469.40757481630595,286.3562219598738,579.5467249500715
311111,13210,311111,9994,311111.0,34828.0,472.326091765534,288.3072785236616,584.2693449142306
311111,13121,311111,10010,311111.0,34841.0,475.2718952171721,290.2258207127508,588.9516952067464
311121,12995,311121,10066,311121.0,34885.0,478.24388099621467,292.10407709780355,593.5782681351761
311121,12922,311121,10010,311121.0,34898.0,481.24261523231473,293.9349049478312,598.1340523950619
311121,12915,311121,10009,311121.0,34878.0,484.26739412768825,295.7122328702597,602.6052423489487
311121,12914,311121,10031,311121.0,34861.0,487.31414496871344,297.43089193653367,606.9795330188474
311121,12896,311121,10050,311121.0,34860.0,490.3744962750445,299.0864709345312,611.245885881707
311121,12924,311121,10002,311121.0,34849.0,493.43551737560415,300.6755116143431,615.3941139455885
311131,13004,311131,9990,311131.0,34835.0,496.4799111475892,302.19549766636067,619.4145353844016
311131,13246,311131,9929,311131.0,34792.0,499.4873888643525,303.64424696810806,623.2975625008387
311131,13262,311131,9951,311131.0,34847.0,502.4378692009892,305.0189662243555,627.0331737194805
311131,13250,311131,9974,311131.0,34837.0,505.31527361191456,306.3155428171636,630.6106554547835
311131,13180,311131,10003,311131.0,34847.0,508.109652118534,307.52854346611576,634.018812503854
311131,13054,311131,10059,311131.0,34885.0,510.81688717260124,308.651903641224,637.2463477975797
311142,12932,311142,10032,311142.0,34899.0,513.43656684052,309.679919341352,640.2823410350309
311142,12898,311142,10028,311142.0,34893.0,515.9688652864829,310.6079950175514,643.1168690551783
311142,12891,311142,9989,311142.0,34894.0,518.4116711452975,311.43273295371466,645.7414606846964
311142,12913,311142,10013,311142.0,34884.0,520.7589837691373,312.1515322182601,648.1492123354117
311142,12920,311142,10003,311142.0,34881.0,523.0005652971074,312.7622254888728,650.3347103284698
311142,12934,311142,10015,311142.0,34855.0,525.1222375860868,313.26301692081324,652.2938532585105
311152,13113,311152,9949,311152.0,34816.0,527.1066806433062,313.6524701896362,654.02347945987
311152,13247,311152,9940,311152.0,34803.0,528.9355020109588,313.92910357461767,655.5207045975915
311152,13238,311152,9949,311152.0,34807.0,530.5926869068306,314.0906487984883,656.7821819831433
311152,13178,311152,9967,311152.0,34820.0,532.0675961822035,314.133582817063,657.8036904586763
311152,13117,311152,10031,311152.0,34843.0,533.3557883685471,314.0533515452445,658.580213882847
311152,12957,311152,10058,311152.0,34912.0,534.4577713734094,313.84526539164096,659.1065022327846
311162,12895,311162,9999,311162.0,34876.0,535.3764428749342,313.5055931870677,659.3780294778915
311162,12898,311162,10031,311162.0,34843.0,536.1141483164031,313.0320896800023,659.3917736459257
311162,12879,311162,10021,311162.0,34842.0,536.6706131709791,312.4239283782585,659.1462121020576
311162,12877,311162,9997,311162.0,34832.0,537.0421197684235,311.6816044226664,658.6408458105088
311162,12888,311162,9969,311162.0,34845.0,537.221311473017,310.8067731168744,657.8759062897207
311162,12949,311162,9974,311162.0,34780.0,537.1973693461455,309.8018014913057,656.85225539796
311173,13163,311173,9910,311173.0,34794.0,536.9571605415472,308.66920486840064,655.5710934375022
311173,13201,311173,9927,311173.0,34788.0,536.4880225360876,307.41103311887235,654.0334957889402
311173,13181,311173,9970,311173.0,34784.0,535.7813012380225,306.0283906931661,652.240174687347
311173,13118,311173,9973,311173.0,34784.0,534.8345427178367,304.5215821281018,650.1915126523281
311173,12989,311173,10005,311173.0,34805.0,533.6513917096547,302.89082834928433,647.8877016018863
311173,12864,311173,9973,311173.0,34804.0,532.2396239620198,301.1369810384288,645.3290402493594
311183,12830,311183,9976,311183.0,34821.0,530.6081359954765,299.2618748263775,642.5163897696415
311183,12800,311183,9966,311183.0,34780.0,528.764114376962,297.2683172770775,639.4515772500775
311183,12811,311183,9959,311183.0,34777.0,526.7113313582163,295.1599493278714,636.1374979731262
311183,12791,311183,9944,311183.0,34770.0,524.4495100055743,292.9411137077797,632.5779225387535
311183,12843,311183,9930,311183.0,34737.0,521.9743053959888,290.61666645815444,628.777255624668
311183,12993,311183,9909,311183.0,34715.0,519.2780374728386,288.1916868951878,624.7402563821704
311193,13127,311193,9875,311193.0,34702.0,516.351898148576,285.6710615758677,620.4716029518268
311193,13118,311193,9904,311193.0,34710.0,513.1894568011235,283.0590007955633,615.9754952246618
311193,13062,311193,9884,311193.0,34690.0,509.7896653163169,280.3587566179167,611.2555243793954
311193,12980,311193,9918,311193.0,34709.0,506.1577701775597,277.572702176333,606.3147523952483
311193,12823,311193,9945,311193.0,34765.0,502.30410935715867,274.70272559379964,601.1560378465427
311193,12745,311193,9930,311193.0,34727.0,498.2414839377954,271.7508716540875,595.7827677441453
311204,12737,311204,9903,311204.0,34707.0,493.98210185364667,268.7198749795152,590.1995804573933
311204,12717,311204,9902,311204.0,34696.0,489.53537033891627,265.61319406408774,584.4124967653352
311204,12699,311204,9887,311204.0,34667.0,484.9069394370864,262.43473022841187,578.4286268494426
311204,12697,311204,9882,311204.0,34676.0,480.0983810718998,259.1885895828234,572.2558800358468
311204,12779,311204,9854,311204.0,34613.0,475.10724244047475,255.87889799321357,565.902733722133
311204,12974,311204,9815,311204.0,34594.0,469.9282001821304,252.50947059500183,559.3778487444545
311214,13018,311214,9836,311214.0,34582.0,464.5559832016456,249.08328918029832,552.689458060002
311214,13009,311214,9839,311214.0,34593.0,458.98905646351477,245.60213137106032,545.8448927378854
311214,12927,311214,9860,311214.0,34593.0,453.2319854971159,242.06668539710617,538.850572836094
311214,12775,311214,9879,311214.0,34612.0,447.29543738899474,238.47705328016974,531.7123779286092
311214,12623,311214,9868,311214.0,34629.0,441.1940002435373,234.8333732393521,524.436239216558
311214,12607,311214,9845,311214.0,34603.0,434.9427355115178,231.1362617948158,517.0288214794385
311224,12604,311224,9891,311224.0,34575.0,428.55414851051444,227.3869561579021,509.497964796405
311224,12592,311224,9858,311224.0,34532.0,422.0367605606872,223.58746448660852,501.8525842794218
311224,12579,311224,9817,311224.0,34521.0,415.39486951426187,219.7407421755572,494.10214089010265
311224,12621,311224,9831,311224.0,34541.0,408.62868892099584,215.85049139385958,486.25615255580243
311224,12760,311224,9799,311224.0,34440.0,401.73507412528124,211.92071734114037,478.32397800908007
311224,12900,311224,9767,311224.0,34452.0,394.7096811797479,207.95535680497292,470.31445818302313
311235,12878,311235,9773,311235.0,34457.0,387.5504311445615,203.957855448369,462.235307605686
311235,12833,311235,9784,311235.0,34452.0,380.26052934912553,199.93080298495906,454.09288690886285
311235,12719,311235,9827,311235.0,34444.0,372.8494004305245,195.87604301722112,445.8924756002032
311235,12555,311235,9816,311235.0,34537.0,365.3313791526978,191.79530197185525,437.6387777558731
