c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
276655.0,13245.0,276655.0,44989.0,276655.0,67089.0,246.1531567766818,207.23481844233999,400.9171053254798
276655.0,13237.0,276655.0,45016.0,276655.0,67114.0,248.64694152138648,209.06961787182289,404.236007125824
276666.0,13248.0,276666.0,44994.0,276666.0,67093.0,251.13207617626972,210.85598164111178,407.47200281436045
276666.0,13243.0,276666.0,44974.0,276666.0,67092.0,253.603061703711,212.58824155848689,410.6128181031306
276666.0,13246.0,276666.0,44964.0,276666.0,67078.0,256.05398542863173,214.26059286086416,413.6459398007366
276666.0,13240.0,276666.0,44963.0,276666.0,67069.0,258.4785076740801,215.86661992543955,416.5583118406324
276666.0,13250.0,276666.0,44978.0,276666.0,67096.0,260.8698147191857,217.3989676278502,419.33605912003924
276666.0,13249.0,276666.0,44984.0,276666.0,67114.0,263.22060304297054,218.84932045527992,421.9644844432359
276676.0,13268.0,276676.0,45038.0,276676.0,67136.0,265.52315376119276,220.20869568266033,424.42845639063825
276676.0,13261.0,276676.0,45011.0,276676.0,67120.0,267.76949546671716,221.46800230685108,426.7129497845839
276676.0,13250.0,276676.0,45007.0,276676.0,67124.0,269.9515363211643,222.618536155614,428.8033729401942
276676.0,13256.0,276676.0,44982.0,276676.0,67114.0,272.0610239933811,223.6520087396423,430.6855870665311
276676.0,13271.0,276676.0,45033.0,276676.0,67129.0,274.0894450100232,224.56028416647322,432.3458125632774
276676.0,13285.0,276676.0,45037.0,276676.0,67150.0,276.0281187725405,225.33540721417165,433.770671585711
276686.0,13290.0,276686.0,45028.0,276686.0,67142.0,277.86850675057633,225.9700280592384,434.9474583877769
276686.0,13292.0,276686.0,45009.0,276686.0,67135.0,279.6025408274609,226.45770786392953,435.8644314518857
276686.0,13259.0,276686.0,45008.0,276686.0,67108.0,281.2227606026702,226.7927998755414,436.5108283019905
276686.0,13278.0,276686.0,44982.0,276686.0,67123.0,282.722164794974,226.9701086173262,436.87660135362836
276686.0,13281.0,276686.0,45000.0,276686.0,67119.0,284.09398745421413,226.9845519891403,436.9521706120517
276686.0,13289.0,276686.0,45012.0,276686.0,67126.0,285.331700742572,226.83099441769465,436.7284040105745
276697.0,13278.0,276697.0,45016.0,276697.0,67135.0,286.42917974465405,226.50438883424133,436.1967690335639
276697.0,13278.0,276697.0,45014.0,276697.0,67137.0,287.38077655089995,226.00007991207787,435.34956080093485
276697.0,13282.0,276697.0,45032.0,276697.0,67101.0,288.1812734546313,225.31404813752206,434.18008141426117
276697.0,13293.0,276697.0,45005.0,276697.0,67118.0,288.82587734135893,224.4430806937252,432.6825826048843
276697.0,13294.0,276697.0,45036.0,276697.0,67144.0,289.31035459954876,223.38487940228367,430.8521520082178
276697.0,13296.0,276697.0,45025.0,276697.0,67116.0,289.6312318275251,222.13816248694005,428.6848953747045
276707.0,13277.0,276707.0,45021.0,276707.0,67106.0,289.7859106912842,220.702827013347,426.1781902392153
276707.0,13269.0,276707.0,44966.0,276707.0,67096.0,289.77258573877674,219.07993931629315,423.3306205942698
276707.0,13255.0,276707.0,44980.0,276707.0,67052.0,289.58997739700305,217.27132069087318,420.14165336123557
276707.0,13268.0,276707.0,44949.0,276707.0,67078.0,289.23704210959266,215.2789590204694,416.61122872276394
276707.0,13277.0,276707.0,44979.0,276707.0,67082.0,288.7128721484357,213.104624723297,412.73950718192003
276707.0,13265.0,276707.0,44965.0,276707.0,67086.0,288.01682763116975,210.7498063090228,408.5270242912585
276718.0,13261.0,276718.0,44994.0,276718.0,67090.0,287.1486781629705,208.21589870571225,403.9750870968985
276718.0,13259.0,276718.0,44975.0,276718.0,67060.0,286.1085861522809,205.50451681093512,399.0860763372655
276718.0,13257.0,276718.0,44957.0,276718.0,67047.0,284.89703096821427,202.6177176793116,393.86347423612347
276718.0,13260.0,276718.0,44983.0,276718.0,67076.0,283.5147953563257,199.55800177211557,388.311712924452
276718.0,13258.0,276718.0,45005.0,276718.0,67078.0,281.96302016709694,196.32837854297858,382.4362501418721
276718.0,13262.0,276718.0,44971.0,276718.0,67029.0,280.24330106127326,192.93273709703413,376.24391254455156
276728.0,13245.0,276728.0,44971.0,276728.0,67023.0,278.35777655943247,189.37614743337087,369.7429701529736
276728.0,13229.0,276728.0,44918.0,276728.0,66987.0,276.3090960774973,185.66471168234455,362.94275553365003
276728.0,13225.0,276728.0,44891.0,276728.0,66971.0,274.1002091905415,181.80499553019868,355.85314517204233
276728.0,13223.0,276728.0,44898.0,276728.0,66985.0,271.7341156764845,177.80326224817995,348.4841536790791
276728.0,13220.0,276728.0,44899.0,276728.0,66985.0,269.21374623770674,173.6649300551142,340.8458388378989
276728.0,13228.0,276728.0,44956.0,276728.0,66956.0,266.5419859460753,169.39461486052443,332.94850907074704
276738.0,13224.0,276738.0,44933.0,276738.0,66946.0,263.7217957929621,164.99672380780868,324.8028565850092
276738.0,13208.0,276738.0,44935.0,276738.0,66930.0,260.7563472517935,160.47615626586546,316.41983574986693
276738.0,13214.0,276738.0,44884.0,276738.0,66929.0,257.6490503549151,155.838573808489,307.8104988454078
276738.0,13213.0,276738.0,44923.0,276738.0,66940.0,254.40352981999854,151.09019651918015,298.9860073889942
276738.0,13213.0,276738.0,44885.0,276738.0,66904.0,251.02369684465216,146.2375726782162,289.95782474897555
276738.0,13208.0,276738.0,44932.0,276738.0,66906.0,247.51389216458773,141.2876150699219,280.73786707089994
276749.0,13177.0,276749.0,44863.0,276749.0,66862.0,243.87894037218416,136.24778024968634,271.33843202994876
276749.0,13182.0,276749.0,44861.0,276749.0,66889.0,240.12400404859508,131.12603841843224,261.77201025441735
276749.0,13162.0,276749.0,44833.0,276749.0,66836.0,236.2543286205264,125.9304596232007,252.05116925003716
276749.0,13163.0,276749.0,44836.0,276749.0,66812.0,232.27504776801464,120.66870137329266,242.18842037697334
276749.0,13178.0,276749.0,44828.0,276749.0,66833.0,228.19112611546944,115.3477191860023,232.1959268119079
276749.0,13147.0,276749.0,44856.0,276749.0,66800.0,224.00745118123416,109.97376457573165,222.08531922083552
276759.0,13147.0,276759.0,44840.0,276759.0,66789.0,219.72890847791643,104.55265204621412,211.86774219444158
276759.0,13142.0,276759.0,44826.0,276759.0,66782.0,215.3602979430825,99.09008643617469,201.5538578656571
276759.0,13137.0,276759.0,44813.0,276759.0,66805.0,210.90624534313395,93.59174484402621,191.1538670564783
276759.0,13140.0,276759.0,44843.0,276759.0,66810.0,206.37122991678865,88.06319591562794,180.67785723184818
276759.0,13147.0,276759.0,44839.0,276759.0,66759.0,201.75970989281683,82.51003879104402,170.1363352622642
276759.0,13136.0,276759.0,44798.0,276759.0,66751.0,197.0763335909328,76.93822712305956,159.54042861256255
276769.0,13107.0,276769.0,44778.0,276769.0,66721.0,192.32608417851117,71.3540740772012,148.90162711665351
276769.0,13094.0,276769.0,44752.0,276769.0,66686.0,187.5141434158928,65.76377824616003,138.23137055830938
276769.0,13097.0,276769.0,44742.0,276769.0,66686.0,182.6455632722192,60.17282038088126,127.54063549070509
276769.0,13089.0,276769.0,44787.0,276769.0,66650.0,177.72505892152435,54.585623344220096,116.83958163923683
276769.0,13098.0,276769.0,44771.0,276769.0,66666.0,172.75703628435286,49.00572200532443,106.13735264821884
276769.0,13071.0,276769.0,44773.0,276769.0,66678.0,167.74571432440746,43.43626079382423,95.4421259571373
276780.0,13071.0,276780.0,44755.0,276780.0,66663.0,162.6951618440841,37.88033310080607,84.76148638298287
276780.0,13078.0,276780.0,44760.0,276780.0,66616.0,157.60924661614484,32.341040995574275,74.10281553193113
276780.0,13069.0,276780.0,44770.0,276780.0,66645.0,152.4916808756669,26.821530141750145,63.47332037627018
276780.0,13065.0,276780.0,44738.0,276780.0,66630.0,147.3461792340568,21.325133374749186,52.87997193028906
276780.0,13052.0,276780.0,44733.0,276780.0,66618.0,142.1765568756418,15.855434630130247,42.32970186626517
276780.0,13051.0,276780.0,44713.0,276780.0,66575.0,136.98672541531414,10.416097287215734,31.82957554389958
276790.0,13029.0,276790.0,44706.0,276790.0,66568.0,131.7806429555384,5.010594424703214,21.386619453667606
276790.0,13019.0,276790.0,44702.0,276790.0,66552.0,126.56220202525094,-0.3579992548888242,11.007478907099255
276790.0,13004.0,276790.0,44701.0,276790.0,66539.0,121.33502896429019,-5.68709525556946,0.6981991859517507
276790.0,13009.0,276790.0,44701.0,276790.0,66543.0,116.10228367153084,-10.974542782879212,-9.535817448682735
