c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
104433,6869,104433.0,20077.0,104433.0,26087.0,185.77106367885656,68.31670551594343,93.0373442194766
104433,6880,104433.0,20073.0,104433.0,26093.0,187.87655978085945,68.14035988455798,93.50288656564908
104433,6890,104433.0,20093.0,104433.0,26106.0,189.96491795516965,67.9621996741459,93.96336881002107
104433,6896,104433.0,20076.0,104433.0,26104.0,192.0295376583289,67.78169996119493,94.41647635330793
104433,6883,104433.0,20070.0,104433.0,26094.0,194.0642886077726,67.59837058864255,94.86022040469022
104433,6892,104433.0,20065.0,104433.0,26074.0,196.06357046806158,67.41166352841222,95.29291209490515
104443,6889,104443.0,20100.0,104443.0,26103.0,198.0222622923487,67.22085202301962,95.71295073676683
104443,6899,104443.0,20090.0,104443.0,26097.0,199.9357076072512,67.0251688915079,96.11872175154247
104443,6891,104443.0,20074.0,104443.0,26097.0,201.79976363845338,66.82408462213598,96.50872168903643
104443,6887,104443.0,20059.0,104443.0,26081.0,203.61081971234753,66.61731850745626,96.88165135717318
104443,6873,104443.0,20065.0,104443.0,26084.0,205.36569187658264,66.40454438806648,97.23630711677137
104443,6881,104443.0,20073.0,104443.0,26081.0,207.06141207084045,66.18514314282244,97.57139787820519
104454,6887,104454.0,20064.0,104454.0,26090.0,208.69506777886176,65.95818812052586,97.88545176143128
104454,6892,104454.0,20097.0,104454.0,26109.0,210.2638197530836,65.72257448996488,98.17688936299115
104454,6898,104454.0,20070.0,104454.0,26105.0,211.7650493363483,65.47721968265454,98.44426772336593
104454,6885,104454.0,20067.0,104454.0,26065.0,213.19649381036345,65.22120341956541,98.68647243414996
104454,6890,104454.0,20043.0,104454.0,26080.0,214.55626664391764,64.95363688926857,98.90255639635696
104454,6874,104454.0,20063.0,104454.0,26070.0,215.84275866572494,64.67334205706588,99.09137097472971
104464,6895,104464.0,20107.0,104464.0,26113.0,217.05451331420764,64.37875397420399,99.25143277524566
104464,6903,104464.0,20096.0,104464.0,26101.0,218.19022981909907,64.06831932646531,99.38117786250923
104464,6891,104464.0,20060.0,104464.0,26095.0,219.2489388826888,63.741004738656294,99.47933633152408
104464,6875,104464.0,20055.0,104464.0,26075.0,220.23011007858454,63.39628145752016,99.54503872703138
104464,6872,104464.0,20040.0,104464.0,26093.0,221.13348255542996,63.03364108632428,99.57762196996977
104464,6878,104464.0,20052.0,104464.0,26078.0,221.95878500841397,62.652148321658494,99.5764444485298
104474,6870,104474.0,20053.0,104474.0,26096.0,222.705587775163,62.25026951257295,99.54086207551134
