c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138023.0,3859.0,138023.0,14548.0,138023.0,37428.0,-70.77481476035334,-25.802713251899323,-66.07568893306257
138023.0,3875.0,138023.0,14569.0,138023.0,37427.0,-75.51534754959404,-27.37497652911121,-71.88999994368933
138023.0,3866.0,138023.0,14580.0,138023.0,37428.0,-80.37806434477125,-29.004536486502605,-77.80842242790595
138023.0,3850.0,138023.0,14576.0,138023.0,37401.0,-85.3585271707927,-30.691566429241018,-83.8235001940606
138033.0,3824.0,138033.0,14535.0,138033.0,37380.0,-90.45175532046862,-32.43525148095,-89.92779783123808
138033.0,3836.0,138033.0,14511.0,138033.0,37381.0,-95.65250122610959,-34.23403606319224,-96.1142083046995
138033.0,3826.0,138033.0,14530.0,138033.0,37388.0,-100.95548838625037,-36.08623586916269,-102.37621727493371
138033.0,3832.0,138033.0,14558.0,138033.0,37396.0,-106.35542533314921,-37.99040523749443,-108.70785521373324
138033.0,3801.0,138033.0,14543.0,138033.0,37387.0,-111.84694151859497,-39.94513213479918,-115.10341038300184
138033.0,3804.0,138033.0,14534.0,138033.0,37336.0,-117.42465777951283,-41.94867565636626,-121.5572570222292
138043.0,3786.0,138043.0,14511.0,138043.0,37338.0,-123.08338548530007,-43.9989439276,-128.06410046473837
138043.0,3804.0,138043.0,14493.0,138043.0,37316.0,-128.81827442849573,-46.09383067634732,-134.61948555943866
138043.0,3791.0,138043.0,14511.0,138043.0,37359.0,-134.6247841550543,-48.23164543327839,-141.22009703903885
138043.0,3792.0,138043.0,14519.0,138043.0,37347.0,-140.4985396030851,-50.411311605356936,-147.86359091632684
138043.0,3787.0,138043.0,14552.0,138043.0,37341.0,-146.43521083518786,-52.63214426959609,-154.54815534204437
138043.0,3771.0,138043.0,14488.0,138043.0,37342.0,-152.43046962451288,-54.893440451404594,-161.27219765331523
138054.0,3768.0,138054.0,14496.0,138054.0,37316.0,-158.48002910680083,-57.19441212669285,-168.03426898031833
138054.0,3756.0,138054.0,14534.0,138054.0,37336.0,-164.57974842478546,-59.534470066382326,-174.83309087618443
138054.0,3769.0,138054.0,14547.0,138054.0,37331.0,-170.72570131714048,-61.91317453258319,-181.6675180730635
138054.0,3745.0,138054.0,14527.0,138054.0,37340.0,-176.914142002927,-64.32970309223293,-188.53632003183816
138054.0,3738.0,138054.0,14464.0,138054.0,37256.0,-183.14147776940817,-66.78258636507523,-195.43802214705303
138054.0,3729.0,138054.0,14477.0,138054.0,37268.0,-189.4043718310533,-69.27017921229088,-202.37124376952121
138064.0,3708.0,138064.0,14483.0,138064.0,37259.0,-195.6999280057053,-71.79136957478484,-209.335367145475
138064.0,3720.0,138064.0,14477.0,138064.0,37273.0,-202.02586624648265,-74.34585920452035,-216.33088769747917
138064.0,3720.0,138064.0,14509.0,138064.0,37280.0,-208.3805818642454,-76.93402036776297,-223.3592574573454
138064.0,3717.0,138064.0,14510.0,138064.0,37299.0,-214.76300756551694,-79.55655518701259,-230.4224563871705
138064.0,3719.0,138064.0,14492.0,138064.0,37290.0,-221.17239168757285,-82.21409320317781,-237.5224635633335
138064.0,3701.0,138064.0,14503.0,138064.0,37253.0,-227.6081424230362,-84.9069760572942,-244.6608750599845
138074.0,3696.0,138074.0,14472.0,138074.0,37261.0,-234.06979472463973,-87.63529605705797,-251.83891334231888
138074.0,3703.0,138074.0,14511.0,138074.0,37252.0,-240.55705538850611,-90.39899636470867,-259.05764800817235
138074.0,3695.0,138074.0,14522.0,138074.0,37294.0,-247.0697745526084,-93.19777376754008,-266.31798666786915
138074.0,3685.0,138074.0,14479.0,138074.0,37255.0,-253.6078314782491,-96.03074760784405,-273.62031450537165
138074.0,3671.0,138074.0,14441.0,138074.0,37190.0,-260.17110258869917,-98.89641295541828,-280.9642681864573
138074.0,3664.0,138074.0,14450.0,138074.0,37191.0,-266.7595684331828,-101.79319779705794,-288.3491905046621
138085.0,3662.0,138085.0,14461.0,138085.0,37196.0,-273.373448274846,-104.72006776425079,-295.7749095980639
138085.0,3649.0,138085.0,14455.0,138085.0,37201.0,-280.01326718714813,-107.67664620622513,-303.24205754838863
138085.0,3675.0,138085.0,14476.0,138085.0,37214.0,-286.6798232712447,-110.66300141754151,-310.75184134387985
138085.0,3662.0,138085.0,14477.0,138085.0,37214.0,-293.37399629052766,-113.67934995139561,-318.3056081949981
138085.0,3654.0,138085.0,14450.0,138085.0,37186.0,-300.0964665054709,-116.72578327736726,-325.9044662284566
138085.0,3632.0,138085.0,14461.0,138085.0,37191.0,-306.847600695157,-119.8022019380301,-333.54915682160515
138095.0,3638.0,138095.0,14490.0,138095.0,37171.0,-313.6275701037747,-122.90835196984976,-341.24013806900643
138095.0,3641.0,138095.0,14485.0,138095.0,37194.0,-320.436455430154,-126.04358920583826,-348.97763448781353
138095.0,3628.0,138095.0,14450.0,138095.0,37143.0,-327.27417088566415,-129.20650908372897,-356.76158009294574
138095.0,3597.0,138095.0,14423.0,138095.0,37142.0,-334.14039147600573,-132.3949924337643,-364.59167137185807
138095.0,3593.0,138095.0,14401.0,138095.0,37153.0,-341.0347324262773,-135.60677859438442,-372.4675908710961
138095.0,3591.0,138095.0,14417.0,138095.0,37112.0,-347.95705933461704,-138.84013486631488,-380.3891423669236
138105.0,3577.0,138105.0,14388.0,138105.0,37123.0,-354.9076558617932,-142.0942439347264,-388.3562996514693
138105.0,3596.0,138105.0,14453.0,138105.0,37129.0,-361.8872145552774,-145.3692465744582,-396.3692761961995
138105.0,3593.0,138105.0,14462.0,138105.0,37132.0,-368.89667913045633,-148.66586478686568,-404.4284052270702
138105.0,3578.0,138105.0,14428.0,138105.0,37120.0,-375.9369806866978,-151.9847106023443,-412.53381806406264
138105.0,3562.0,138105.0,14409.0,138105.0,37103.0,-383.00889651026637,-155.32592205011656,-420.6852242746815
138105.0,3557.0,138105.0,14429.0,138105.0,37102.0,-390.11315083450165,-158.68938329155895,-428.8819150628089
138116.0,3553.0,138116.0,14461.0,138116.0,37103.0,-397.2505774206377,-162.0748833475329,-437.12281991085433
138116.0,3557.0,138116.0,14428.0,138116.0,37083.0,-404.4221557285231,-165.48180058524508,-445.4064647193171
138116.0,3548.0,138116.0,14413.0,138116.0,37089.0,-411.6289085071599,-168.9087844993439,-453.73090230826364
138116.0,3550.0,138116.0,14391.0,138116.0,37046.0,-418.8717538650773,-172.35391847736418,-462.0937367517013
138116.0,3518.0,138116.0,14385.0,138116.0,37045.0,-426.15142714058635,-175.81518955205905,-470.49230838909386
138116.0,3530.0,138116.0,14365.0,138116.0,37042.0,-433.4685433727443,-179.29092723632624,-478.923968758924
138126.0,3513.0,138126.0,14403.0,138126.0,37042.0,-440.82371130491003,-182.78006376835776,-487.3861986435927
138126.0,3545.0,138126.0,14395.0,138126.0,37061.0,-448.21750057582335,-186.28207213370797,-495.8764458631949
138126.0,3527.0,138126.0,14421.0,138126.0,37043.0,-455.6501770831094,-189.79658392335037,-504.3917780162071
138126.0,3512.0,138126.0,14370.0,138126.0,37019.0,-463.121386614215,-193.32300477217598,-512.928595122713
138126.0,3491.0,138126.0,14390.0,138126.0,37018.0,-470.63009434375914,-196.8604511883991,-521.4826329717259
138126.0,3521.0,138126.0,14440.0,138126.0,37047.0,-478.17473771152316,-200.40780439985093,-530.04905289443
138136.0,3516.0,138136.0,14397.0,138136.0,37036.0,-485.75318594724615,-203.96340162695674,-538.6222133588641
138136.0,3489.0,138136.0,14400.0,138136.0,36995.0,-493.3624496293033,-207.52460362037175,-547.195287465785
138136.0,3458.0,138136.0,14377.0,138136.0,36988.0,-500.99859973106925,-211.08778492373236,-555.760250673181
