c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
628.0,2654.0,628.0,71171.0,628.0,93814.0,157.10411592960952,40.4525681402627,116.1306810206312
628.0,2668.0,628.0,71150.0,628.0,93835.0,156.2544292695119,36.94898124047469,116.10306522101736
628.0,2643.0,628.0,71097.0,628.0,93800.0,155.39006097312483,33.53056093370362,116.05735281424568
628.0,2631.0,628.0,71047.0,628.0,93767.0,154.51415255172142,30.214850403247482,115.99541260241666
628.0,2628.0,628.0,71081.0,628.0,93803.0,153.62956294928944,27.016862892997985,115.9187517866414
628.0,2648.0,628.0,71164.0,628.0,93821.0,152.73863077276073,23.948574635125127,115.82823619607406
638.0,2663.0,638.0,71180.0,638.0,93831.0,151.84324856671424,21.01965463765091,115.72438990260767
638.0,2640.0,638.0,71135.0,638.0,93800.0,150.9451984624805,18.238805607979636,115.60789170820433
638.0,2630.0,638.0,71078.0,638.0,93781.0,150.04635046484034,15.614335511783892,115.47966136893248
638.0,2611.0,638.0,71055.0,638.0,93798.0,149.1484926126407,13.153512237851004,115.3405173183985
638.0,2624.0,638.0,71070.0,638.0,93786.0,148.25299330160223,10.861490354833613,115.19086524715158
638.0,2635.0,638.0,71141.0,638.0,93836.0,147.36063772214348,8.740845877563487,115.03072916640035
649.0,2631.0,649.0,71205.0,649.0,93837.0,146.47175979219787,6.792257188886225,114.86014922675403
649.0,2640.0,649.0,71124.0,649.0,93821.0,145.5864955183634,5.015886807871041,114.67973986670987
649.0,2621.0,649.0,71063.0,649.0,93757.0,144.70495135214261,3.4120696284252148,114.49086188060818
649.0,2613.0,649.0,71063.0,649.0,93779.0,143.82720051428726,1.9805770548417598,114.29510280370846
649.0,2626.0,649.0,71094.0,649.0,93792.0,142.95314573360884,0.7194871006499852,114.09361602586955
649.0,2624.0,649.0,71173.0,649.0,93823.0,142.08245481721738,-0.37499376119730243,113.88704510234278
659.0,2640.0,659.0,71188.0,659.0,93824.0,141.21469857276736,-1.307544442721536,113.67602310682906
659.0,2611.0,659.0,71143.0,659.0,93766.0,140.34955347876283,-2.08243065193183,113.46162976802333
659.0,2607.0,659.0,71082.0,659.0,93764.0,139.48683031591196,-2.703055346050462,113.24524781943026
659.0,2603.0,659.0,71040.0,659.0,93770.0,138.626274128897,-3.1727547416583093,113.02796625981935
659.0,2613.0,659.0,71129.0,659.0,93791.0,137.7673682531372,-3.495989803496272,112.81022057177505
659.0,2621.0,659.0,71168.0,659.0,93829.0,136.90935895358194,-3.678603511383642,112.5920199692134
669.0,2631.0,669.0,71188.0,669.0,93794.0,136.05148854894693,-3.7268138932010118,112.37352488271954
669.0,2616.0,669.0,71110.0,669.0,93775.0,135.19328323991002,-3.646071877424774,112.15541005920954
669.0,2601.0,669.0,71067.0,669.0,93757.0,134.33467507678586,-3.441016217456294,111.93864090335407
669.0,2586.0,669.0,71054.0,669.0,93762.0,133.47583260974952,-3.1165334072284168,111.7239423132165
669.0,2610.0,669.0,71165.0,669.0,93797.0,132.61687224062845,-2.6787345066122583,111.51150841081578
669.0,2603.0,669.0,71158.0,669.0,93796.0,131.757772043596,-2.134721499879305,111.30120206364549
680.0,2605.0,680.0,71171.0,680.0,93792.0,130.89852650204222,-1.4914526197536873,111.09300943836988
680.0,2591.0,680.0,71089.0,680.0,93746.0,130.03928110137645,-0.7550096904628987,110.8872375858081
680.0,2569.0,680.0,71095.0,680.0,93745.0,129.18025857062545,0.06907906754624094,110.68419602063258
680.0,2569.0,680.0,71078.0,680.0,93781.0,128.32148081598208,0.9749486858295882,110.4837103672312
680.0,2598.0,680.0,71154.0,680.0,93820.0,127.4625192687305,1.9558463616998125,110.28514196265408
680.0,2596.0,680.0,71221.0,680.0,93812.0,126.60258732414609,3.0045532552916256,110.088065199384
690.0,2586.0,690.0,71186.0,690.0,93783.0,125.74087976894648,4.114645817523311,109.89294896094533
690.0,2576.0,690.0,71110.0,690.0,93747.0,124.87675042842602,5.281443351264045,109.70118242546437
690.0,2570.0,690.0,71067.0,690.0,93731.0,124.00960865722104,6.50156538825577,109.51445533991962
690.0,2584.0,690.0,71096.0,690.0,93776.0,123.13876135029388,7.771558421091797,109.33407353240855
690.0,2586.0,690.0,71168.0,690.0,93782.0,122.26342512611099,9.087053235861177,109.16083291912062
690.0,2602.0,690.0,71190.0,690.0,93777.0,121.38294513012698,10.44322602533029,108.99544387048434
700.0,2573.0,700.0,71118.0,700.0,93777.0,120.49706060705223,11.835834883836377,108.83893724288012
700.0,2558.0,700.0,71109.0,700.0,93742.0,119.60594810546172,13.261508320987438,108.69271408751493
700.0,2554.0,700.0,71069.0,700.0,93723.0,118.70994316022951,14.71702082175893,108.55823697814388
700.0,2563.0,700.0,71167.0,700.0,93748.0,117.80921162699997,16.19849861993856,108.4365329077098
700.0,2582.0,700.0,71215.0,700.0,93769.0,116.90370254968754,17.70158384305917,108.32796507165284
700.0,2570.0,700.0,71217.0,700.0,93775.0,115.99339469778747,19.2226522658801,108.23253456491729
711.0,2561.0,711.0,71134.0,711.0,93747.0,115.07854738075011,20.759933306556967,108.1503315200672
711.0,2545.0,711.0,71088.0,711.0,93723.0,114.15969245378817,22.3133323086467,108.08159332556451
711.0,2537.0,711.0,71085.0,711.0,93716.0,113.23739179044067,23.883133255053963,108.02628694881489
711.0,2551.0,711.0,71139.0,711.0,93761.0,112.31198079141801,25.468832586492965,107.98367676618476
711.0,2570.0,711.0,71192.0,711.0,93783.0,111.383546830327,27.069081583016647,107.95243645033986
711.0,2549.0,711.0,71200.0,711.0,93749.0,110.45218512269662,28.682644235402734,107.93123815393278
721.0,2542.0,721.0,71107.0,721.0,93740.0,109.5182142890255,30.309322356038862,107.91911477386796
721.0,2535.0,721.0,71071.0,721.0,93752.0,108.5821047126216,31.949738965232797,107.91530594331402
721.0,2520.0,721.0,71112.0,721.0,93717.0,107.64424717549556,33.6041459063775,107.91898240679558
721.0,2547.0,721.0,71176.0,721.0,93759.0,106.70477424880038,35.27168442345253,107.92908962794948
721.0,2547.0,721.0,71205.0,721.0,93752.0,105.7635983471277,36.950952707696416,107.9443652983907
721.0,2539.0,721.0,71190.0,721.0,93739.0,104.82066036974659,38.64121868093849,107.96354494746078
732.0,2531.0,732.0,71091.0,732.0,93719.0,103.87610965565808,40.34302334522259,107.98543796804344
732.0,2520.0,732.0,71081.0,732.0,93727.0,102.93024728315908,42.057512961813806,108.00868994113446
732.0,2527.0,732.0,71104.0,732.0,93716.0,101.98336222613024,43.78511121093493,108.03150045304142
732.0,2528.0,732.0,71214.0,732.0,93748.0,101.0356485634265,45.524945885576265,108.05154536916329
732.0,2534.0,732.0,71237.0,732.0,93807.0,100.08727860946016,47.27575460035986,108.06628373264898
732.0,2532.0,732.0,71131.0,732.0,93743.0,99.13856719908294,49.03732850721988,108.07365947629154
742.0,2501.0,742.0,71076.0,742.0,93729.0,98.19006117391875,50.81072936574621,108.0725463856707
742.0,2498.0,742.0,71106.0,742.0,93700.0,97.24238204279634,52.59699665329185,108.06237985387554
742.0,2510.0,742.0,71134.0,742.0,93751.0,96.29591893793072,54.3959373556598,108.04249556137984
742.0,2515.0,742.0,71228.0,742.0,93763.0,95.3507179040326,56.206216693598364,108.01201089924197
742.0,2526.0,742.0,71210.0,742.0,93750.0,94.40667678855816,58.0265231352283,107.97029165600185
742.0,2518.0,742.0,71161.0,742.0,93738.0,93.46384335716415,59.856720989807776,107.9173624748752
752.0,2496.0,752.0,71107.0,752.0,93700.0,92.5225778349145,61.69791197299516,107.85381587998025
752.0,2489.0,752.0,71100.0,752.0,93705.0,91.58343618514424,63.55140169930184,107.78032915145856
