c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
69423,2026,69423,17310,69423,29575,-39.356633127282464,208.58569439543635,318.1905337427311
69423,2017,69423,17357,69423,29609,-41.07289740576807,210.82266689942477,321.0694423089622
69433,2017,69433,17366,69433,29589,-42.811187555419714,213.02545337485085,323.9058344442777
69433,2018,69433,17331,69433,29597,-44.56740205779386,215.1879976607529,326.69274219575345
69433,2015,69433,17299,69433,29575,-46.33749455298786,217.3055042753278,329.4238165934997
69433,2019,69433,17290,69433,29584,-48.1174471881944,219.37387906276516,332.093150427986
69433,2005,69433,17308,69433,29593,-49.90324557662338,221.38901559671942,334.69510707829534
69433,2001,69433,17370,69433,29614,-51.69092430321014,223.34660542459798,337.2243660496284
69444,2004,69444,17349,69444,29601,-53.476687153776766,225.2426584687921,339.6761894482907
69444,2006,69444,17336,69444,29599,-55.25698279561149,227.07416910210208,342.04664647975056
69444,2007,69444,17288,69444,29588,-57.02846115413179,228.83918126867798,344.3325957719224
69444,2000,69444,17301,69444,29578,-58.78788952576748,230.5362102483113,346.53148231397785
69444,1998,69444,17332,69444,29580,-60.53212972205349,232.16366872122776,348.6410806553814
69444,1992,69444,17322,69444,29614,-62.25819051589296,233.7198314477357,350.6593645605655
69454,1989,69454,17367,69454,29615,-63.963312992979255,235.20322326297318,352.58470758651896
69454,1990,69454,17307,69454,29590,-65.6450484297701,236.61301355279247,354.416254771885
69454,1992,69454,17290,69454,29563,-67.30128831199985,237.94902262931518,356.15396562855244
69454,1992,69454,17308,69454,29564,-68.93022633549228,239.21123682336963,357.7981827548716
69454,1992,69454,17326,69454,29592,-70.53028686108047,240.39939287262877,359.34918343473635
69454,1991,69454,17355,69454,29598,-72.1000644047391,241.51314765620074,360.8071796692394
69464,1992,69464,17321,69464,29581,-73.63828230970448,242.55258234154516,362.1726472323306
69464,1997,69464,17291,69464,29578,-75.1437443385833,243.51841157414626,363.446508166787
69464,1995,69464,17277,69464,29552,-76.61525291939523,244.41158402919004,364.6299805202996
69464,1987,69464,17302,69464,29561,-78.05153455962792,245.23265476401087,365.72425516556547
69464,1979,69464,17349,69464,29582,-79.45126353489678,245.9816194328227,366.73027084520817
69464,1975,69464,17344,69464,29595,-80.81320008263476,246.6584349786416,367.64884036830347
69475,1984,69475,17302,69475,29591,-82.1363338614758,247.26366218021082,368.4810631662459
69475,1992,69475,17278,69475,29539,-83.41988903115637,247.79847317891134,369.2285769353249
69475,1981,69475,17276,69475,29541,-84.66318693810217,248.26402599041094,369.89328608205636
69475,1985,69475,17296,69475,29564,-85.86553237765224,248.6608778417139,370.47683607394373
69475,1974,69475,17335,69475,29576,-87.02622261812675,248.98895537293905,370.98047110766316
69475,1973,69475,17341,69475,29553,-88.14463266385671,249.24809585124757,371.40532968235243
69485,1979,69485,17286,69485,29541,-89.22030594885277,249.43865346383592,371.75262758428977
69485,1976,69485,17274,69485,29529,-90.25297762648054,249.56149881508838,372.0234611128023
69485,1976,69485,17273,69485,29538,-91.24253046946853,249.6174217339803,372.2184834728917
69485,1976,69485,17296,69485,29553,-92.1889602901613,249.606635549978,372.33778416634823
69485,1981,69485,17326,69485,29554,-93.09235493269821,249.5288502944395,372.38106849860065
69485,1974,69485,17320,69485,29546,-93.95285243452386,249.38379946729538,372.34795101328194
69496,1985,69496,17262,69496,29530,-94.77059454459157,249.17167396914147,372.2380835867357
69496,1980,69496,17255,69496,29504,-95.54567357072892,248.89290870459033,372.0509906980803
69496,1980,69496,17258,69496,29525,-96.27806850491095,248.54749589166505,371.7857231909561
69496,1974,69496,17304,69496,29532,-96.96762708806381,248.13459408059092,371.44066243372436
69496,1976,69496,17312,69496,29545,-97.61411405227719,247.65283965183676,371.0136995415476
69496,1962,69496,17306,69496,29522,-98.21729316519082,247.10103095105114,370.502583290525
69506,1982,69506,17248,69506,29504,-98.77701272716405,246.47850310482013,369.90504418654496
69506,1974,69506,17260,69506,29493,-99.29321560292458,245.78483535366652,369.2185591699281
69506,1978,69506,17263,69506,29520,-99.76585355527048,245.01928757324364,368.440034278982
69506,1971,69506,17280,69506,29518,-100.19482528240862,244.1805953772157,367.5657918848762
69506,1975,69506,17318,69506,29533,-100.5799948250321,243.26727560572579,366.5918889047848
69506,1974,69506,17266,69506,29510,-100.92122558745828,242.27816093962883,365.5144686210571
69516,1973,69516,17233,69516,29482,-101.21838747874166,241.21259704176654,364.32984671875556
69516,1984,69516,17227,69516,29478,-101.47133515420252,240.06995620559766,363.0342264305725
69516,1968,69516,17254,69516,29494,-101.67986343286421,238.84898358336247,361.62331813505995
69516,1980,69516,17276,69516,29515,-101.84369048864086,237.54770253311324,360.0923087501991
69516,1975,69516,17265,69516,29513,-101.96248096422013,236.16387305445724,358.43625593694753
69516,1978,69516,17267,69516,29493,-102.03584628140291,234.69547315820216,356.6505348990436
69527,1981,69527,17228,69527,29462,-102.06331608745319,233.14083087200655,354.7309230707983
69527,1976,69527,17224,69527,29471,-102.04431120584928,231.49837861239712,352.673286412894
69527,1971,69527,17260,69527,29495,-101.97815250985593,229.76631532218946,350.47329850483834
69527,1969,69527,17277,69527,29504,-101.86414621139158,227.94267628301614,348.1266155246028
69527,1969,69527,17275,69527,29490,-101.70170713521188,226.02589970196476,345.6293716627947
69527,1968,69527,17234,69527,29462,-101.49044916905294,224.01532753591096,342.97848512869456
69537,1979,69537,17203,69537,29455,-101.2302125514405,221.9111103845479,340.17152797483027
69537,1977,69537,17218,69537,29448,-100.92101181936597,219.7136237299736,337.20638447096576
69537,1966,69537,17254,69537,29469,-100.56296715641832,217.42306941932551,334.0810664237811
