c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
172941.0,20511.0,172941.0,31252.0,172941.0,25812.0,163.47776569749144,102.20986158487794,137.25507415249683
172941.0,20493.0,172941.0,31222.0,172941.0,25810.0,158.79825227911903,96.94606313120639,133.4987321662572
172952.0,20479.0,172952.0,31199.0,172952.0,25790.0,153.99727571621378,91.61250626886529,129.6329293877052
172952.0,20471.0,172952.0,31170.0,172952.0,25800.0,149.0856232930551,86.2271428566231,125.66586141168821
172952.0,20481.0,172952.0,31188.0,172952.0,25793.0,144.07390330979217,80.80695700226696,121.60603933710155
172952.0,20462.0,172952.0,31202.0,172952.0,25792.0,138.97253726992605,75.36773908081491,117.4623462381969
172952.0,20477.0,172952.0,31196.0,172952.0,25778.0,133.7918646412752,69.9243243444531,113.24411893533988
172952.0,20460.0,172952.0,31178.0,172952.0,25767.0,128.5422667599648,64.49096574473194,108.96112930578808
172962.0,20446.0,172962.0,31148.0,172962.0,25747.0,123.23425489957188,59.08140538357303,104.62343042863752
172962.0,20432.0,172962.0,31162.0,172962.0,25755.0,117.87841288678523,53.70862186870373,100.24113200763666
172962.0,20433.0,172962.0,31161.0,172962.0,25749.0,112.48521820764832,48.384619422297376,95.82426462169596
172962.0,20437.0,172962.0,31200.0,172962.0,25756.0,107.064951728556,43.12058818864266,91.38283163845519
172962.0,20426.0,172962.0,31161.0,172962.0,25738.0,101.62779080723826,37.9273786850913,86.92695537408845
172962.0,20403.0,172962.0,31149.0,172962.0,25734.0,96.18391546716167,32.81585088177688,82.4669512284514
172972.0,20395.0,172972.0,31108.0,172972.0,25721.0,90.74342088531301,27.796727214561002,78.01327077838181
172972.0,20392.0,172972.0,31120.0,172972.0,25697.0,85.31610062251474,22.880092864048777,73.5763438505991
172972.0,20402.0,172972.0,31150.0,172972.0,25714.0,79.91135121105367,18.07506709986427,69.16636780639297
172972.0,20395.0,172972.0,31157.0,172972.0,25711.0,74.53830503927566,13.39003391912749,64.79320964653513
172972.0,20402.0,172972.0,31142.0,172972.0,25706.0,69.20608194554057,8.833227285258886,60.46653191052492
172972.0,20374.0,172972.0,31099.0,172972.0,25693.0,63.92399125341538,4.413051432068812,56.19595181962222
172983.0,20346.0,172983.0,31086.0,172983.0,25684.0,58.70150788614865,0.13781419165911757,51.991039071819756
172983.0,20350.0,172983.0,31089.0,172983.0,25687.0,53.54796559463898,-3.984833485521875,47.86121471118548
172983.0,20356.0,172983.0,31108.0,172983.0,25684.0,48.47225638542773,-7.948207703107357,43.81571265872057
172983.0,20352.0,172983.0,31112.0,172983.0,25684.0,43.48284142958968,-11.74642709619323,39.863658239335734
172983.0,20347.0,172983.0,31112.0,172983.0,25670.0,38.587959835765275,-15.373998464706773,36.014172337094124
172983.0,20319.0,172983.0,31061.0,172983.0,25642.0,33.79573954828459,-18.825563572487965,32.27634303176799
172993.0,20312.0,172993.0,31060.0,172993.0,25641.0,29.114072488773786,-22.09610073196754,28.658977401672587
172993.0,20326.0,172993.0,31081.0,172993.0,25649.0,24.55039129087038,-25.18136480914214,25.17030926365487
172993.0,20320.0,172993.0,31090.0,172993.0,25651.0,20.111638788212275,-28.077993097302652,21.81794993488805
172993.0,20321.0,172993.0,31097.0,172993.0,25641.0,15.804464417315387,-30.783149702630226,18.609061512537664
172993.0,20309.0,172993.0,31057.0,172993.0,25642.0,11.635416604179454,-33.294153772011214,15.550505529340711
172993.0,20294.0,172993.0,31054.0,172993.0,25611.0,7.610985208257063,-35.60849640234119,12.648835209126077
173002.0,20286.0,173002.0,31019.0,173002.0,25618.0,3.737487738976853,-37.72424024759974,9.910125028139731
173002.0,20289.0,173002.0,31065.0,173002.0,25617.0,0.020902344141973117,-39.640455846102384,7.33976284139456
173002.0,20290.0,173002.0,31071.0,173002.0,25635.0,-3.5331846653413095,-41.35727379398517,4.942435081991249
173002.0,20281.0,173002.0,31080.0,173002.0,25605.0,-6.9194886164958405,-42.875461728581314,2.7223089055535468
173002.0,20263.0,173002.0,31049.0,173002.0,25607.0,-10.1329617517803,-44.19595919745353,0.683127805753486
173002.0,20257.0,173002.0,31030.0,173002.0,25602.0,-13.168897839444298,-45.319841919589436,-1.1718988350118877
173013.0,20266.0,173013.0,31012.0,173013.0,25607.0,-16.023109141806998,-46.24873564671489,-2.8402100099031315
173013.0,20267.0,173013.0,31069.0,173013.0,25594.0,-18.691951261002487,-46.985248535214396,-4.319891871354599
173013.0,20256.0,173013.0,31073.0,173013.0,25616.0,-21.172181832676046,-47.53288164108818,-5.609627900336903
173013.0,20247.0,173013.0,31076.0,173013.0,25599.0,-23.460869725239718,-47.89543364536928,-6.708602548568365
173013.0,20246.0,173013.0,31043.0,173013.0,25579.0,-25.55545806119403,-48.07652705509395,-7.616433275939443
173013.0,20234.0,173013.0,31018.0,173013.0,25595.0,-27.45387997031827,-48.07970502752909,-8.333286836624097
173023.0,20234.0,173023.0,31028.0,173023.0,25596.0,-29.154656327218504,-47.90895096913269,-8.860021976576974
173023.0,20246.0,173023.0,31062.0,173023.0,25599.0,-30.65694316036857,-47.56907831605744,-9.198121762314003
173023.0,20242.0,173023.0,31064.0,173023.0,25603.0,-31.96044783286493,-47.065579549806856,-9.3495106293133
173023.0,20232.0,173023.0,31053.0,173023.0,25590.0,-33.06527271197305,-46.40417511621372,-9.316428120642797
173023.0,20217.0,173023.0,31039.0,173023.0,25577.0,-33.97189680583935,-45.590602406773684,-9.10144829948021
173023.0,20217.0,173023.0,31031.0,173023.0,25575.0,-34.68135202913638,-44.63079032791576,-8.707677142905908
173034.0,20224.0,173034.0,31060.0,173034.0,25595.0,-35.19541194703183,-43.53112178606425,-8.138957840240494
173034.0,20240.0,173034.0,31069.0,173034.0,25591.0,-35.516582497064576,-42.29841962643107,-7.399853190818078
173034.0,20236.0,173034.0,31094.0,173034.0,25596.0,-35.64787034828365,-40.939574871761764,-6.495453546909033
173034.0,20222.0,173034.0,31057.0,173034.0,25592.0,-35.59254333392474,-39.461106436479795,-5.431226694268361
173034.0,20217.0,173034.0,31035.0,173034.0,25581.0,-35.35411559109269,-37.86908922095489,-4.213000575548648
173034.0,20212.0,173034.0,31038.0,173034.0,25589.0,-34.93653099493878,-36.16957787002819,-2.84705439636042
173044.0,20218.0,173044.0,31056.0,173044.0,25593.0,-34.34434240122596,-34.369088873131545,-1.34020864461732
173044.0,20232.0,173044.0,31092.0,173044.0,25608.0,-33.58273883752261,-32.47462880597655,0.3002258160346969
173044.0,20229.0,173044.0,31083.0,173044.0,25612.0,-32.65739621178267,-30.493256360928456,2.066651940157726
173044.0,20237.0,173044.0,31084.0,173044.0,25591.0,-31.57426267751603,-28.431600900968164,3.951386365343211
173044.0,20221.0,173044.0,31023.0,173044.0,25578.0,-30.339428230339593,-26.295798721766175,5.946616392801673
173044.0,20229.0,173044.0,31060.0,173044.0,25615.0,-28.95913298651743,-24.09194192290471,8.044148735207926
173054.0,20233.0,173054.0,31070.0,173054.0,25610.0,-27.43983097541829,-21.82655399436473,10.235346933789856
173054.0,20234.0,173054.0,31097.0,173054.0,25621.0,-25.788177703210522,-19.506543490452543,12.511379132161977
173054.0,20231.0,173054.0,31084.0,173054.0,25616.0,-24.010957469614425,-17.138763074782005,14.863470902477445
173054.0,20233.0,173054.0,31049.0,173054.0,25610.0,-22.115057480888936,-14.729752499645159,17.282979247803695
173054.0,20216.0,173054.0,31045.0,173054.0,25617.0,-20.107524967450928,-12.28600123756533,19.76133258417059
173054.0,20222.0,173054.0,31060.0,173054.0,25606.0,-17.995713154388852,-9.814479610605858,22.289928048875908
173065.0,20230.0,173065.0,31101.0,173065.0,25624.0,-15.787438954723939,-7.32284727808063,24.860057242870013
173065.0,20259.0,173065.0,31103.0,173065.0,25617.0,-13.490949775439958,-4.819093986218277,27.462899136489327
173065.0,20234.0,173065.0,31100.0,173065.0,25620.0,-11.114660734512285,-2.3109745813225544,30.08956220625612
173065.0,20223.0,173065.0,31070.0,173065.0,25619.0,-8.666985819685664,0.19423579958834125,32.731093115021565
173065.0,20230.0,173065.0,31067.0,173065.0,25620.0,-6.156503541004696,2.68949863965409,35.37843400885026
173065.0,20243.0,173065.0,31087.0,173065.0,25637.0,-3.5921916979798425,5.1675868724388465,38.02240966851434
173075.0,20246.0,173075.0,31118.0,173075.0,25641.0,-0.9834132594334335,7.620967601902734,40.65382980359537
173075.0,20259.0,173075.0,31117.0,173075.0,25658.0,1.6602821748901135,10.042152819739457,43.26371487865222
173075.0,20260.0,173075.0,31106.0,173075.0,25647.0,4.329375686119107,12.42414599615887,45.8435466027413
173075.0,20248.0,173075.0,31083.0,173075.0,25630.0,7.014524359444096,14.760531469046313,48.38536528242173
173075.0,20257.0,173075.0,31070.0,173075.0,25633.0,9.70655802281533,17.045129955090957,50.88159896017899
173075.0,20259.0,173075.0,31116.0,173075.0,25642.0,12.396396508491023,19.2715644250556,53.324794589113765
173085.0,20272.0,173085.0,31149.0,173085.0,25660.0,15.075057725768858,21.433282949339258,55.707555047826546
173085.0,20272.0,173085.0,31137.0,173085.0,25657.0,17.733787193253136,23.52416014146648,58.02273080578475
173085.0,20265.0,173085.0,31099.0,173085.0,25648.0,20.36418789607589,25.539023744943265,60.263629701431725
173085.0,20267.0,173085.0,31098.0,173085.0,25644.0,22.958229326263478,27.473515631179737,62.42402042897727
173085.0,20271.0,173085.0,31104.0,173085.0,25651.0,25.508166332350754,29.32356260104821,64.49797649478225
173085.0,20284.0,173085.0,31121.0,173085.0,25676.0,28.006519816375487,31.085076392264526,66.4798178569973
173096.0,20268.0,173096.0,31149.0,173096.0,25660.0,30.44615595484254,32.75409956476311,68.36427995728347
173096.0,20273.0,173096.0,31115.0,173096.0,25653.0,32.820318476884125,34.327182880790076,70.1466897411982
173096.0,20265.0,173096.0,31092.0,173096.0,25636.0,35.122531257129125,35.80152277810827,71.82286753907428
173096.0,20264.0,173096.0,31100.0,173096.0,25650.0,37.346450367028424,37.17461215315635,73.38882781269723
173096.0,20282.0,173096.0,31101.0,173096.0,25650.0,39.485766980732265,38.44378500608128,74.84057436755486
173096.0,20285.0,173096.0,31145.0,173096.0,25656.0,41.53425847926083,39.606134653058255,76.17411158435438
173106.0,20287.0,173106.0,31146.0,173106.0,25681.0,43.48597986044797,40.65888451722239,77.38560703940853
173106.0,20276.0,173106.0,31130.0,173106.0,25657.0,45.33540947131364,41.59990803002858,78.47163481007242
173106.0,20272.0,173106.0,31106.0,173106.0,25651.0,47.07741164005732,42.42791001128234,79.4293134036457
173106.0,20272.0,173106.0,31093.0,173106.0,25639.0,48.70707102590349,43.142101625502264,80.25615223677731
173106.0,20292.0,173106.0,31113.0,173106.0,25653.0,50.219580988136144,43.741712990724594,80.94976663264464
173106.0,20298.0,173106.0,31125.0,173106.0,25661.0,51.61034803026634,44.225794758123364,81.50776902307535
173116.0,20291.0,173116.0,31148.0,173116.0,25684.0,52.875249737484154,44.59345439644985,81.92794976096076
173116.0,20273.0,173116.0,31109.0,173116.0,25658.0,54.0107691035096,44.84425198378194,82.20861000448312
173116.0,20283.0,173116.0,31103.0,173116.0,25639.0,55.01386978883795,44.978300194989046,82.3487027087087
173116.0,20276.0,173116.0,31092.0,173116.0,25639.0,55.881800629632366,44.99594505090339,82.34758750077022
173116.0,20278.0,173116.0,31124.0,173116.0,25655.0,56.61200960725037,44.897418004557856,82.20469493605799
173116.0,20284.0,173116.0,31115.0,173116.0,25660.0,57.20214105956505,44.68283779070235,81.9194907353818
173127.0,20282.0,173127.0,31124.0,173127.0,25665.0,57.6500818126941,44.35246893989109,81.49171776028791
173127.0,20276.0,173127.0,31107.0,173127.0,25637.0,57.95402595203153,43.90691720314789,80.92161015966425
173127.0,20281.0,173127.0,31092.0,173127.0,25630.0,58.1124874691415,43.34709593101734,80.20983077591595
173127.0,20262.0,173127.0,31077.0,173127.0,25640.0,58.12425274696756,42.673959339730004,79.35719453792409
173127.0,20279.0,173127.0,31126.0,173127.0,25639.0,57.988301262821594,41.888219174595164,78.36449959151408
173127.0,20285.0,173127.0,31119.0,173127.0,25647.0,57.70378966271376,40.990433294613574,77.23260173087836
173137.0,20266.0,173137.0,31112.0,173137.0,25647.0,57.270166021432445,39.98142567882853,75.96259651465931
173137.0,20260.0,173137.0,31083.0,173137.0,25617.0,56.68722206079282,38.862503571146604,74.5559349965215
173137.0,20264.0,173137.0,31084.0,173137.0,25612.0,55.95495584871577,37.63523698298623,73.01430506433849
173137.0,20256.0,173137.0,31092.0,173137.0,25622.0,55.07342914387321,36.301118235565305,71.33933905302067
173137.0,20277.0,173137.0,31106.0,173137.0,25648.0,54.042767117524775,34.861479928199806,69.53252398873305
173137.0,20273.0,173137.0,31110.0,173137.0,25638.0,52.86330854418425,33.31772794849361,67.59549654532417
173147.0,20263.0,173147.0,31102.0,173147.0,25610.0,51.535821457946085,31.671662821880794,65.53038065308554
173147.0,20259.0,173147.0,31067.0,173147.0,25616.0,50.061594030697066,29.925593888231063,63.33977510183121
173147.0,20242.0,173147.0,31070.0,173147.0,25589.0,48.44233588629989,28.082100537981006,61.02647606415616
173147.0,20256.0,173147.0,31079.0,173147.0,25612.0,46.6800152789653,26.14367113812154,58.59323194248772
173147.0,20256.0,173147.0,31091.0,173147.0,25628.0,44.77680207304664,24.11261823911643,56.04273079888097
173147.0,20255.0,173147.0,31084.0,173147.0,25612.0,42.73518324253138,21.99130843308056,53.37787896505506
173158.0,20242.0,173158.0,31074.0,173158.0,25597.0,40.55810511019605,19.782397157128514,50.60207932672829
173158.0,20223.0,173158.0,31046.0,173158.0,25572.0,38.24894796697099,17.488811350295933,47.719157058083795
