c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
345584.0,11593.0,345584.0,43881.0,345584.0,64338.0,-271.14988993221056,-246.7516583158889,-548.7308693880635
345584.0,11588.0,345584.0,43851.0,345584.0,64277.0,-276.3263802207219,-252.03515345648685,-557.5979281270767
345584.0,11582.0,345584.0,43819.0,345584.0,64282.0,-281.6369188336368,-257.4015848697387,-566.6341153870369
345584.0,11575.0,345584.0,43831.0,345584.0,64286.0,-287.0800340087613,-262.84321122666506,-575.830999700595
345595.0,11566.0,345595.0,43825.0,345595.0,64291.0,-292.65428616613997,-268.3536624931212,-585.181336922742
345595.0,11567.0,345595.0,43826.0,345595.0,64272.0,-298.35836503632294,-273.92802954723845,-594.6789151068116
345595.0,11582.0,345595.0,43859.0,345595.0,64292.0,-304.19110787791845,-279.5626966866582,-604.3183724698787
345595.0,11572.0,345595.0,43841.0,345595.0,64284.0,-310.15134775948144,-285.25498801615527,-614.0950372189446
345595.0,11551.0,345595.0,43825.0,345595.0,64254.0,-316.2377356283534,-291.002811994879,-624.0047529861455
345595.0,11555.0,345595.0,43818.0,345595.0,64269.0,-322.4487669087819,-296.8046158850807,-634.043860016615
345605.0,11556.0,345605.0,43861.0,345605.0,64280.0,-328.78291553434747,-302.65948827398165,-644.2092310572056
345605.0,11556.0,345605.0,43859.0,345605.0,64285.0,-335.2386265452546,-308.566924027735,-654.4980362463639
345605.0,11549.0,345605.0,43823.0,345605.0,64257.0,-341.8141834891109,-314.52633670577967,-664.907348412202
345605.0,11554.0,345605.0,43793.0,345605.0,64219.0,-348.50759031267836,-320.5369559254551,-675.4340462322231
345605.0,11525.0,345605.0,43798.0,345605.0,64223.0,-355.31652041786595,-326.5982796879636,-686.0751671271138
345605.0,11516.0,345605.0,43796.0,345605.0,64195.0,-362.2384098475285,-332.7105494484754,-696.8283821424455
345616.0,11502.0,345616.0,43809.0,345616.0,64203.0,-369.27072502990666,-338.8748452212844,-707.6922913729493
345616.0,11514.0,345616.0,43802.0,345616.0,64192.0,-376.41122302647454,-345.09288772898026,-718.6665319035914
345616.0,11504.0,345616.0,43797.0,345616.0,64211.0,-383.6580100849011,-351.36680052598024,-729.7517124749924
345616.0,11500.0,345616.0,43861.0,345616.0,64209.0,-391.0094471369945,-357.69885025716735,-740.9491485761976
345616.0,11496.0,345616.0,43776.0,345616.0,64183.0,-398.4640702713056,-364.09103546893965,-752.260529488294
345616.0,11495.0,345616.0,43877.0,345616.0,64192.0,-406.0205545657875,-370.5446898489947,-763.6877560366355
345626.0,11499.0,345626.0,43822.0,345626.0,64213.0,-413.6776363323862,-377.06014030958255,-775.2328680497081
345626.0,11480.0,345626.0,43818.0,345626.0,64175.0,-421.4339897695115,-383.6363308327729,-786.8978024281907
345626.0,11467.0,345626.0,43756.0,345626.0,64172.0,-429.2881896053528,-390.27083907360947,-798.6841740120234
345626.0,11458.0,345626.0,43751.0,345626.0,64142.0,-437.23884679400544,-396.96051240910015,-810.5933726210907
345626.0,11457.0,345626.0,43745.0,345626.0,64133.0,-445.28479588541956,-403.70224995332836,-822.6268608627333
345626.0,11452.0,345626.0,43747.0,345626.0,64132.0,-453.4251722140724,-410.49344898609326,-834.7864459992351
345636.0,11438.0,345636.0,43696.0,345636.0,64148.0,-461.659395131594,-417.3321604083915,-847.0743416644113
345636.0,11474.0,345636.0,43741.0,345636.0,64144.0,-469.98709576120064,-424.21727305084966,-859.4929161587728
