c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
413929.0,9955.0,413929.0,9932.0,413929.0,24484.0,156.10260301206728,95.02257680138698,134.42435915829913
413929.0,9912.0,413929.0,9892.0,413929.0,24413.0,147.9321229838615,88.66848551091402,124.61979315968014
413929.0,9875.0,413929.0,9844.0,413929.0,24403.0,139.5700296322595,82.21077713944833,114.67610682699144
413929.0,9866.0,413929.0,9823.0,413929.0,24395.0,131.0325843077839,75.66500642374314,104.61286538204268
413929.0,9855.0,413929.0,9845.0,413929.0,24428.0,122.33463981034807,69.04473107401736,94.44784638890229
413929.0,9896.0,413929.0,9857.0,413929.0,24425.0,113.48943142878842,62.36120343642639,84.19729840266447
413940.0,9933.0,413940.0,9905.0,413940.0,24438.0,104.50900039096214,55.623780814934165,73.87658102856986
413940.0,9855.0,413940.0,9890.0,413940.0,24386.0,95.40502870327467,48.84078290370246,63.50070421087025
413940.0,9839.0,413940.0,9851.0,413940.0,24365.0,86.18924108987994,42.02023544558314,53.084391857465874
413940.0,9831.0,413940.0,9828.0,413940.0,24317.0,76.87300533069575,35.16995950486216,42.64161062301778
413940.0,9841.0,413940.0,9889.0,413940.0,24367.0,67.46685106134439,28.29723274601109,32.1849620483072
413940.0,9848.0,413940.0,9873.0,413940.0,24342.0,57.980497594044124,21.408848139937717,21.725508294845156
413950.0,9811.0,413950.0,9888.0,413950.0,24327.0,48.42317995075504,14.511713542386673,11.27304523276004
413950.0,9757.0,413950.0,9787.0,413950.0,24303.0,38.80371222073114,7.6132451666283885,0.8362659980804494
413950.0,9764.0,413950.0,9749.0,413950.0,24299.0,29.13001676406529,0.7208727306869207,-9.577395768309401
413950.0,9762.0,413950.0,9779.0,413950.0,24303.0,19.40856217235978,-6.15912134738295,-19.961925560389545
413950.0,9773.0,413950.0,9757.0,413950.0,24307.0,9.644270302857251,-13.02242922015003,-30.312633755980613
413950.0,9843.0,413950.0,9862.0,413950.0,24329.0,-0.15900056780375849,-19.866608475581586,-40.62578541328105
413961.0,9797.0,413961.0,9831.0,413961.0,24273.0,-9.997520085349066,-26.69017435066209,-50.89813843263025
413961.0,9752.0,413961.0,9786.0,413961.0,24235.0,-19.866882647611902,-33.49156323516934,-61.12684352418165
413961.0,9724.0,413961.0,9772.0,413961.0,24243.0,-29.76206539133304,-40.26887617490203,-71.3099084613047
413961.0,9735.0,413961.0,9793.0,413961.0,24278.0,-39.678076303590046,-47.02031541159789,-81.44661352500586
413961.0,9731.0,413961.0,9797.0,413961.0,24265.0,-49.61033658562559,-53.744385135814085,-91.53726097051239
413961.0,9746.0,413961.0,9809.0,413961.0,24289.0,-59.55453232144677,-60.43956711987914,-101.58250341421947
413971.0,9683.0,413971.0,9769.0,413971.0,24240.0,-69.50630189431817,-67.10389828762811,-111.58279349733067
413971.0,9658.0,413971.0,9693.0,413971.0,24171.0,-79.46128950821495,-73.73501286816969,-121.53835146262605
413971.0,9635.0,413971.0,9683.0,413971.0,24189.0,-89.41571066332472,-80.33094465888402,-131.449804434351
413971.0,9662.0,413971.0,9724.0,413971.0,24205.0,-99.36693188860957,-86.89113496826388,-141.31888622826204
413971.0,9673.0,413971.0,9805.0,413971.0,24183.0,-109.31350428081129,-93.4165433692906,-151.1484853191451
413971.0,9678.0,413971.0,9750.0,413971.0,24216.0,-119.25463879450075,-99.90863057913796,-160.94225137701017
413981.0,9672.0,413981.0,9723.0,413981.0,24209.0,-129.1895381998533,-106.36835482092928,-170.7041407435877
413981.0,9625.0,413981.0,9661.0,413981.0,24140.0,-139.11700262944265,-112.79623801128167,-180.43805656625585
413981.0,9609.0,413981.0,9695.0,413981.0,24157.0,-149.03551921349913,-119.19320223507228,-190.14793559425937
