c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207311,22069,207311.0,62794.0,207311.0,92453.0,-54.25349972156073,143.66016394633237,131.04633023822532
207311,22140,207311.0,62902.0,207311.0,92563.0,-9.989505119957073,194.8015998008483,182.31221182689694
207311,22213,207311.0,62939.0,207311.0,92615.0,34.98126724740109,246.72242517738323,234.290482337237
207311,22276,207311.0,62983.0,207311.0,92696.0,80.55145843482035,299.29677569992737,286.8483637633078
207311,22334,207311.0,63065.0,207311.0,92777.0,126.61164958499285,352.3953434297986,339.8507463112403
207311,22408,207311.0,63178.0,207311.0,92844.0,173.05096280576538,405.88560453266257,393.16088872080945
207321,22454,207321.0,63206.0,207321.0,92901.0,219.75758167387107,459.6324836181593,446.6410883172117
207321,22544,207321.0,63303.0,207321.0,93022.0,266.61925566221123,513.4991554799832,500.15327866774817
207321,22608,207321.0,63438.0,207321.0,93105.0,313.5238791260422,567.34777004046,553.5598284486384
207321,22706,207321.0,63496.0,207321.0,93179.0,360.3602638281475,621.0405379937155,606.7246815702077
207321,22762,207321.0,63594.0,207321.0,93262.0,407.01908433967446,674.4411229092012,659.5144827832783
207321,22814,207321.0,63757.0,207321.0,93360.0,453.3937692030614,727.4160062791435,711.7995272125594
207331,22883,207331.0,63809.0,207331.0,93455.0,499.3811127077887,779.8361031054184,763.4547971576178
207331,22967,207331.0,63861.0,207331.0,93473.0,544.8817442878172,831.57845019261,814.3610721335383
207331,22991,207331.0,63856.0,207331.0,93513.0,589.8006996991744,882.5270565887181,864.4055839508769
207331,23031,207331.0,63901.0,207331.0,93561.0,634.0478664875117,932.5726489679646,913.4819616531925
207331,23081,207331.0,63933.0,207331.0,93607.0,677.5380255220723,981.6119046160966,961.4899030401759
207331,23125,207331.0,63980.0,207331.0,93647.0,720.1907222189511,1029.5467847063605,1008.3349688273088
207342,23181,207342.0,64019.0,207342.0,93720.0,761.9302677029298,1076.284137168934,1053.9285148378174
207342,23230,207342.0,64112.0,207342.0,93791.0,802.6858907298074,1121.735558171442,1098.1878523085165
207342,23268,207342.0,64215.0,207342.0,93827.0,842.3919578254249,1165.8177479576734,1141.0367100092517
207342,23309,207342.0,64212.0,207342.0,93875.0,880.9881425104618,1208.4533962830717,1182.4057114588202
207342,23377,207342.0,64268.0,207342.0,93908.0,918.4195416894745,1249.571916120607,1222.2325904314894
207342,23386,207342.0,64363.0,207342.0,93952.0,954.6368605573757,1289.1096841014962,1260.4622137809604
207352,23458,207352.0,64456.0,207352.0,94032.0,989.5966151850555,1327.0105205316463,1297.0466604925405
207352,23454,207352.0,64433.0,207352.0,94039.0,1023.2612390291515,1363.2267064992625,1331.9455327878952
207352,23464,207352.0,64413.0,207352.0,93990.0,1055.5989854952948,1397.7195320742314,1365.1261122806975
207352,23495,207352.0,64376.0,207352.0,94010.0,1086.5834962352992,1430.4585433719533,1396.562684550023
207352,23513,207352.0,64391.0,207352.0,94032.0,1116.1932385864523,1461.419906632291,1426.235284143504
207352,23530,207352.0,64381.0,207352.0,94052.0,1144.4110943132775,1490.5847827812834,1454.1287452236381
207362,23556,207362.0,64420.0,207362.0,94101.0,1171.2240436949014,1517.938156466817,1480.2323216024647
207362,23587,207362.0,64491.0,207362.0,94134.0,1196.6229030223376,1543.4682679294049,1504.5396985780317
207362,23619,207362.0,64477.0,207362.0,94117.0,1220.6022252144935,1567.166688679204,1527.0491722911572
207362,23631,207362.0,64558.0,207362.0,94145.0,1243.1603456410567,1589.0286953074922,1547.763610278732
207362,23673,207362.0,64618.0,207362.0,94184.0,1264.2994438137075,1609.0537555202825,1566.6901791149096
207362,23684,207362.0,64677.0,207362.0,94223.0,1284.0256068351043,1627.2464321199584,1583.8403287898986
