c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
276486,11612,276486,8799,276486.0,34375.0,90.78184373740004,-33.962027302192475,-4.480472416765849
276486,11519,276486,8903,276486.0,34341.0,72.80366540952232,-33.9502067744679,-13.106693024091499
276496,11396,276496,8907,276496.0,34364.0,54.65994297292306,-34.01699339050704,-21.880948969689726
276496,11229,276496,8898,276496.0,34385.0,36.426226487902966,-34.1821282698438,-30.796331310529965
276496,11221,276496,8887,276496.0,34368.0,18.172249280075306,-34.462472179924134,-39.84604004926442
276496,11218,276496,8895,276496.0,34344.0,-0.04075289400915949,-34.87195873114601,-49.02292910726169
276496,11207,276496,8886,276496.0,34334.0,-18.161184093665923,-35.42175650404335,-58.319437794912645
276496,11172,276496,8864,276496.0,34335.0,-36.14708641843998,-36.12040288186975,-67.72777949599046
276506,11210,276506,8851,276506.0,34305.0,-53.96592273931893,-36.974077192509185,-77.24006401716761
276506,11334,276506,8802,276506.0,34225.0,-71.59394495467222,-37.987126206548744,-86.84853598741734
276506,11521,276506,8795,276506.0,34249.0,-89.01406817953821,-39.16282154623117,-96.54626347175855
276506,11512,276506,8786,276506.0,34243.0,-106.21205132741375,-40.50416671934644,-106.32787837110828
276506,11467,276506,8822,276506.0,34245.0,-123.17273520533809,-42.014387369056806,-116.18974552176192
276506,11370,276506,8836,276506.0,34258.0,-139.8783805633048,-43.69685369563105,-126.12966589962372
276517,11233,276517,8861,276517.0,34279.0,-156.30941219737815,-45.554538156059415,-136.1464074902838
276517,11120,276517,8858,276517.0,34244.0,-172.44676626098016,-47.589342252624675,-146.23914485329374
276517,11101,276517,8839,276517.0,34276.0,-188.27484167316817,-49.801630283823606,-156.40701182528795
276517,11103,276517,8853,276517.0,34241.0,-203.7837954285609,-52.19011571061297,-166.64883822686193
276517,11097,276517,8818,276517.0,34222.0,-218.97043958021334,-54.75197263502301,-176.96301799096895
276517,11091,276517,8810,276517.0,34239.0,-233.83814898995496,-57.48306922247185,-187.34755732307494
276527,11148,276527,8803,276527.0,34179.0,-248.39638908801464,-60.378335298027395,-197.80019771321895
276527,11350,276527,8762,276527.0,34145.0,-262.65947296781314,-63.432187344058526,-208.3186765989038
276527,11416,276527,8731,276527.0,34142.0,-276.6436813868582,-66.63907176800521,-218.90132407205763
276527,11396,276527,8770,276527.0,34144.0,-290.36339689163555,-69.99413065996355,-229.54763142864257
276527,11323,276527,8795,276527.0,34148.0,-303.82840077710307,-73.4934761888351,-240.2583423449073
276527,11212,276527,8816,276527.0,34187.0,-317.0435365645521,-77.13371964211055,-251.03509098134788
