c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
311124.0,13720.0,311124.0,43565.0,311124.0,63254.0,288.6822155723435,230.67810496877047,476.66709329884304
311124.0,13729.0,311124.0,43591.0,311124.0,63254.0,287.41601709901795,229.77133669892254,473.1245958507129
311124.0,13722.0,311124.0,43608.0,311124.0,63242.0,286.02002607880064,228.7475237305334,469.3458002938577
311124.0,13702.0,311124.0,43591.0,311124.0,63234.0,284.49392360304483,227.60365457311045,465.33675209978855
311124.0,13694.0,311124.0,43553.0,311124.0,63196.0,282.83761683264936,226.33788081494396,461.10396552504153
311124.0,13696.0,311124.0,43529.0,311124.0,63190.0,281.05099477375444,224.9492281439775,456.65413996937383
311135.0,13710.0,311135.0,43547.0,311135.0,63184.0,279.13380161462294,223.43696128033812,451.9937866254839
311135.0,13698.0,311135.0,43557.0,311135.0,63181.0,277.08575107348497,221.80020794833322,447.12902221725426
311135.0,13690.0,311135.0,43559.0,311135.0,63182.0,274.90669355761463,220.0380867850654,442.0656004464107
311135.0,13696.0,311135.0,43543.0,311135.0,63188.0,272.5966499577169,218.1500093467774,436.80909392742194
311135.0,13684.0,311135.0,43531.0,311135.0,63167.0,270.1557889808673,216.13577173188594,431.3651414235025
311135.0,13696.0,311135.0,43524.0,311135.0,63163.0,267.5844613472365,213.9953933394702,425.7396165139049
311145.0,13693.0,311145.0,43596.0,311145.0,63177.0,264.88330500874076,211.72904680054026,419.9386972677096
311145.0,13679.0,311145.0,43568.0,311145.0,63178.0,262.0533849479962,209.3374858460499,413.96905933782625
311145.0,13678.0,311145.0,43570.0,311145.0,63141.0,259.09625015808723,206.82273634819907,407.8381942932227
311145.0,13666.0,311145.0,43533.0,311145.0,63105.0,256.0138713391675,204.1883907708637,401.55445024857113
311145.0,13660.0,311145.0,43495.0,311145.0,63081.0,252.8085442564234,201.43930358746388,395.126580033097
311145.0,13652.0,311145.0,43486.0,311145.0,63071.0,249.482791074543,198.58090813711428,388.5630981649235
311155.0,13627.0,311155.0,43470.0,311155.0,63063.0,246.03922519103128,195.6184907064714,381.8718369299984
311155.0,13650.0,311155.0,43504.0,311155.0,63066.0,242.48038151075195,192.55677784366853,375.0598146219901
311155.0,13643.0,311155.0,43462.0,311155.0,63046.0,238.80866790298506,189.39992578149563,368.13331248023326
311155.0,13639.0,311155.0,43468.0,311155.0,63059.0,235.02652477704635,186.15160421276397,361.09801438788816
311155.0,13620.0,311155.0,43503.0,311155.0,63062.0,231.13657211028635,182.814998218422,353.9592111458252
311155.0,13631.0,311155.0,43486.0,311155.0,63056.0,227.14159004365857,179.39301154686677,346.7221460329981
311166.0,13628.0,311166.0,43531.0,311166.0,63046.0,223.0444989020174,175.8887642268342,339.39238207506594
311166.0,13615.0,311166.0,43467.0,311166.0,63044.0,218.84845794596075,172.3060747840863,331.9760329943374
311166.0,13602.0,311166.0,43451.0,311166.0,63000.0,214.5569289556082,168.6495505428451,324.47983539324736
311166.0,13598.0,311166.0,43451.0,311166.0,62973.0,210.17358716617994,164.92417458178676,316.91096483230456
311166.0,13593.0,311166.0,43420.0,311166.0,62962.0,205.702196817485,161.13478787040566,309.276571299763
311166.0,13586.0,311166.0,43435.0,311166.0,62964.0,201.1465665493843,157.2857780817104,301.5833556144372
311176.0,13578.0,311176.0,43417.0,311176.0,62953.0,196.5105501170825,153.38092635921902,293.83747390017817
311176.0,13570.0,311176.0,43494.0,311176.0,62968.0,191.7980275423025,149.4235211774515,286.0447132499532
311176.0,13563.0,311176.0,43445.0,311176.0,62948.0,187.01286050274373,145.41689701884818,278.2107886206303
311176.0,13557.0,311176.0,43417.0,311176.0,62929.0,182.15884814091527,141.36497682058607,270.34159684338715
311176.0,13554.0,311176.0,43390.0,311176.0,62907.0,177.23970947412263,137.27216036920737,262.4432332823926
311176.0,13551.0,311176.0,43428.0,311176.0,62912.0,172.2591125177882,133.14278112415386,254.52182154014457
311187.0,13541.0,311187.0,43449.0,311187.0,62907.0,167.2207378568765,128.9809833139067,246.58344337795415
311187.0,13549.0,311187.0,43428.0,311187.0,62886.0,162.128350235394,124.7912174881597,238.6342617418336
311187.0,13526.0,311187.0,43384.0,311187.0,62850.0,156.98587601775196,120.57867239424144,230.6805756343809
311187.0,13514.0,311187.0,43366.0,311187.0,62860.0,151.79741556715004,116.34905817506655,222.72862651961407
311187.0,13501.0,311187.0,43366.0,311187.0,62834.0,146.56709934477541,112.10798356701142,214.78437259333248
311187.0,13494.0,311187.0,43359.0,311187.0,62814.0,141.29886854543437,107.86050974807472,206.8533885665127
311197.0,13492.0,311197.0,43359.0,311197.0,62802.0,135.99632989125226,103.61104458041132,198.9407349422513
311197.0,13494.0,311197.0,43355.0,311197.0,62819.0,130.6627471908463,99.36339899775001,191.05082493694766
311197.0,13487.0,311197.0,43292.0,311197.0,62779.0,125.30115537919926,95.12075647709631,183.1874831563694
311197.0,13471.0,311197.0,43342.0,311197.0,62799.0,119.91448562487096,90.88538750296453,175.35409267112954
311197.0,13470.0,311197.0,43353.0,311197.0,62768.0,114.50558200354075,86.65846509596798,167.55368263186375
311197.0,13470.0,311197.0,43405.0,311197.0,62788.0,109.07716832793145,82.44053380483427,159.78903118732967
311207.0,13470.0,311207.0,43376.0,311207.0,62733.0,103.63191479436023,78.23246819479502,152.06277955515145
311207.0,13452.0,311207.0,43369.0,311207.0,62743.0,98.1725841174705,74.03623071482431,144.37739727800857
311207.0,13442.0,311207.0,43286.0,311207.0,62737.0,92.7020870709323,69.85492297589599,136.73503905113876
311207.0,13423.0,311207.0,43302.0,311207.0,62710.0,87.22336841721804,65.69211620856717,129.13751362447329
311207.0,13423.0,311207.0,43270.0,311207.0,62679.0,81.73921015097949,61.55097685282246,121.58625340305366
311207.0,13410.0,311207.0,43283.0,311207.0,62697.0,76.25208147869168,57.43372548269781,114.08209648056885
311218.0,13413.0,311218.0,43326.0,311218.0,62689.0,70.76409008465018,53.34158479527389,106.6251603309521
311218.0,13408.0,311218.0,43301.0,311218.0,62683.0,65.27702448341046,49.27519028341888,99.2150277136538
311218.0,13401.0,311218.0,43271.0,311218.0,62670.0,59.79245500825397,45.235070946142116,91.85100598579402
311218.0,13395.0,311218.0,43295.0,311218.0,62677.0,54.3118265916425,41.221706222948086,84.53228174135683
311218.0,13409.0,311218.0,43273.0,311218.0,62655.0,48.83654328313247,37.235375669047585,77.25805579012575
311218.0,13383.0,311218.0,43339.0,311218.0,62669.0,43.36811326017187,33.27629109288995,70.02770504237179
311228.0,13384.0,311228.0,43278.0,311228.0,62639.0,37.90827130996274,29.345051617473132,62.840940964071535
311228.0,13365.0,311228.0,43240.0,311228.0,62603.0,32.458957307033984,25.44292179484387,55.69784117124556
311228.0,13342.0,311228.0,43240.0,311228.0,62576.0,27.022168841858843,21.571449083415587,48.598547751476985
311228.0,13340.0,311228.0,43237.0,311228.0,62574.0,21.599718293291744,17.731811226505783,41.5427314732832
311228.0,13344.0,311228.0,43230.0,311228.0,62574.0,16.193015704087543,13.924520838974587,34.52923269619373
311228.0,13334.0,311228.0,43238.0,311228.0,62611.0,10.803053464183051,10.149444669482108,27.55615624219365
311238.0,13335.0,311238.0,43242.0,311238.0,62560.0,5.4305340667509086,6.405939196842382,20.621331218601995
311238.0,13323.0,311238.0,43224.0,311238.0,62574.0,0.07598102792167083,2.69305196857664,13.722704794372817
311238.0,13328.0,311238.0,43228.0,311238.0,62544.0,-5.260189317334778,-0.9903468904555552,6.8584069091376705
311238.0,13307.0,311238.0,43239.0,311238.0,62543.0,-10.577608855399376,-4.6455110669012925,0.026668110764717312
311238.0,13315.0,311238.0,43256.0,311238.0,62541.0,-15.875927776627748,-8.273615656361528,-6.774217168061227
311238.0,13321.0,311238.0,43260.0,311238.0,62540.0,-21.15475907505396,-11.875314866987338,-13.54580696236053
311249.0,13300.0,311249.0,43175.0,311249.0,62526.0,-26.413518555267274,-15.45041192413916,-20.28931377692686
311249.0,13287.0,311249.0,43222.0,311249.0,62509.0,-31.651310117871617,-18.998078281917742,-27.005456113577452
311249.0,13273.0,311249.0,43165.0,311249.0,62481.0,-36.86703443249064,-22.517389419774304,-33.694509244026904
311249.0,13262.0,311249.0,43206.0,311249.0,62460.0,-42.0596259137381,-26.007649057571058,-40.35657139697389
311249.0,13254.0,311249.0,43167.0,311249.0,62487.0,-47.22826220906779,-29.46845729367365,-46.99186119215722
311249.0,13271.0,311249.0,43172.0,311249.0,62457.0,-52.37245516520073,-32.89972303569988,-53.60075287970369
311259.0,13261.0,311259.0,43183.0,311259.0,62452.0,-57.49193628131496,-36.30169763895066,-60.18360604376551
311259.0,13243.0,311259.0,43182.0,311259.0,62436.0,-62.586443925186586,-39.67490023948977,-66.74070546187068
311259.0,13242.0,311259.0,43160.0,311259.0,62442.0,-67.6556612421972,-43.0199165629632,-73.27230706508908
311259.0,13245.0,311259.0,43191.0,311259.0,62435.0,-72.6992744133646,-46.3372695202485,-79.7785795268718
311259.0,13228.0,311259.0,43191.0,311259.0,62453.0,-77.71695295106235,-49.627264436708856,-86.25937267055411
311259.0,13223.0,311259.0,43136.0,311259.0,62431.0,-82.7082985903159,-52.88974819107813,-92.71386733670658
311269.0,13216.0,311269.0,43148.0,311269.0,62395.0,-87.67287814053844,-56.12416878681043,-99.14033540248317
311269.0,13215.0,311269.0,43142.0,311269.0,62362.0,-92.61026948270796,-59.32994143253802,-105.53631758939372
311269.0,13198.0,311269.0,43126.0,311269.0,62346.0,-97.52006001640035,-62.506675930336485,-111.89918673633235
311269.0,13186.0,311269.0,43121.0,311269.0,62364.0,-102.40188459180507,-65.65425122267297,-118.22666353889605
311269.0,13182.0,311269.0,43120.0,311269.0,62331.0,-107.25555758176995,-68.77292531536622,-124.51695901863872
311269.0,13190.0,311269.0,43130.0,311269.0,62341.0,-112.08117363609699,-71.86337534764093,-130.7686874796662
311280.0,13184.0,311280.0,43103.0,311280.0,62323.0,-116.87903546549458,-74.9266070905253,-136.98079893047253
311280.0,13166.0,311280.0,43123.0,311280.0,62323.0,-121.64949972216073,-77.9638815852673,-143.15252494895094
311280.0,13181.0,311280.0,43105.0,311280.0,62332.0,-126.39291096292271,-80.97669127079246,-149.2832570802713
311280.0,13157.0,311280.0,43142.0,311280.0,62311.0,-131.1095832126652,-83.96663985493424,-155.37233553683808
311280.0,13160.0,311280.0,43158.0,311280.0,62322.0,-135.7997684082191,-86.93507613017559,-161.4188190561249
311280.0,13143.0,311280.0,43114.0,311280.0,62277.0,-140.46367849749026,-89.8825646614963,-167.42136546128836
311290.0,13136.0,311290.0,43063.0,311290.0,62256.0,-145.1015713059836,-92.80874375976634,-173.3783545010001
311290.0,13130.0,311290.0,43058.0,311290.0,62247.0,-149.71385766691787,-95.71293499296362,-179.2882752734219
311290.0,13125.0,311290.0,43086.0,311290.0,62231.0,-154.30118528549866,-98.59492748296083,-185.1501293682025
311290.0,13125.0,311290.0,43077.0,311290.0,62239.0,-158.86445277968846,-101.45519025209961,-190.96361704581585
311290.0,13119.0,311290.0,43088.0,311290.0,62251.0,-163.40475590216573,-104.2945854777812,-196.7290619652547
311290.0,13135.0,311290.0,43090.0,311290.0,62208.0,-167.9232679410465,-107.11402786069073,-202.4471574455847
311300.0,13109.0,311300.0,43068.0,311300.0,62238.0,-172.42105831539374,-109.91425602929732,-208.11878317358173
311300.0,13112.0,311300.0,43065.0,311300.0,62233.0,-176.89896468369,-112.69578273851269,-213.7448903172147
311300.0,13103.0,311300.0,43086.0,311300.0,62231.0,-181.35759948294924,-115.45896717695365,-219.3262162242218
311300.0,13102.0,311300.0,43091.0,311300.0,62229.0,-185.79738159339382,-118.20390783484805,-224.86292177286225
311300.0,13112.0,311300.0,43060.0,311300.0,62195.0,-190.21847775934634,-120.93014175805922,-230.35439420426724
311300.0,13073.0,311300.0,43059.0,311300.0,62155.0,-194.62069625361494,-123.63653671882565,-235.79936923860487
311311.0,13073.0,311311.0,43030.0,311311.0,62138.0,-199.003525035586,-126.32151595660986,-241.19643927804884
311311.0,13054.0,311311.0,43000.0,311311.0,62143.0,-203.36638321658864,-128.98347184091335,-246.54466441374092
311311.0,13053.0,311311.0,43013.0,311311.0,62131.0,-207.7088915716265,-131.62127136375727,-251.84387546342225
311311.0,13050.0,311311.0,43038.0,311311.0,62114.0,-212.03101640730404,-134.2345681651335,-257.09468525785405
311311.0,13042.0,311311.0,43024.0,311311.0,62170.0,-216.33309691645462,-136.82363982958378,-262.29837615146425
311311.0,13055.0,311311.0,43021.0,311311.0,62114.0,-220.6157884014503,-139.38902771652647,-267.4565787464942
311321.0,13038.0,311321.0,43027.0,311321.0,62105.0,-224.87993754773288,-141.93135977873703,-272.5709522623273
311321.0,13035.0,311321.0,43019.0,311321.0,62110.0,-229.12646258374662,-144.4512875498968,-277.64323684287467
311321.0,13034.0,311321.0,43015.0,311321.0,62114.0,-233.35632127561462,-146.94940978980145,-282.675384313172
311321.0,13024.0,311321.0,43017.0,311321.0,62126.0,-237.5705120893562,-149.42622729027016,-287.66935854158567
311321.0,13032.0,311321.0,42994.0,311321.0,62107.0,-241.7700356382839,-151.88214703779414,-292.6267389147263
311321.0,13014.0,311321.0,42980.0,311321.0,62056.0,-245.95582852806263,-154.31759440537473,-297.5485235165029
311331.0,13006.0,311331.0,42983.0,311331.0,62051.0,-250.12873837597442,-156.73326573904438,-302.43541326085756
311331.0,12997.0,311331.0,42960.0,311331.0,62047.0,-254.2896087823297,-159.13037763978423,-307.2883462419543
311331.0,13006.0,311331.0,42977.0,311331.0,62055.0,-258.4393892315747,-161.51081780136911,-312.10876420485715
311331.0,12992.0,311331.0,43016.0,311331.0,62054.0,-262.5791302604646,-163.87708808368836,-316.898481587923
311331.0,12986.0,311331.0,42999.0,311331.0,62054.0,-266.70991850444847,-166.23187381892564,-321.65937970232505
311331.0,12993.0,311331.0,42981.0,311331.0,62025.0,-270.8328568238397,-168.57753069122083,-326.39316277070395
311342.0,12979.0,311342.0,42975.0,311342.0,62018.0,-274.94903483676626,-170.91597682491107,-331.1013417146097
311342.0,12980.0,311342.0,42985.0,311342.0,62024.0,-279.05946351741676,-173.24887668066356,-335.7853768321115
311342.0,12986.0,311342.0,43016.0,311342.0,62031.0,-283.16501227757084,-175.57762898325575,-340.44667980932365
311342.0,12966.0,311342.0,42979.0,311342.0,62001.0,-287.26632016970353,-177.90303315893289,-345.0864062147988
311342.0,12955.0,311342.0,42972.0,311342.0,61975.0,-291.3637601111863,-180.22503696062506,-349.7053784194575
311342.0,12956.0,311342.0,42924.0,311342.0,61979.0,-295.4575512253805,-182.54294774050203,-354.30433116008066
311352.0,12945.0,311352.0,42939.0,311352.0,61975.0,-299.5478897704974,-184.8559920181496,-358.88418021036875
311352.0,12928.0,311352.0,42917.0,311352.0,61958.0,-303.63502377177673,-187.16383278430982,-363.4460611708969
311352.0,12930.0,311352.0,42936.0,311352.0,61962.0,-307.7193684889717,-189.46680980849732,-367.9912779858694
311352.0,12948.0,311352.0,42939.0,311352.0,61945.0,-311.8015817628315,-191.76590295862093,-372.5212866226208
311352.0,12929.0,311352.0,42949.0,311352.0,61939.0,-315.8824272129181,-194.06248530578506,-377.03769363762865
311352.0,12916.0,311352.0,42952.0,311352.0,61959.0,-319.9625891893445,-196.3579712201559,-381.5422250626334
311362.0,12917.0,311362.0,42924.0,311362.0,61930.0,-324.04269242132057,-198.65354560101667,-386.0365785427399
