c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
380130,6856,380130.0,18788.0,380130.0,26524.0,58.44234282832139,2.639599702579263,25.950575959334877
380130,6851,380130.0,18805.0,380130.0,26539.0,54.233949537133384,1.0995018602069067,22.151955910115134
380140,6855,380140.0,18802.0,380140.0,26497.0,49.90629550234645,-0.4747822715859904,18.271324570547755
380140,6836,380140.0,18825.0,380140.0,26497.0,45.46304133593679,-2.0867680796145542,14.31356836725044
380140,6824,380140.0,18787.0,380140.0,26489.0,40.90795730293559,-3.739466670314881,10.283284247874349
380140,6844,380140.0,18825.0,380140.0,26499.0,36.244799196816636,-5.435278247212917,6.184551375885846
380140,6840,380140.0,18795.0,380140.0,26499.0,31.47731517699995,-7.175977329759316,2.0209580459262853
380140,6824,380140.0,18819.0,380140.0,26507.0,26.609436061818087,-8.962656171985813,-2.204195238146191
380150,6816,380150.0,18791.0,380150.0,26486.0,21.64536968019921,-10.795668822489521,-6.487676515233041
380150,6799,380150.0,18753.0,380150.0,26463.0,16.58946963502207,-12.674755901305165,-10.8262874069016
380150,6786,380150.0,18774.0,380150.0,26468.0,11.445993693863883,-14.599461384197834,-15.217093499331142
380150,6803,380150.0,18754.0,380150.0,26478.0,6.218889280688444,-16.569586409683613,-19.657659110113023
380150,6796,380150.0,18773.0,380150.0,26486.0,0.9117678290918434,-18.58536441897845,-24.14597892915573
380150,6792,380150.0,18787.0,380150.0,26496.0,-4.471928084121032,-20.647369774867883,-28.68013696982132
380161,6786,380161.0,18755.0,380161.0,26471.0,-9.928775411045763,-22.75629746575683,-33.25794586457482
380161,6774,380161.0,18752.0,380161.0,26456.0,-15.455344458192513,-24.91288303263535,-37.876829655151994
380161,6769,380161.0,18778.0,380161.0,26454.0,-21.048253480117282,-27.118047693719262,-42.5340108619164
380161,6766,380161.0,18815.0,380161.0,26468.0,-26.704243441479946,-29.372815331315977,-47.22671657129912
380161,6767,380161.0,18801.0,380161.0,26470.0,-32.42019413264363,-31.67774834996972,-51.952110191833626
380161,6762,380161.0,18782.0,380161.0,26447.0,-38.19304936603962,-34.032377952365636,-56.70705015550136
380171,6746,380171.0,18764.0,380171.0,26437.0,-44.01973230494002,-36.43514284509917,-61.48801361944345
380171,6736,380171.0,18746.0,380171.0,26419.0,-49.89717244836659,-38.88376960853623,-66.29129859914188
380171,6719,380171.0,18750.0,380171.0,26424.0,-55.82247068073475,-41.375738603740686,-71.11331239277145
380171,6727,380171.0,18781.0,380171.0,26417.0,-61.79309725161005,-43.908517761461496,-75.95073999499485
380171,6730,380171.0,18770.0,380171.0,26437.0,-67.80695481012651,-46.47939231654891,-80.80051369012065
380171,6720,380171.0,18739.0,380171.0,26403.0,-73.86224788877246,-49.08516782020462,-85.65964869172237
380181,6712,380181.0,18739.0,380181.0,26399.0,-79.95732485146641,-51.72221804599087,-90.52517765734737
380181,6710,380181.0,18729.0,380181.0,26403.0,-86.09063807446898,-54.3868293237227,-95.39428738562592
380181,6715,380181.0,18740.0,380181.0,26413.0,-92.26073134883953,-57.07545286237241,-100.26439673269562
380181,6703,380181.0,18747.0,380181.0,26396.0,-98.46614122855286,-59.78470530591613,-105.13300989479117
380181,6706,380181.0,18705.0,380181.0,26408.0,-104.70526701425078,-62.51126334396796,-109.99753132447444
380181,6685,380181.0,18697.0,380181.0,26366.0,-110.9763045373573,-65.25198437615364,-114.8552184271285
380192,6662,380192.0,18691.0,380192.0,26360.0,-117.27731867568178,-68.0043322606045,-119.70335307147411
380192,6665,380192.0,18707.0,380192.0,26360.0,-123.60648299080665,-70.76673385664242,-124.5395854556327
380192,6666,380192.0,18729.0,380192.0,26384.0,-129.96230036651542,-73.53854466949034,-129.36212257197667
380192,6674,380192.0,18749.0,380192.0,26374.0,-136.3435740028315,-76.31961757772991,-134.1695367134283
380192,6664,380192.0,18724.0,380192.0,26361.0,-142.74917536097192,-79.10972358709022,-138.9604429986165
380192,6647,380192.0,18711.0,380192.0,26339.0,-149.1778499235797,-81.9082435316726,-143.73342642418373
380202,6646,380202.0,18688.0,380202.0,26348.0,-155.6282125888542,-84.71433310560741,-148.48724277548067
380202,6625,380202.0,18711.0,380202.0,26335.0,-162.09887000559823,-87.5272981613659,-153.22101619147946
380202,6621,380202.0,18711.0,380202.0,26380.0,-168.58856870805946,-90.3467593660282,-157.93420069582436
380202,6626,380202.0,18744.0,380202.0,26357.0,-175.09631445442446,-93.17243422083152,-162.62624501256033
380202,6615,380202.0,18711.0,380202.0,26322.0,-181.62137376581984,-96.00371252215675,-167.29624400874047
380202,6604,380202.0,18685.0,380202.0,26316.0,-188.16319817315954,-98.83944418703508,-171.94303009768348
380212,6598,380212.0,18669.0,380212.0,26322.0,-194.7214249994119,-101.67823087971213,-176.56558523271167
380212,6607,380212.0,18695.0,380212.0,26326.0,-201.29591826945628,-104.51893410632832,-181.16324331306294
380212,6616,380212.0,18702.0,380212.0,26317.0,-207.88665953161424,-107.36083722542683,-185.73557982325462
380212,6595,380212.0,18714.0,380212.0,26326.0,-214.4934764558748,-110.20334605775457,-190.28223966917471
380212,6577,380212.0,18698.0,380212.0,26310.0,-221.1158763437525,-113.04557620057942,-194.8028206028344
380212,6575,380212.0,18684.0,380212.0,26293.0,-227.75315657387117,-115.88617110227023,-199.29685272377594
380223,6563,380223.0,18667.0,380223.0,26301.0,-234.40461188892033,-118.72344806673983,-203.7639206163566
380223,6560,380223.0,18684.0,380223.0,26282.0,-241.06964629260784,-121.55569211994387,-208.20381683290626
380223,6579,380223.0,18691.0,380223.0,26292.0,-247.74775315201396,-124.38127197210746,-212.61661138336046
380223,6557,380223.0,18685.0,380223.0,26288.0,-254.43833924155223,-127.19847087339173,-217.00264330851746
380223,6539,380223.0,18638.0,380223.0,26265.0,-261.14055262135975,-130.00535823488872,-221.3624808805891
380223,6521,380223.0,18652.0,380223.0,26268.0,-267.85337947824627,-132.80004003137822,-225.69697386712355
380233,6531,380233.0,18656.0,380233.0,26255.0,-274.5759229369815,-135.5810593659406,-230.00741402918257
380233,6525,380233.0,18665.0,380233.0,26277.0,-281.30753805495107,-138.3474858472254,-234.29562169093504
380233,6523,380233.0,18655.0,380233.0,26271.0,-288.04774005619595,-141.09871406219168,-238.56382882090026
380233,6530,380233.0,18667.0,380233.0,26292.0,-294.7960295110561,-143.83426866243562,-242.8143869001297
380233,6509,380233.0,18670.0,380233.0,26256.0,-301.551725547556,-146.5536606083669,-247.04946140655912
380233,6497,380233.0,18633.0,380233.0,26252.0,-308.313898180952,-149.25627435219667,-251.27095164176595
380244,6498,380244.0,18640.0,380244.0,26258.0,-315.08146049660735,-151.9414600159867,-255.48066213995085
380244,6478,380244.0,18650.0,380244.0,26259.0,-321.85329726979927,-154.6087779670964,-259.6804220397533
380244,6487,380244.0,18662.0,380244.0,26263.0,-328.62833089496974,-157.258023446855,-263.871974273186
380244,6476,380244.0,18616.0,380244.0,26241.0,-335.4055246603572,-159.88904138494888,-268.0568085530632
380244,6466,380244.0,18624.0,380244.0,26221.0,-342.18383756958013,-162.50176448174346,-272.23618499745
380244,6448,380244.0,18620.0,380244.0,26220.0,-348.9622380016107,-165.0965211083575,-276.41140500661913
380254,6450,380254.0,18608.0,380254.0,26220.0,-355.73983290710356,-167.67426696841423,-280.58410674027544
380254,6437,380254.0,18627.0,380254.0,26240.0,-362.51599519841466,-170.23664539321908,-284.75631801973134
380254,6441,380254.0,18648.0,380254.0,26238.0,-369.290398294273,-172.7858782622239,-288.9302220800067
380254,6442,380254.0,18618.0,380254.0,26239.0,-376.0629558159398,-175.32445714188373,-293.1078061013584
380254,6421,380254.0,18613.0,380254.0,26212.0,-382.83370489747267,-177.85493813149722,-297.29064541851477
380254,6409,380254.0,18632.0,380254.0,26206.0,-389.6027788221698,-180.38002651950433,-301.4799731011168
380264,6417,380264.0,18627.0,380264.0,26198.0,-396.37052362512935,-182.90262130251975,-305.67694378687554
380264,6408,380264.0,18648.0,380264.0,26227.0,-403.13756235715834,-185.42561103738694,-309.8828043576436
380264,6405,380264.0,18629.0,380264.0,26212.0,-409.90471390813696,-187.95158687940264,-314.098765000836
380264,6394,380264.0,18629.0,380264.0,26191.0,-416.6729060071233,-190.48267104082595,-318.3257628699131
380264,6387,380264.0,18609.0,380264.0,26184.0,-423.4431693939804,-193.02055570256184,-322.56448459914964
380264,6376,380264.0,18587.0,380264.0,26186.0,-430.216690872425,-195.56674826235977,-326.8156112155467
380275,6390,380275.0,18623.0,380275.0,26187.0,-436.9948523575713,-198.1228852489177,-331.0799596056138
380275,6361,380275.0,18638.0,380275.0,26210.0,-443.77918707350017,-200.6907667709978,-335.35837682999727
380275,6371,380275.0,18624.0,380275.0,26177.0,-450.5713257107464,-203.27197181256355,-339.6514803517043
380275,6360,380275.0,18595.0,380275.0,26174.0,-457.3729972538935,-205.86752786830644,-343.95951330740377
380275,6339,380275.0,18574.0,380275.0,26151.0,-464.1860439529399,-208.4780902071163,-348.2825009850204
380275,6350,380275.0,18609.0,380275.0,26161.0,-471.012478714508,-211.10440204874655,-352.62054660106054
380285,6355,380285.0,18647.0,380285.0,26155.0,-477.854507952041,-213.74737792139092,-356.9740053144043
380285,6336,380285.0,18622.0,380285.0,26158.0,-484.71438626546734,-216.40757542512296,-361.34346968840157
380285,6330,380285.0,18586.0,380285.0,26156.0,-491.59427287271654,-219.08469284663417,-365.7296596802727
380285,6339,380285.0,18589.0,380285.0,26139.0,-498.49622733459955,-221.7777037736246,-370.13333653913173
380285,6306,380285.0,18544.0,380285.0,26147.0,-505.4222170102967,-224.48541015639245,-374.5553073728025
380285,6318,380285.0,18555.0,380285.0,26114.0,-512.3741341532309,-227.20701314761493,-378.9965142877082
380295,6300,380295.0,18581.0,380295.0,26162.0,-519.3538711525591,-229.94248926081457,-383.45811903129777
380295,6323,380295.0,18596.0,380295.0,26136.0,-526.3633182699537,-232.69249664360711,-387.9414070428982
380295,6294,380295.0,18582.0,380295.0,26142.0,-533.4042190521809,-235.45789039220378,-392.44752301911797
380295,6285,380295.0,18574.0,380295.0,26133.0,-540.478059423039,-238.23935889066277,-396.97730306157484
380295,6278,380295.0,18560.0,380295.0,26127.0,-547.586150272753,-241.0374341155937,-401.5312681310164
380295,6267,380295.0,18588.0,380295.0,26120.0,-554.7297962392934,-243.852649229169,-406.10966747701343
380306,6282,380306.0,18572.0,380306.0,26114.0,-561.9103624321735,-246.68552774262295,-410.7125477412087
380306,6245,380306.0,18587.0,380306.0,26133.0,-569.1292269133173,-249.53639209075996,-415.3397809425575
380306,6270,380306.0,18552.0,380306.0,26108.0,-576.387740313855,-252.4052283767265,-419.9909683705256
