c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
103789.0,8363.0,103789.0,15112.0,103789.0,33557.0,446.3650716965999,472.28356414762936,867.751294408629
103789.0,8391.0,103789.0,15153.0,103789.0,33626.0,449.2831578224,471.75406149941585,870.8909505341054
103789.0,8381.0,103789.0,15101.0,103789.0,33572.0,452.2189006327285,471.20117670143213,873.9554612967142
103789.0,8362.0,103789.0,15071.0,103789.0,33540.0,455.17315914588636,470.6339091432857,876.9438315985525
103789.0,8339.0,103789.0,15052.0,103789.0,33507.0,458.14683109923413,470.06086842270435,879.8552032444791
103789.0,8312.0,103789.0,15028.0,103789.0,33513.0,461.14036980792895,469.4894993666957,882.6880149207458
103799.0,8320.0,103799.0,15040.0,103799.0,33492.0,464.153140906315,468.9254634118962,885.439343353025
103799.0,8348.0,103799.0,15054.0,103799.0,33528.0,467.18300347039803,468.37238860042146,888.1046543813129
103799.0,8346.0,103799.0,15074.0,103799.0,33520.0,470.2263766054493,467.83206693484516,890.6779154785546
103799.0,8343.0,103799.0,15029.0,103799.0,33498.0,473.2785790771739,467.3048743390565,893.1518796274087
103799.0,8341.0,103799.0,15011.0,103799.0,33527.0,476.33403128410583,466.78988092461043,895.5182351639264
103799.0,8339.0,103799.0,15073.0,103799.0,33525.0,479.38625091255113,466.2846050018999,897.7676987182697
103809.0,8398.0,103809.0,15136.0,103809.0,33557.0,482.42791565376154,465.78523046844504,899.8903469779348
103809.0,8399.0,103809.0,15121.0,103809.0,33573.0,485.45130888880726,465.28773286424337,901.876203755723
103809.0,8374.0,103809.0,15066.0,103809.0,33543.0,488.4489866736715,464.7890075788159,903.7158742295467
103809.0,8357.0,103809.0,15038.0,103809.0,33472.0,491.4140409381824,464.28695204197874,905.4007470465523
103809.0,8331.0,103809.0,15001.0,103809.0,33485.0,494.33974866925485,463.77963353655866,906.922420559726
103809.0,8370.0,103809.0,14978.0,103809.0,33460.0,497.219050497647,463.2642591038813,908.2718351235409
103820.0,8335.0,103820.0,14974.0,103820.0,33467.0,500.0443101990031,462.73632605204756,909.4387633641063
103820.0,8352.0,103820.0,15046.0,103820.0,33507.0,502.80731486634664,462.18923244048824,910.4117680022622
103820.0,8335.0,103820.0,15014.0,103820.0,33453.0,505.4992387526938,461.61461886734304,911.1784939939085
103820.0,8366.0,103820.0,14994.0,103820.0,33471.0,508.11059533345696,461.0029985750912,911.7259351306806
103820.0,8366.0,103820.0,15020.0,103820.0,33470.0,510.63137619682556,460.3439698605982,912.0404427677063
103820.0,8414.0,103820.0,15101.0,103820.0,33541.0,513.051451942709,459.6263713106672,912.1079142159158
103830.0,8378.0,103830.0,15108.0,103830.0,33524.0,515.3611382687486,458.8391795583309,911.9145558566762
103830.0,8380.0,103830.0,15129.0,103830.0,33537.0,517.5515916260891,457.97290301303116,911.447869295233
103830.0,8372.0,103830.0,15035.0,103830.0,33485.0,519.6148020247664,457.0204984958504,910.6972336321542
103830.0,8335.0,103830.0,14985.0,103830.0,33429.0,521.5433289804267,455.97713110606225,909.6537604520493
103830.0,8353.0,103830.0,14973.0,103830.0,33405.0,523.3299346659877,454.83893742147876,908.3094663936849
103830.0,8334.0,103830.0,14941.0,103830.0,33435.0,524.9672359358174,453.6016907315195,906.6563099991105
103840.0,8325.0,103840.0,14977.0,103840.0,33447.0,526.4474948594087,452.26003019860093,904.6858641430985
103840.0,8372.0,103840.0,14985.0,103840.0,33421.0,527.7625459817897,450.80734111442035,902.3896829924402
103840.0,8346.0,103840.0,14940.0,103840.0,33397.0,528.9039678170718,449.23604560391254,899.7596595093628
103840.0,8315.0,103840.0,14966.0,103840.0,33393.0,529.863345033746,447.53778186878674,896.7879528328662
103840.0,8357.0,103840.0,15037.0,103840.0,33408.0,530.6322310238082,445.7035207798921,893.4668075665772
103840.0,8396.0,103840.0,15074.0,103840.0,33445.0,531.2021632515458,443.724358736863,889.7887650808334
103851.0,8388.0,103851.0,15084.0,103851.0,33471.0,531.56526388752,441.5929992146399,885.7474390875168
103851.0,8385.0,103851.0,15017.0,103851.0,33423.0,531.7150212496896,439.3049599762064,881.3385258490704
103851.0,8340.0,103851.0,14998.0,103851.0,33390.0,531.6465864940117,436.8587472773376,876.5603409118534
103851.0,8334.0,103851.0,14944.0,103851.0,33351.0,531.3564906447331,434.2551307678692,871.4135344136782
103851.0,8337.0,103851.0,14933.0,103851.0,33308.0,530.8421382959702,431.49613232943983,865.9003229788027
103851.0,8310.0,103851.0,14905.0,103851.0,33305.0,530.1014646306359,428.58414167434523,860.0236813788284
103861.0,8331.0,103861.0,14872.0,103861.0,33311.0,529.1327942948122,425.5212254342964,853.7868217364925
103861.0,8331.0,103861.0,14890.0,103861.0,33281.0,527.9348414837726,422.3085750305715,847.1931261239063
103861.0,8315.0,103861.0,14913.0,103861.0,33247.0,526.5068735527309,418.946271351095,840.246216750349
103861.0,8307.0,103861.0,14898.0,103861.0,33287.0,524.8488418901705,415.4335624966153,832.9498722114193
103861.0,8321.0,103861.0,14938.0,103861.0,33295.0,522.9613626986293,411.76941376572074,825.3081681115857
103861.0,8345.0,103861.0,15038.0,103861.0,33338.0,520.8458289776077,407.9533116784209,817.3262345298444
103871.0,8350.0,103871.0,14918.0,103871.0,33276.0,518.5048722447825,403.9864839526436,809.0112982921656
103871.0,8316.0,103871.0,14900.0,103871.0,33256.0,515.9429149069282,399.8726470223081,800.3732874014079
103871.0,8273.0,103871.0,14892.0,103871.0,33193.0,513.1662910688555,395.6175302487144,791.4246432281324
103871.0,8251.0,103871.0,14833.0,103871.0,33153.0,510.1827373102261,391.2279619070384,782.1795728652787
103871.0,8240.0,103871.0,14840.0,103871.0,33111.0,507.00061952158353,386.7111825730651,772.6530994468058
103871.0,8280.0,103871.0,14816.0,103871.0,33146.0,503.6284621963887,382.07430272581223,762.8602782949827
103882.0,8245.0,103882.0,14817.0,103882.0,33119.0,500.07503085285794,377.3239731437465,752.8159953007685
103882.0,8219.0,103882.0,14826.0,103882.0,33118.0,496.34958280238936,372.466332625621,742.5352903845617
103882.0,8230.0,103882.0,14792.0,103882.0,33051.0,492.46179623834485,367.50712353886433,732.0336328373639
103882.0,8217.0,103882.0,14832.0,103882.0,33086.0,488.42156150127744,362.45184952263713,721.3268465141721
103882.0,8247.0,103882.0,14904.0,103882.0,33080.0,484.23904097275704,357.30619371443294,710.4310688788523
103882.0,8254.0,103882.0,14870.0,103882.0,33083.0,479.92506203274274,352.0770514606298,699.3631602665516
103892.0,8235.0,103892.0,14830.0,103892.0,33040.0,475.4916788228644,346.77359650478127,688.1412936772592
103892.0,8191.0,103892.0,14746.0,103892.0,32983.0,470.9524977128488,341.40733415577984,676.7851336184178
103892.0,8150.0,103892.0,14723.0,103892.0,32963.0,466.3223957344994,335.99105816348697,665.3154131724968
103892.0,8156.0,103892.0,14709.0,103892.0,32933.0,461.61680153587554,330.53752447211633,653.7532708970928
103892.0,8125.0,103892.0,14684.0,103892.0,32903.0,456.8510665697295,325.05854975209434,642.1197536565281
103892.0,8121.0,103892.0,14710.0,103892.0,32927.0,452.04013851325226,319.56463954164855,630.4355818410569
103902.0,8122.0,103902.0,14723.0,103902.0,32911.0,447.19840286039744,314.0650666944187,618.7212673575214
103902.0,8077.0,103902.0,14680.0,103902.0,32848.0,442.33959708884987,308.5682803903,606.997450148988
103902.0,8089.0,103902.0,14659.0,103902.0,32840.0,437.4766734887844,303.0821394740358,595.2849183108971
103902.0,8105.0,103902.0,14755.0,103902.0,32876.0,432.6216688956997,297.61387877470355,583.6043779120549
103902.0,8152.0,103902.0,14820.0,103902.0,32873.0,427.7859998140501,292.1707471477,571.9767064500373
103902.0,8120.0,103902.0,14708.0,103902.0,32817.0,422.98126550644065,286.7615213857607,560.4236670004284
103913.0,8076.0,103913.0,14698.0,103913.0,32745.0,418.2199110780251,281.39740831504884,548.9681534872637
103913.0,8048.0,103913.0,14645.0,103913.0,32695.0,413.5151248428596,276.0915212458447,537.6334786479727
103913.0,8019.0,103913.0,14556.0,103913.0,32694.0,408.88013955935827,270.85767716707164,526.4422341680763
103913.0,8038.0,103913.0,14550.0,103913.0,32648.0,404.3275583933496,265.70901413134663,515.4154831561578
103913.0,8019.0,103913.0,14569.0,103913.0,32635.0,399.8690836210181,260.65675017140916,504.5723914915176
103913.0,7991.0,103913.0,14537.0,103913.0,32675.0,395.51552421942887,255.7096681899165,493.93012332450996
103923.0,7984.0,103923.0,14611.0,103923.0,32623.0,391.27669543553645,250.8743021803586,483.50410938512846
103923.0,7991.0,103923.0,14551.0,103923.0,32606.0,387.16119379293076,246.1554581983458,473.30845480827816
103923.0,7990.0,103923.0,14573.0,103923.0,32619.0,383.17637101192713,241.55673797299602,463.35606301002906
103923.0,8041.0,103923.0,14627.0,103923.0,32667.0,379.3286664348343,237.0809152372741,453.6588535829753
103923.0,8032.0,103923.0,14616.0,103923.0,32596.0,375.6242936627547,232.73056129737847,444.2284765007797
103923.0,7992.0,103923.0,14592.0,103923.0,32600.0,372.06996953118835,228.50889545383728,435.07694547329504
103934.0,7952.0,103934.0,14531.0,103934.0,32519.0,368.67306393167786,224.4200871195298,426.2165971140922
103934.0,7905.0,103934.0,14529.0,103934.0,32491.0,365.4409739574751,220.46875453589445,417.65947873522634
103934.0,7928.0,103934.0,14461.0,103934.0,32475.0,362.3802058069821,216.6591173142998,409.4165144746885
103934.0,7906.0,103934.0,14474.0,103934.0,32457.0,359.495779423186,212.99416490660212,401.49686220975343
103934.0,7936.0,103934.0,14530.0,103934.0,32410.0,356.7911620828875,209.4751646711606,393.9075884003835
103934.0,7908.0,103934.0,14527.0,103934.0,32434.0,354.26850614026796,206.1019627519479,386.65342176883985
103944.0,7877.0,103944.0,14474.0,103944.0,32409.0,351.9288143968955,202.87374583438572,379.73662808249924
103944.0,7896.0,103944.0,14443.0,103944.0,32407.0,349.77180232065984,199.78923370250584,373.1571475423784
103944.0,7941.0,103944.0,14531.0,103944.0,32466.0,347.7958112284976,196.84628845156635,366.9129521981225
103944.0,7955.0,103944.0,14571.0,103944.0,32474.0,345.9983289589348,194.0421283146539,361.00080956051727
103944.0,7942.0,103944.0,14566.0,103944.0,32467.0,344.37691368266536,191.37457923839344,355.4174200796683
103944.0,7903.0,103944.0,14493.0,103944.0,32398.0,342.92977619171967,188.84324516651645,350.1602182495367
103954.0,7862.0,103954.0,14435.0,103954.0,32333.0,341.6556159931271,186.449459758295,345.227197936357
103954.0,7854.0,103954.0,14395.0,103954.0,32328.0,340.5529055401324,184.19510454785404,340.6159036703573
103954.0,7847.0,103954.0,14362.0,103954.0,32299.0,339.61914881441703,182.08112323546516,336.3223650781424
103954.0,7868.0,103954.0,14422.0,103954.0,32296.0,338.8505312005866,180.10647881729705,332.34051487536385
103954.0,7854.0,103954.0,14431.0,103954.0,32304.0,338.2419951392407,178.26801696481556,328.6620318643121
103954.0,7849.0,103954.0,14403.0,103954.0,32321.0,337.7874603830145,176.56105962421782,325.2765241339504
103965.0,7856.0,103965.0,14393.0,103965.0,32328.0,337.47994009714625,174.97987896984984,322.17205069913734
103965.0,7863.0,103965.0,14421.0,103965.0,32316.0,337.3116319208215,173.51771591739862,319.33576536489204
103965.0,7898.0,103965.0,14510.0,103965.0,32328.0,337.2742088419295,172.167041556505,316.7544201044509
103965.0,7894.0,103965.0,14497.0,103965.0,32360.0,337.3593688173697,170.9206344221484,314.4148012061984
103965.0,7879.0,103965.0,14457.0,103965.0,32322.0,337.5594066231212,169.77285862218554,312.30429490463894
103965.0,7852.0,103965.0,14409.0,103965.0,32255.0,337.8674216630746,168.72003606513147,310.4112186413747
103975.0,7818.0,103975.0,14361.0,103975.0,32234.0,338.27701829657457,167.75972070962513,308.72436385843764
103975.0,7821.0,103975.0,14374.0,103975.0,32266.0,338.781707351129,166.88957111708896,307.23213318341743
103975.0,7813.0,103975.0,14337.0,103975.0,32234.0,339.3743773477798,166.10649327123036,305.9221526882744
103975.0,7832.0,103975.0,14333.0,103975.0,32246.0,340.04709671224543,165.40616707818447,304.78140614249673
103975.0,7820.0,103975.0,14374.0,103975.0,32206.0,340.79122089382685,164.78281499264273,303.7963594191193
103975.0,7816.0,103975.0,14340.0,103975.0,32219.0,341.5975759653768,164.22929992948815,302.9528892861915
