c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
35248,14836,35248,37558,35248,61963,514.7624520991485,258.98209712626556,605.3366454969656
35248,14823,35248,37508,35248,61950,515.6864471317987,259.86009222659277,609.9141804506535
35248,14815,35248,37502,35248,61946,516.578191114938,260.7292655578868,614.4687049687931
35248,14811,35248,37551,35248,61984,517.442898649472,261.59440453114706,618.9981518683801
35258,14839,35258,37553,35258,62000,518.2853852453073,262.45927673603416,623.5004930762175
35258,14829,35258,37574,35258,61984,519.1102244029141,263.3271656354912,627.9742313596339
35258,14799,35258,37542,35258,61941,519.9219887389856,264.2014165789249,632.4186707635589
35258,14780,35258,37474,35258,61932,520.7251581197717,265.0854425703297,636.8335570081972
35258,14799,35258,37517,35258,61923,521.5237088197363,265.9820783788692,641.2183630979379
35258,14791,35258,37549,35258,61984,522.3208510410609,266.89298309230384,645.5718475076059
35268,14813,35268,37585,35268,61942,523.1191190617775,267.8189106301215,649.892192571631
35268,14793,35268,37543,35268,61959,523.9206216536667,268.7605466258152,654.1773487271943
35268,14781,35268,37534,35268,61926,524.7271916243474,269.71896454629405,658.4250726660755
35268,14775,35268,37488,35268,61954,525.5402907281715,270.69533675149023,662.6327100518469
35268,14775,35268,37525,35268,61941,526.3607933322721,271.6902910379408,666.7970527402774
35268,14787,35268,37572,35268,61987,527.1888956839081,272.7036189104216,670.9144405806353
35279,14794,35279,37578,35279,61968,528.0242499119371,273.73475649549573,674.9811058745341
35279,14787,35279,37515,35279,61963,528.8662357327923,274.7835119320792,678.9935299012437
35279,14779,35279,37510,35279,61931,529.7141654719009,275.85010227017983,682.9484655704161
35279,14752,35279,37479,35279,61934,530.567256471774,276.93445738451226,686.842577745188
35279,14770,35279,37502,35279,61944,531.4244053104842,278.0354850368765,690.6720372791766
35279,14769,35279,37556,35279,61952,532.2840208678992,279.1508495711026,694.4324048148607
35289,14771,35289,37558,35289,61955,533.1441004331532,280.2774585545535,698.1188044671268
35289,14767,35289,37515,35289,61960,534.0024133134666,281.4121980519679,701.7261669471159
35289,14745,35289,37523,35289,61933,534.8565734442485,282.55213546956674,705.2493641923636
35289,14760,35289,37503,35289,61932,535.7039545242537,283.6941738764479,708.6831203120869
35289,14746,35289,37525,35289,61957,536.5415853642301,284.83471442106,712.0218062690041
35289,14759,35289,37560,35289,61992,537.3661570743212,285.9696669297378,715.259529281522
35299,14762,35299,37551,35299,61945,538.1741401605411,287.0948634425922,718.3906021204225
35299,14741,35299,37529,35299,61933,538.9619408037224,288.20653078194647,721.4098076306718
35299,14727,35299,37487,35299,61916,539.7259163209524,289.3012738559473,724.3120781996963
35299,14733,35299,37504,35299,61922,540.4621709989425,290.37552934457744,727.0919667527415
35299,14748,35299,37528,35299,61945,541.1664035945967,291.4250747362058,729.7433991816741
35299,14755,35299,37553,35299,61960,541.8340636394151,292.4451250706989,732.2598621868282
35310,14728,35310,37539,35310,61964,542.4606608570538,293.43088193506,734.6348911347759
35310,14727,35310,37511,35310,61954,543.0418696385268,294.3779277456289,736.8625323163564
35310,14711,35310,37507,35310,61923,543.5733558631069,295.28210524536837,738.9374904146833
35310,14737,35310,37503,35310,61952,544.0505933342308,296.1391090149532,740.8549573236284
35310,14738,35310,37559,35310,61936,544.4689310290346,296.94429911083813,742.6104503282073
35310,14723,35310,37557,35310,61945,544.8238688067881,297.69305064563264,744.1998722914566
35320,14706,35320,37524,35320,61944,545.1112078088805,298.38135006458083,745.6196563774719
35320,14703,35320,37504,35320,61903,545.3269036762955,299.0059501979333,746.8668153285732
35320,14691,35320,37488,35320,61887,545.4668129485639,299.5639162479516,747.9387132752491
35320,14708,35320,37507,35320,61917,545.5265493129384,300.05206672404177,748.8326229113579
35320,14702,35320,37556,35320,61921,545.5015307858439,300.46685178121163,749.5455679788879
35320,14705,35320,37560,35320,61935,545.3871693963913,300.8048694123203,750.0746616155038
35330,14704,35330,37526,35330,61928,545.1790659027695,301.06359866895923,750.417596623217
35330,14692,35330,37506,35330,61910,544.8731348072806,301.2416234986251,750.5729538297838
