c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
345415,12518,345415,9899,345415.0,35113.0,-633.679702015801,-357.0129990585542,-728.923547310161
345415,12427,345415,9924,345415.0,35099.0,-656.6755461461081,-363.6326395014184,-745.1066863827792
345415,12282,345415,9950,345415.0,35102.0,-680.0088633808919,-370.3907756122804,-761.6018712097951
345415,12166,345415,9955,345415.0,35138.0,-703.6071274549552,-377.2912541635026,-778.3971911888918
345425,12118,345425,9944,345425.0,35062.0,-727.4027308423405,-384.3360895695915,-795.4795063395021
345425,12118,345425,9938,345425.0,35070.0,-751.3354808181268,-391.525079515,-812.834191802338
345425,12107,345425,9918,345425.0,35079.0,-775.353771919702,-398.85576617285807,-830.4452497746906
345425,12093,345425,9927,345425.0,35068.0,-799.4146573201388,-406.3235588635509,-848.2952652116901
345425,12109,345425,9900,345425.0,34986.0,-823.4834886043902,-413.92185228582423,-866.3651936680933
345425,12273,345425,9822,345425.0,34936.0,-847.5330403480029,-421.6422861725168,-884.6347164495584
345436,12409,345436,9805,345436.0,34947.0,-871.5411755637125,-429.4755209643693,-903.083228440616
345436,12380,345436,9804,345436.0,34968.0,-895.4870387680435,-437.4123354832783,-921.6905323927115
345436,12322,345436,9863,345436.0,34915.0,-919.3477262712815,-445.44421514620666,-940.4367404710829
345436,12210,345436,9865,345436.0,34939.0,-943.0972334908303,-453.56298174532844,-959.3019341607878
345436,12073,345436,9916,345436.0,34978.0,-966.7076375474403,-461.7598010094506,-978.2658604263275
345436,12004,345436,9855,345436.0,34934.0,-990.1515729199232,-470.02419152686775,-997.3073146712655
345446,11994,345446,9838,345446.0,34898.0,-1013.404841438914,-478.34359387234247,-1016.4035207877168
345446,11972,345446,9817,345446.0,34898.0,-1036.4480606146988,-486.70366825059205,-1035.5301019347046
345446,11954,345446,9810,345446.0,34863.0,-1059.2671911818222,-495.08886774708424,-1054.6613736280833
345446,11949,345446,9799,345446.0,34859.0,-1081.8535434939802,-503.482824211634,-1073.7705228038103
345446,12035,345446,9765,345446.0,34766.0,-1104.2034311893271,-511.8685857208445,-1092.8298335532138
345446,12240,345446,9722,345446.0,34755.0,-1126.3166892382046,-520.2290016046467,-1111.8113023975761
345456,12257,345456,9734,345456.0,34771.0,-1148.1933988112141,-528.547352715839,-1130.6874375690418
345456,12213,345456,9756,345456.0,34788.0,-1169.830057530508,-536.8078207218155,-1149.431502513075
345456,12135,345456,9786,345456.0,34801.0,-1191.21745563829,-544.9953132854989,-1168.0169515328546
345456,11997,345456,9797,345456.0,34791.0,-1212.3409786666773,-553.0947164785526,-1186.4165522309097
345456,11853,345456,9822,345456.0,34801.0,-1233.1827034810403,-561.0899857377105,-1204.6016448808018
345456,11853,345456,9760,345456.0,34769.0,-1253.724387585961,-568.9634482280574,-1222.5416408043902
345467,11809,345467,9764,345467.0,34744.0,-1273.9500186031014,-576.6956470060247,-1240.2038052092628
345467,11785,345467,9771,345467.0,34691.0,-1293.8471109394377,-584.2656304173406,-1257.5534428515766
345467,11803,345467,9757,345467.0,34710.0,-1313.4071467868555,-591.6511389298971,-1274.5543884162958
345467,11831,345467,9734,345467.0,34697.0,-1332.6254896878258,-598.8285909136459,-1291.1693575124998
345467,11986,345467,9679,345467.0,34628.0,-1351.5003884619482,-605.7733092540605,-1307.3600198096299
345467,12127,345467,9657,345467.0,34607.0,-1370.0304908543148,-612.4602202592978,-1323.0873034670515
345477,12122,345477,9650,345477.0,34627.0,-1388.2110693703407,-618.8647666129843,-1338.3120352981184
345477,12034,345477,9686,345477.0,34621.0,-1406.030730139716,-624.9634968626312,-1352.9952521215916
345477,11939,345477,9718,345477.0,34646.0,-1423.470448606845,-630.7339396289946,-1367.097903265106
345477,11793,345477,9756,345477.0,34659.0,-1440.504995164301,-636.1537976986941,-1380.5802308256293
345477,11713,345477,9693,345477.0,34619.0,-1457.105705064822,-641.1999787831239,-1393.401124418061
345477,11681,345477,9719,345477.0,34605.0,-1473.243474273044,-645.8481476909998,-1405.517820019782
345487,11690,345487,9672,345487.0,34562.0,-1488.8909237368748,-650.0729038763062,-1416.8861466135472
345487,11650,345487,9674,345487.0,34557.0,-1504.0233322894817,-653.8481884987943,-1427.461091303138
345487,11665,345487,9666,345487.0,34536.0,-1518.6188510471911,-657.1476992034,-1437.1973625497226
345487,11729,345487,9653,345487.0,34522.0,-1532.6583562688447,-659.9452264342707,-1446.0498153615154
345487,11937,345487,9599,345487.0,34494.0,-1546.124277608486,-662.2150011703261,-1453.9738208398844
345487,12001,345487,9615,345487.0,34468.0,-1558.9976293415843,-663.9322916964566,-1460.9257414061249
345498,11939,345498,9614,345498.0,34503.0,-1571.2542246507164,-665.0740438151255,-1466.8634423121089
