c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
172788,1056,172788,20349,172788,38656,-173.29781681813122,354.8744843815285,731.6056931405401
172788,1053,172788,20342,172788,38649,-176.29426386162098,355.43403313538465,734.2669454929005
172799,1064,172799,20292,172799,38615,-179.30040695908428,355.9108374047271,736.7110267384827
172799,1053,172799,20312,172799,38644,-182.30740507817512,356.2996777816581,738.9208667408905
172799,1047,172799,20346,172799,38656,-185.3058179851956,356.5939434792682,740.8782697522647
172799,1029,172799,20376,172799,38680,-188.28567004292773,356.78584290662815,742.5641812300937
172799,1028,172799,20373,172799,38690,-191.23666609920048,356.8671678526869,743.9592807383208
172799,1025,172799,20343,172799,38674,-194.14842419681432,356.8299457189676,745.0445534593417
172809,1025,172809,20339,172809,38644,-197.01059996402307,356.6665247210914,745.8015252320229
172809,1030,172809,20321,172809,38650,-199.81288885300808,356.3692420682351,746.2120625626034
172809,1022,172809,20360,172809,38672,-202.54496120045013,355.9301286813313,746.258098425289
172809,1015,172809,20358,172809,38681,-205.19642151074385,355.34098258835354,745.9217438211109
172809,1008,172809,20355,172809,38689,-207.7568732443018,354.59374446958225,745.1857613901701
172809,1016,172809,20344,172809,38642,-210.2160388530879,353.68078908300384,744.0339766672381
172819,1010,172819,20327,172819,38642,-212.5638079039261,352.59491628798844,742.4512673091888
172819,1009,172819,20326,172819,38661,-214.79020754962968,351.32914309753875,740.4232825921717
172819,998,172819,20349,172819,38668,-216.88540495491935,349.8765398380498,737.9364299500528
172819,981,172819,20367,172819,38668,-218.83982901837982,348.23038586703433,734.9782646032899
172819,996,172819,20358,172819,38650,-220.64438944524915,346.3846450687462,731.5379042754802
172819,991,172819,20326,172819,38633,-222.29062550913483,344.3343485000295,727.6061719055825
172830,991,172830,20319,172830,38637,-223.77069170333476,342.0755282020173,723.175505151914
172830,987,172830,20305,172830,38619,-225.07731209574592,339.6048379255715,718.239859637549
172830,985,172830,20351,172830,38646,-226.2038048263738,336.9193081415906,712.7947680753296
172830,971,172830,20347,172830,38651,-227.14416888688447,334.01656328627627,706.8376404589277
172830,985,172830,20328,172830,38623,-227.89321518286792,330.8953333646313,700.3682467679079
172830,982,172830,20303,172830,38606,-228.4466489796876,327.55570346020374,693.3890240633029
172840,986,172840,20295,172840,38586,-228.80103509171047,323.99889072100837,685.9049954828631
172840,989,172840,20302,172840,38589,-228.95371880687392,320.22690094459347,677.9235499696869
172840,982,172840,20337,172840,38582,-228.9027775351241,316.24249779887793,669.4543901736745
172840,970,172840,20332,172840,38598,-228.64705993014059,312.0496323423685,660.5097393495586
172840,983,172840,20318,172840,38540,-228.1863368293837,307.65403323710757,651.1046591993166
172840,996,172840,20271,172840,38517,-227.52140012629496,303.0634353991845,641.2570998210527
172851,990,172851,20235,172851,38491,-226.65396387277673,298.28719393243875,630.9875092564363
172851,991,172851,20262,172851,38499,-225.5865193645999,293.3355664173823,620.3183744187343
172851,994,172851,20280,172851,38487,-224.3223161702854,288.2193412024297,609.2741076014274
172851,990,172851,20270,172851,38475,-222.8654164057288,282.9501290904219,597.8812434334225
172851,1004,172851,20238,172851,38426,-221.2207331044188,277.54081213828147,586.1685994294128
172851,1015,172851,20222,172851,38388,-219.39398981518445,272.0055663576954,574.1670774999864
172861,1008,172861,20186,172861,38376,-217.3915810308842,266.35946599187196,561.9091277477064
172861,1011,172861,20223,172861,38369,-215.22046885195147,260.6180372274073,549.4282762693554
172861,1019,172861,20199,172861,38335,-212.88820067380993,254.7971251245667,536.7589769743827
172861,1023,172861,20194,172861,38317,-210.4029302964856,248.91306516834442,523.9365778898654
172861,1033,172861,20163,172861,38276,-207.77335923868486,242.98276834720332,510.99714179838804
172861,1049,172861,20138,172861,38260,-205.00861013430568,237.02349459580904,497.97712208567157
172871,1051,172871,20135,172871,38218,-202.1180339541865,231.05243547757667,484.9129877449298
172871,1047,172871,20153,172871,38228,-199.1110337314545,225.08641922657247,471.84089552015206
172871,1038,172871,20142,172871,38204,-195.99706031448332,219.14199055729813,458.7965557379417
172871,1050,172871,20114,172871,38181,-192.78578388923762,213.23566637081896,445.815296725826
172871,1063,172871,20100,172871,38142,-189.4872345432407,207.38394386096218,432.9320595256161
172871,1077,172871,20065,172871,38112,-186.1117334686274,201.6029795349912,420.181121406335
172882,1088,172882,20081,172882,38100,-182.66965292973114,195.90817336689713,407.5956704908523
172882,1079,172882,20101,172882,38109,-179.17118072581187,190.31399552287667,395.20754608566045
172882,1091,172882,20085,172882,38074,-175.6262324985472,184.83424741245875,383.0473136295397
172882,1089,172882,20075,172882,38046,-172.04448929379876,179.4824591055469,371.1444101422191
172882,1109,172882,20031,172882,37997,-168.4354183954572,174.27196125532848,359.5269686013193
172882,1108,172882,20017,172882,37983,-164.80820021552472,169.21552787622744,348.2213061261168
172892,1118,172892,20009,172892,37977,-161.17160747893445,164.3248323929998,337.2514150423058
172892,1118,172892,20027,172892,37979,-157.53392140202115,159.6101010572337,326.6387939374531
172892,1121,172892,20030,172892,37952,-153.9029149361595,155.08018798731877,316.4026118564092
172892,1131,172892,20015,172892,37939,-150.2858724518083,150.74291162455546,306.5598872114015
172892,1141,172892,19970,172892,37903,-146.68957478000186,146.6052192380361,297.1254500758894
172892,1142,172892,19964,172892,37884,-143.12021294764298,142.67289387781227,288.1116913537925
172902,1139,172902,20008,172902,37915,-139.58331943002509,138.9501313935521,279.5283128552437
172902,1138,172902,20009,172902,37911,-136.08382195243237,135.43962277839756,271.3824461905675
172902,1150,172902,20008,172902,37886,-132.6261751379668,132.14313967461737,263.6791300424733
172902,1152,172902,19981,172902,37872,-129.21443222669782,129.06200571235183,256.421639646834
172902,1166,172902,19946,172902,37848,-125.85220612677328,126.1970630390199,249.61143355856348
172902,1159,172902,19944,172902,37848,-122.54258644768932,123.54821494265525,243.24794627068752
172913,1165,172913,19979,172913,37857,-119.28810751273596,121.11399178514387,237.32850388461543
172913,1158,172913,19978,172913,37850,-116.09081379486412,118.89161987049783,231.84849843421478
172913,1164,172913,19964,172913,37852,-112.95239031219407,116.87746579875733,226.8017197568422
172913,1177,172913,19962,172913,37812,-109.87426684678105,115.06732212784016,222.18058803954773
172913,1178,172913,19927,172913,37789,-106.85760890973481,113.45634220186207,217.9760646250279
172913,1187,172913,19947,172913,37812,-103.90322373695257,112.03878010576881,214.17731012468164
172923,1191,172923,19965,172923,37823,-101.01147234447043,110.80783541284353,210.77156165457893
172923,1182,172923,19974,172923,37820,-98.18223213874997,109.75588218204359,207.74448250464195
172923,1179,172923,19942,172923,37809,-95.41497078047223,108.87489016724783,205.08063049535917
172923,1193,172923,19930,172923,37795,-92.70891713723825,108.15653457359184,202.76366906432668
172923,1208,172923,19927,172923,37784,-90.06313303897687,107.5919055737142,200.77631347896101
172923,1203,172923,19961,172923,37781,-87.47638669694274,107.1712529515143,199.10017661979657
172933,1201,172933,19976,172933,37795,-84.94701804538337,106.88417495158075,197.7156990481227
172933,1192,172933,19970,172933,37797,-82.47299234568816,106.72016867234561,196.60229751342922
172933,1209,172933,19949,172933,37791,-80.0520793696426,106.66906271052193,195.73866776749912
172933,1216,172933,19930,172933,37783,-77.68194168702715,106.72099442872855,195.10301771041634
172933,1217,172933,19901,172933,37754,-75.36004915504412,106.86598883703186,194.67307369994853
172933,1210,172933,19943,172933,37798,-73.08358158141567,107.09345713330089,194.42594369641074
172944,1209,172944,19978,172944,37809,-70.84948356313865,107.39211710913986,194.3382103221487
172944,1217,172944,19968,172944,37793,-68.65461694984606,107.75054825171821,194.38640837148273
172944,1229,172944,19933,172944,37766,-66.49583496455494,108.15779906854533,194.54740385090452
172944,1228,172944,19919,172944,37760,-64.36990725110408,108.60337309921874,194.7982746044696
172944,1230,172944,19924,172944,37773,-62.273409277267206,109.0767396729226,195.11597658832852
172944,1222,172944,19940,172944,37784,-60.20271381025404,109.56698091504103,195.47726805925777
172954,1230,172954,19994,172954,37799,-58.15409064522041,110.06295377946026,195.8590016991651
172954,1222,172954,19951,172954,37776,-56.123831729280255,110.5538925776093,196.23854257319715
172954,1241,172954,19919,172954,37763,-54.108330968645504,111.02983714678584,196.5939686292645
172954,1242,172954,19905,172954,37755,-52.10406621985996,111.48133857302082,196.9039289933952
172954,1243,172954,19925,172954,37756,-50.10749572289265,111.89880503592713,197.14738337478502
172954,1234,172954,19954,172954,37766,-48.11500670210543,112.27225304912463,197.3034984941089
172964,1237,172964,19965,172964,37786,-46.123011363146844,112.59167689692697,197.3518094688195
172964,1242,172964,19939,172964,37753,-44.12809933301463,112.84761969891537,197.27254968390855
172964,1255,172964,19919,172964,37747,-42.12709285401536,113.0313818011083,197.04682195993666
172964,1270,172964,19905,172964,37722,-40.11693198629402,113.13471501603755,196.65640927953575
172964,1254,172964,19916,172964,37743,-38.09446884659161,113.14935511996072,196.08344828917848
172964,1250,172964,19948,172964,37742,-36.05639561515821,113.06684821224093,195.31031626614197
172975,1255,172975,19949,172975,37762,-33.999401526439556,112.87885131415021,194.3198474765968
172975,1267,172975,19891,172975,37742,-31.920344434007717,112.57753511164736,193.09571151861905
172975,1267,172975,19913,172975,37721,-29.816246824498933,112.15551841870223,191.6226425440193
172975,1269,172975,19895,172975,37725,-27.684203400068583,111.6054479402321,189.8863579818833
172975,1270,172975,19923,172975,37715,-25.521346032356178,110.91978211969493,187.87336557684182
172975,1257,172975,19941,172975,37705,-23.324904631417724,110.09097358571668,185.5708797853914
172985,1257,172985,19938,172985,37728,-21.092376162173366,109.1119290138569,182.96684391552105
172985,1271,172985,19913,172985,37714,-18.82173511157052,107.9764289161919,180.05009079662761
172985,1284,172985,19880,172985,37695,-16.511491207029934,106.67911498034897,176.8105755797269
172985,1287,172985,19896,172985,37676,-14.160529690762502,105.21505932259026,173.2393956776193
172985,1285,172985,19915,172985,37688,-11.767916332541148,103.57942378205757,169.32859006948138
172985,1290,172985,19918,172985,37691,-9.332831138585561,101.76760201691684,165.0710663325442
172995,1296,172995,19908,172995,37651,-6.854588288554737,99.77562801751446,160.46074469697794
172995,1294,172995,19886,172995,37648,-4.332641140151708,97.60038977190021,155.4925813869163
172995,1305,172995,19858,172995,37617,-1.7665682744957962,95.23945797766342,150.1623135896333
172995,1300,172995,19867,172995,37630,0.8439371406336704,92.69066346511971,144.46616096383445
172995,1306,172995,19901,172995,37648,3.499064538918219,89.95183422624865,138.40077726127356
172995,1307,172995,19904,172995,37648,6.198855520725687,87.02105436381248,131.9635999091646
173005,1319,173005,19885,173005,37621,8.943184241734059,83.89722444025006,125.15337099567148
173005,1328,173005,19858,173005,37581,11.731815407689822,80.58033437872206,117.97033594335937
173005,1320,173005,19828,173005,37581,14.564517619269196,77.07120407644072,110.41596610094325
173005,1336,173005,19855,173005,37566,17.44112886551494,73.37098314516203,102.49257355784755
173005,1317,173005,19881,173005,37593,20.36153572348502,69.48097032328775,94.20322692246611
173005,1325,173005,19847,173005,37548,23.325570318662244,65.40296096375096,85.55198822170394
173015,1337,173015,19831,173015,37534,26.33286755079422,61.1395943605271,76.54411059353151
173015,1344,173015,19815,173015,37509,29.38283639592825,56.69423134786496,67.18591128974231
173015,1353,173015,19796,173015,37484,32.47478981995559,52.07056243241277,57.48444528452751
173015,1344,173015,19814,173015,37472,35.60807952080546,47.27229645356516,47.44718772522742
173015,1353,173015,19823,173015,37476,38.7821120750111,42.30313607223974,37.081838323275065
173015,1350,173015,19830,173015,37449,41.996272819079024,37.167106747706896,26.396338507279552
173025,1354,173025,19776,173025,37420,45.24984248319345,31.868935518765625,15.398943233823502
173025,1364,173025,19751,173025,37404,48.541945050434265,26.413977571395037,4.098092205119997
173025,1368,173025,19771,173025,37396,51.87155519903163,20.807698532835104,-7.497830734619583
173025,1371,173025,19772,173025,37377,55.237559286342304,15.055341695903508,-19.380607455113932
173025,1353,173025,19758,173025,37383,58.6387545572193,9.16207343584972,-31.542126473483222
173025,1375,173025,19740,173025,37366,62.07370971366453,3.1331958329504914,-43.97420178331697
