c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
414341,8693,414341,7549,414341.0,28413.0,-880.2727884009566,-242.97276665457997,-574.5492501024341
414341,8778,414341,7551,414341.0,28441.0,-847.4251256531954,-231.45390490218827,-551.3041582698634
414341,8983,414341,7515,414341.0,28462.0,-813.5059772650014,-219.65559816566025,-527.4223564494102
414341,9162,414341,7563,414341.0,28493.0,-778.5963739529755,-207.59896149009765,-502.948714407059
414341,9193,414341,7590,414341.0,28557.0,-742.774725462491,-195.30704142029504,-477.9301345417418
414341,9155,414341,7620,414341.0,28581.0,-706.1139493157631,-182.80468178319302,-452.4152938918063
414351,9103,414351,7669,414351.0,28652.0,-668.6809806830619,-170.11798621946917,-426.45416494488865
414351,9017,414351,7703,414351.0,28689.0,-630.5385800683746,-157.27362760548718,-400.0974391476936
414351,9032,414351,7703,414351.0,28723.0,-591.7482648813398,-144.29814114116377,-373.39593245006824
414351,9081,414351,7725,414351.0,28751.0,-552.3730433538365,-131.2174754729157,-346.40015338007584
414351,9144,414351,7747,414351.0,28789.0,-512.4789429770059,-118.05686575602172,-319.16012712080175
414351,9171,414351,7747,414351.0,28828.0,-472.13535567076053,-104.84079306637287,-291.72531205507164
414362,9235,414362,7753,414362.0,28855.0,-431.4149665419235,-91.59300303476482,-264.1444735902562
414362,9396,414362,7779,414362.0,28895.0,-390.3934562295567,-78.33665980916646,-236.4655541328773
414362,9633,414362,7752,414362.0,28901.0,-349.14809012277533,-65.09455159949846,-208.73562869775355
414362,9736,414362,7794,414362.0,28940.0,-307.7545687152186,-51.88933895442625,-181.00100935356443
414362,9749,414362,7834,414362.0,28989.0,-266.2833690729449,-38.743717532671724,-153.3073957886686
414362,9709,414362,7829,414362.0,29028.0,-224.79774240242273,-25.680237619867853,-125.69981347985993
414372,9644,414372,7883,414372.0,29089.0,-183.3542174404597,-12.720939529232567,-98.2222671506164
414372,9593,414372,7873,414372.0,29111.0,-142.00492156671567,0.1129388301645804,-70.91726591043209
414372,9649,414372,7938,414372.0,29141.0,-100.80048532788373,12.801239592477941,-43.82543721291347
414372,9723,414372,7921,414372.0,29187.0,-59.79218084452236,25.32521727289594,-16.985353726994504
414372,9767,414372,7944,414372.0,29208.0,-19.032608407081398,37.66780503162386,9.56655164229744
414372,9787,414372,7950,414372.0,29232.0,21.424445093500253,49.813657620132346,35.79606276069694
414382,9883,414382,7944,414382.0,29255.0,61.52411348798114,61.74901203798032,61.67113108416629
414382,10108,414382,7933,414382.0,29265.0,101.21094708162786,73.46139878087348,87.16166902541579
414382,10252,414382,7929,414382.0,29315.0,140.43096831439107,84.9391312792593,112.23929214623524
414382,10288,414382,7958,414382.0,29328.0,179.13499970880048,96.17073381433835,136.8771629368082
414382,10284,414382,8016,414382.0,29355.0,217.28126638829508,107.14472316061614,161.04995532199825
414382,10217,414382,8060,414382.0,29422.0,254.8358581315831,117.85005193529497,184.73387601068407
414393,10143,414393,8057,414393.0,29479.0,291.771161595919,128.27698534296178,207.9069560017474
414393,10181,414393,8058,414393.0,29472.0,328.0631745068008,138.41774586296845,230.54967170485043
414393,10192,414393,8065,414393.0,29518.0,363.68901614280776,148.26658620437183,252.64540259862554
414393,10228,414393,8056,414393.0,29524.0,398.62546668277173,157.81952755467302,274.1804771406005
414393,10276,414393,8064,414393.0,29545.0,432.8483196511588,167.07402234889412,295.1440482919336
414393,10336,414393,8086,414393.0,29568.0,466.3321900361195,176.02865502296413,315.52792659995066
414403,10465,414403,8062,414403.0,29555.0,499.0508760124592,184.68296178909867,335.32634084177926
414403,10681,414403,8086,414403.0,29543.0,530.9787729242098,193.03726020414837,354.53549293868923
414403,10729,414403,8077,414403.0,29619.0,562.0936358205795,201.0923995079719,373.15292757713314
414403,10767,414403,8123,414403.0,29651.0,592.3796268691494,208.84960374259498,391.1772691455849
414403,10690,414403,8127,414403.0,29668.0,621.8288796081358,216.31057964412344,408.6085952284219
414403,10619,414403,8153,414403.0,29710.0,650.4408661653667,223.4778366519817,425.4489387505471
414414,10562,414414,8164,414414.0,29716.0,678.2200513814469,230.35503279645212,441.70257878497057
414414,10588,414414,8161,414414.0,29717.0,705.1729772919689,236.94721888653322,457.37614221821036
414414,10593,414414,8164,414414.0,29727.0,731.3059900770163,243.2609019534329,472.4784372137957
414414,10629,414414,8184,414414.0,29775.0,756.62402012201,249.3039540954059,487.0201538548449
414414,10662,414414,8160,414414.0,29756.0,781.1300790767118,255.085508176046,501.0137514352141
414414,10737,414414,8154,414414.0,29762.0,804.825218781491,260.61576929536454,514.4733964715645
414424,10936,414424,8156,414424.0,29745.0,827.7092798111769,265.9056122260208,527.4145867719433
414424,11064,414424,8117,414424.0,29775.0,849.7830751588322,270.9660656780534,539.8535400374517
414424,11062,414424,8167,414424.0,29795.0,871.051602272033,275.80780649631356,551.8067472029056
414424,11048,414424,8191,414424.0,29800.0,891.5264316818973,280.44093259626595,563.2908660654509
414424,10970,414424,8188,414424.0,29829.0,911.2259930509301,284.8752429766297,574.3227705164609
414424,10856,414424,8228,414424.0,29845.0,930.1739545666426,289.1207148528075,584.9196152055874
414434,10849,414434,8209,414434.0,29882.0,948.3964155557107,293.1878578429372,595.0990021133293
414434,10867,414434,8211,414434.0,29879.0,965.9190610682194,297.0878902398249,604.8792565732274
414434,10859,414434,8178,414434.0,29863.0,982.7653684158113,300.83259739203345,614.279565282081
414434,10883,414434,8205,414434.0,29885.0,998.9557879672439,304.43389814330817,623.3197571468697
414434,10927,414434,8199,414434.0,29887.0,1014.507349037568,307.9034609635419,632.0199246782529
414434,11034,414434,8181,414434.0,29857.0,1029.4338055729309,311.2525211712781,640.4001058825361
414445,11233,414445,8182,414445.0,29844.0,1043.7469484319267,314.49165805410087,648.4797912616252
414445,11297,414445,8186,414445.0,29886.0,1057.4594015249615,317.63044450940515,656.2772168339345
414445,11272,414445,8206,414445.0,29900.0,1070.5878328757685,320.6772238571584,663.8089626527874
414445,11187,414445,8213,414445.0,29917.0,1083.1545766846104,323.6391592268302,671.090080873521
414445,11089,414445,8266,414445.0,29971.0,1095.1867754041623,326.52253096496815,678.1344715399391
414445,11038,414445,8220,414445.0,29981.0,1106.713808108772,329.33318671443647,684.9553983445342
414455,11045,414455,8254,414455.0,29978.0,1117.7644108000122,332.07684040104334,691.5660467704477
414455,11039,414455,8245,414455.0,29995.0,1128.3646007869322,334.75907827591607,697.9797963408371
414455,11056,414455,8226,414455.0,29967.0,1138.5366167392867,337.3852620584821,704.2101316714538
414455,11067,414455,8245,414455.0,29994.0,1148.298454688005,339.960355310624,710.2703558185983
414455,11141,414455,8252,414455.0,29969.0,1157.6637888013254,342.4887275129865,716.1732390589561
414455,11287,414455,8198,414455.0,29981.0,1166.6426487226954,344.97403282540716,721.9306714861389
414465,11438,414465,8218,414465.0,29954.0,1175.2434662047683,347.4188881700182,727.553264380055
414465,11443,414465,8242,414465.0,29991.0,1183.476251890599,349.8243990945423,733.0499100929956
414465,11404,414465,8279,414465.0,29998.0,1191.3552849845926,352.1901262854595,738.4275247509092
414465,11330,414465,8284,414465.0,30072.0,1198.8998017212323,354.51461816712634,743.6912244291796
414465,11199,414465,8313,414465.0,30047.0,1206.1325910972614,356.79607449785703,748.844922437763
414465,11171,414465,8303,414465.0,30068.0,1213.0772723512534,359.0328516113719,753.8919225663462
414476,11168,414476,8289,414476.0,30068.0,1219.7554029659048,361.22370412273216,758.835125677138
414476,11185,414476,8287,414476.0,30066.0,1226.184557849331,363.3676761304977,763.676958818578
414476,11187,414476,8307,414476.0,30088.0,1232.3775712857796,365.46382004464203,768.4192574731153
414476,11206,414476,8285,414476.0,30069.0,1238.3423542305432,367.51104460914183,773.063161577071
414476,11298,414476,8260,414476.0,30076.0,1244.0820356025715,369.50797477913585,777.6089685947293
414476,11514,414476,8298,414476.0,30083.0,1249.5960789542648,371.45260897928483,782.0558930231618
414486,11562,414486,8309,414486.0,30092.0,1254.8830644871382,373.34210163481833,786.4018658899074
414486,11548,414486,8291,414486.0,30096.0,1259.944124539308,375.1729260317702,790.6434714135473
414486,11493,414486,8324,414486.0,30134.0,1264.784913722969,376.94108368634784,794.7759925666778
414486,11362,414486,8326,414486.0,30184.0,1269.4152394085847,378.64222272387804,798.793715408701
414486,11274,414486,8356,414486.0,30173.0,1273.846832001432,380.2718940748205,802.690587453606
414486,11281,414486,8398,414486.0,30182.0,1278.0902827753068,381.8260387164008,806.4608376520155
414496,11309,414496,8348,414496.0,30165.0,1282.1526242177476,383.30158062786126,810.0991352227711
414496,11316,414496,8339,414496.0,30186.0,1286.0363924247908,384.6966702492943,813.6003927540967
414496,11317,414496,8327,414496.0,30205.0,1289.7396249375784,386.01029319895525,816.9596002807882
