c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138644,9718,138644,6674,138644.0,28765.0,-1114.1611453272865,-374.960544734333,-825.8133624884658
138644,9732,138644,6655,138644.0,28775.0,-1110.2114903023291,-369.7177511745864,-818.1365703645124
138644,9807,138644,6652,138644.0,28765.0,-1105.468112195173,-364.0853722549914,-809.7531649376913
138644,9971,138644,6644,138644.0,28766.0,-1099.9213554357311,-358.05459962857884,-800.6450962860937
138654,9970,138654,6656,138654.0,28774.0,-1093.5588884382687,-351.61816228291895,-790.7954405431062
138654,9979,138654,6681,138654.0,28782.0,-1086.3634259137036,-344.7705992260062,-780.1888065821942
138654,9913,138654,6717,138654.0,28819.0,-1078.311708088428,-337.50818302554256,-768.8115744705626
138654,9833,138654,6726,138654.0,28831.0,-1069.375176542517,-329.82851259041706,-756.6518953513286
138654,9724,138654,6758,138654.0,28873.0,-1059.522013491352,-321.7300120922731,-743.6994916401854
138654,9714,138654,6734,138654.0,28859.0,-1048.7200010190843,-313.21158300216973,-729.9454218379453
138665,9725,138665,6732,138665.0,28894.0,-1036.9391833178934,-304.27259547701163,-715.3820045656444
138665,9735,138665,6726,138665.0,28873.0,-1024.1534526150494,-294.91327174502885,-700.0029729371383
138665,9741,138665,6765,138665.0,28899.0,-1010.3411851943024,-285.1351640173955,-683.8038109408491
138665,9779,138665,6740,138665.0,28917.0,-995.4855192607307,-274.94139502096243,-666.7821485767738
138665,9951,138665,6757,138665.0,28910.0,-979.5741498676923,-264.33678656479907,-648.9380823184863
138665,10066,138665,6768,138665.0,28913.0,-962.597833990124,-253.3280945945499,-630.274534293435
138675,10094,138675,6767,138675.0,28971.0,-944.5476891310904,-241.92424736298122,-610.7977189728172
138675,10072,138675,6821,138675.0,29009.0,-925.4128744041934,-230.1364448321108,-590.5173287120742
138675,10020,138675,6863,138675.0,29049.0,-905.1800183853642,-217.97795914079703,-569.4462052061555
138675,9936,138675,6897,138675.0,29105.0,-883.8344163474178,-205.46350221113926,-547.5997656977102
138675,9896,138675,6912,138675.0,29074.0,-861.3623780300132,-192.608433271259,-524.9955275555528
138675,9895,138675,6875,138675.0,29138.0,-837.753908799275,-179.42831984871458,-501.6529998784077
138685,9931,138685,6937,138685.0,29163.0,-813.0048220174381,-165.93905006436734,-477.5938322726761
138685,9948,138685,6908,138685.0,29179.0,-787.1178619738355,-152.15713954614517,-452.8418397079512
138685,9989,138685,6929,138685.0,29227.0,-760.1031147340374,-138.09994102711198,-427.4229391696216
