c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
379461.0,10332.0,379461.0,15138.0,379461.0,33426.0,261.66991858114284,303.0663945070095,593.7357169045252
379461.0,10188.0,379461.0,15171.0,379461.0,33488.0,269.3209063361404,305.49033095268754,600.3738979249334
379472.0,10185.0,379472.0,15141.0,379472.0,33498.0,276.80677259229907,307.962136001396,607.0205269262444
379472.0,10189.0,379472.0,15121.0,379472.0,33416.0,284.128581873934,310.4815299884261,613.6606603697156
379472.0,10154.0,379472.0,15103.0,379472.0,33484.0,291.28441942751874,313.0476867519807,620.2798833629965
379472.0,10177.0,379472.0,15094.0,379472.0,33447.0,298.26870361239236,315.6586352857025,626.8639090760213
379472.0,10231.0,379472.0,15141.0,379472.0,33435.0,305.07190461337234,318.3108240143066,633.3983512399448
379472.0,10411.0,379472.0,15146.0,379472.0,33456.0,311.68117760967067,320.9991978630447,639.8685204399651
379482.0,10562.0,379482.0,15106.0,379482.0,33475.0,318.0827302978662,323.717600029427,646.2592426457305
379482.0,10576.0,379482.0,15118.0,379482.0,33452.0,324.26558314024635,326.4588753129398,652.5549696088988
379482.0,10505.0,379482.0,15112.0,379482.0,33437.0,330.22478603971297,329.214584132834,658.7398618705059
379482.0,10411.0,379482.0,15161.0,379482.0,33495.0,335.9622643401582,331.9748637508219,664.7976283424133
379482.0,10279.0,379482.0,15216.0,379482.0,33572.0,341.48520930288447,334.7288579035282,670.7117523482669
379482.0,10266.0,379482.0,15249.0,379482.0,33558.0,346.80316450947544,337.465777890956,676.4665579555059
379493.0,10231.0,379493.0,15195.0,379493.0,33531.0,351.92521852609974,340.1760915522454,682.0483562018974
379493.0,10219.0,379493.0,15139.0,379493.0,33514.0,356.85816363907435,342.85189741209587,687.4457084208152
379493.0,10210.0,379493.0,15155.0,379493.0,33490.0,361.60547266629646,345.48620705206747,692.6489062640459
