c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
379848,8740,379848,32113,379848,43943,274.2725915617633,119.15185806099457,270.5569985228432
379848,8735,379848,32082,379848,43918,270.72309904607874,115.00945122461837,264.74815938855556
379858,8714,379858,32036,379858,43867,267.0471168503878,110.84168157660778,258.81901427292735
379858,8707,379858,31990,379858,43865,263.250367517188,106.66422479606648,252.78490551508744
379858,8705,379858,32046,379858,43883,259.33829609443956,102.49067208769915,246.65992386699014
379858,8714,379858,32115,379858,43913,255.3159749874714,98.33229166999911,240.4568798073408
379858,8714,379858,32073,379858,43924,251.18822502254415,94.1988789556971,234.18792344706878
379858,8706,379858,32057,379858,43849,246.95985339245277,90.09974390449264,227.86524596285878
379868,8683,379868,32013,379868,43840,242.6357897623559,86.04381526752485,221.50112754797135
379868,8669,379868,32020,379868,43822,238.2209746693564,82.03906379006413,215.1073294595773
379868,8689,379868,32053,379868,43857,233.7201275493715,78.09203535976197,208.69458866166687
379868,8696,379868,32069,379868,43870,229.1377382626577,74.20800382229046,202.2727489470057
379868,8669,379868,32052,379868,43845,224.478342674413,70.3915894477312,195.8513420058155
379868,8658,379868,31996,379868,43798,219.7466935876081,66.64713659365046,189.439960407866
379879,8645,379879,32011,379879,43793,214.94761034009196,62.978431501620605,183.04800529843337
379879,8644,379879,32011,379879,43771,210.08573154360943,59.3881870917546,176.68412015044956
379879,8646,379879,32050,379879,43805,205.16540960758698,55.877962462204465,170.35585465185895
379879,8654,379879,32082,379879,43796,200.19080558457904,52.44869509207135,164.06978308304252
379879,8642,379879,32033,379879,43781,195.16612348175468,49.10150570571281,157.83188873181274
379879,8623,379879,31983,379879,43778,190.095791645981,45.83804317354348,151.64781950293653
379889,8603,379889,31971,379889,43746,184.98439882957283,42.65993431046023,145.52287286326595
379889,8597,379889,32018,379889,43771,179.83641717153452,39.567975992982795,139.4618698105944
379889,8604,379889,32026,379889,43777,174.65595681614667,36.56201260052383,133.46918280004445
379889,8609,379889,32052,379889,43757,169.4467705859716,33.64155339598858,127.54903686823133
379889,8593,379889,31994,379889,43729,164.21247012358845,30.806443804560047,121.70575394311709
379889,8581,379889,31943,379889,43689,158.95669029351757,28.056890393372782,115.94355164601137
379899,8560,379899,31916,379899,43657,153.6830236366815,25.39263516189095,110.2659126368726
379899,8564,379899,31981,379899,43693,148.39480773046571,22.81194899450486,104.67489066487053
379899,8564,379899,32013,379899,43706,143.09498794671765,20.311478411551604,99.17090164452236
379899,8575,379899,32019,379899,43708,137.78620930112237,17.887095430428047,93.75316968358186
379899,8549,379899,31996,379899,43698,132.47105837048767,15.534868296073057,88.4203443747698
379899,8528,379899,31972,379899,43666,127.1521678203523,13.251396332840784,83.17079153393405
379910,8524,379910,31946,379910,43676,121.83202763012906,11.033500944060677,78.00250682898178
379910,8525,379910,31988,379910,43672,116.51272756246703,8.877736301480297,72.91295186015799
379910,8533,379910,32008,379910,43676,111.19592625887489,6.780312779681765,67.89909809958783
379910,8513,379910,31994,379910,43686,105.88302867890312,4.737578954044977,62.95767067480199
379910,8506,379910,31950,379910,43654,100.57532290859453,2.7464450467822417,58.085422097403864
379910,8488,379910,31942,379910,43626,95.27392653423186,0.8041812946030404,53.27918105000964
379920,8483,379920,31918,379920,43624,89.97961539166323,-1.0922103366225144,48.53553872210995
379920,8477,379920,31975,379920,43635,84.69267024366297,-2.9464661422275924,43.85049052211167
379920,8491,379920,31958,379920,43663,79.41285064045664,-4.762989790507163,39.21947849460571
379920,8496,379920,31963,379920,43630,74.13958297176521,-6.5464104278344735,34.63782242768161
379920,8476,379920,31955,379920,43590,68.87228581210294,-8.301265450042564,30.101005531366013
