c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
103550,14609,103550,24480,103550.0,58862.0,184.5439623739643,185.5381708132708,622.3591147760994
103550,14624,103550,24488,103550.0,58883.0,185.8943956898344,184.92334874754937,623.1072314118937
103550,14628,103550,24485,103550.0,58874.0,187.2564838165596,184.26393823132412,623.652557686768
103550,14633,103550,24495,103550.0,58861.0,188.6244073895135,183.5583443700097,623.9883085056379
103550,14634,103550,24469,103550.0,58895.0,189.9924908404355,182.80520617080992,624.1085172647348
103550,14633,103550,24509,103550.0,58868.0,191.35533186868795,182.003444905723,624.0081960126538
103560,14642,103560,24490,103560.0,58870.0,192.70787236711445,181.15237482530935,623.6835454429225
103560,14631,103560,24524,103560.0,58816.0,194.04545549738484,180.25198148809957,623.1319254844874
103560,14615,103560,24436,103560.0,58844.0,195.36380836615476,179.30312892572553,622.351499592083
103560,14586,103560,24443,103560.0,58838.0,196.65879260382158,178.30727268612662,621.3409130447361
103560,14617,103560,24436,103560.0,58833.0,197.925969533047,177.26574348927204,620.0993068465477
103560,14615,103560,24438,103560.0,58756.0,199.16034635794028,176.1792105937885,618.6263394311666
103571,14644,103571,24482,103571.0,58838.0,200.3565321997265,175.04765672669177,616.9218579996184
103571,14644,103571,24511,103571.0,58830.0,201.5091462887837,173.87085241198025,614.9857476920024
103571,14641,103571,24459,103571.0,58829.0,202.6132174227251,172.64910101168658,612.818424049763
103571,14636,103571,24451,103571.0,58822.0,203.66438867720083,171.38359474670438,610.4214264095334
103571,14654,103571,24480,103571.0,58825.0,204.6589457398197,170.07618335810534,607.7976690117671
103571,14669,103571,24483,103571.0,58806.0,205.5939199465839,168.7292393849301,604.9515379723358
103581,14637,103581,24469,103581.0,58798.0,206.46733089741412,167.34592153183183,601.8889271088908
103581,14627,103581,24421,103581.0,58821.0,207.2782409025108,165.93030583427375,598.6172347375086
103581,14611,103581,24424,103581.0,58763.0,208.02642907041914,164.48700405989965,595.1454305263851
103581,14616,103581,24408,103581.0,58747.0,208.71194208326577,163.0205545615923,591.4839796742535
103581,14613,103581,24382,103581.0,58716.0,209.33481106257625,161.5349497084374,587.6443731825768
103581,14619,103581,24426,103581.0,58749.0,209.89497500225127,160.03333820488058,583.6385897037696
103592,14636,103592,24467,103592.0,58758.0,210.39236219948154,158.5181166852338,579.4790269043932
103592,14628,103592,24438,103592.0,58779.0,210.82709932814885,156.9915865414692,575.1790092101555
103592,14622,103592,24425,103592.0,58709.0,211.1997145885834,155.45658699742842,570.7534101159096
103592,14628,103592,24431,103592.0,58712.0,211.511187195371,153.91656401513347,566.2187713867349
103592,14627,103592,24437,103592.0,58710.0,211.76292615654643,152.3754149212788,561.5929510430693
103592,14648,103592,24425,103592.0,58692.0,211.95685032690506,150.8375154083721,556.894876352467
103602,14626,103602,24428,103602.0,58656.0,212.09557778272426,149.30781747927364,552.1444801753191
103602,14609,103602,24397,103602.0,58660.0,212.18251398690512,147.79181986801075,547.3624881623638
103602,14602,103602,24392,103602.0,58617.0,212.2216443821397,146.29535208867583,542.5700784198561
103602,14596,103602,24358,103602.0,58615.0,212.21716891632408,144.82418205543433,537.7885526092723
103602,14564,103602,24374,103602.0,58594.0,212.17316860456313,143.38356041766406,533.0390177981353
103602,14605,103602,24381,103602.0,58582.0,212.0933141149624,141.97794022690772,528.3421309906175
103612,14615,103612,24397,103612.0,58585.0,211.9808165966692,140.61106604464237,523.7179522007224
103612,14604,103612,24391,103612.0,58560.0,211.83876431441817,139.28632711178014,519.1858993272684
103612,14594,103612,24382,103612.0,58585.0,211.67045440456033,138.0070628015689,514.7647920365555
103612,14619,103612,24401,103612.0,58555.0,211.4794464466423,136.776686675882,510.4729860438798
103612,14598,103612,24413,103612.0,58555.0,211.26958665758966,135.59882533292014,506.32853039678537
103612,14584,103612,24367,103612.0,58509.0,211.04506532689783,134.47755288072858,502.3491508608415
103623,14578,103623,24375,103623.0,58518.0,210.81027464075248,133.41739914542055,498.5519879909208
103623,14583,103623,24347,103623.0,58466.0,210.56953759048432,132.42301613003104,494.9532249031479
103623,14580,103623,24334,103623.0,58460.0,210.3269709081888,131.49875352089035,491.56766490624227
103623,14580,103623,24332,103623.0,58459.0,210.08650212796766,130.64825844773466,488.40829692223645
103623,14577,103623,24343,103623.0,58501.0,209.8519131451335,129.87418840526283,485.48615784755896
103623,14593,103623,24343,103623.0,58484.0,209.6268919312901,129.17818697556822,482.8107261822738
103633,14578,103633,24366,103633.0,58477.0,209.4151469211992,128.56109190924582,480.3905065782542
103633,14577,103633,24350,103633.0,58467.0,209.2205110959573,128.02324194312595,478.2333233451193
103633,14570,103633,24370,103633.0,58465.0,209.04691826511103,127.56475482815956,476.3463287015065
103633,14577,103633,24363,103633.0,58484.0,208.89831618159994,127.18573000576028,474.7360351412846
103633,14568,103633,24363,103633.0,58459.0,208.77863778487887,126.88641235110114,473.40851333839925
103633,14561,103633,24325,103633.0,58401.0,208.69179604102268,126.66721781494087,472.3694720543334
103643,14557,103643,24330,103643.0,58398.0,208.64160713759904,126.52847524793854,471.6238252246111
103643,14544,103643,24338,103643.0,58417.0,208.63164190692638,126.47006045924266,471.1750253140064
103643,14552,103643,24342,103643.0,58380.0,208.66506606675316,126.49127260425098,471.02476382858555
103643,14551,103643,24318,103643.0,58370.0,208.74455011250245,126.59092659828174,471.1729093567418
