c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
276231,22262,276231.0,59210.0,276231.0,87229.0,304.52007585776886,344.8311443751697,374.4705704146592
276231,22239,276231.0,59185.0,276231.0,87189.0,295.3226981785127,332.4524117776989,362.48105128150235
276242,22211,276242.0,59164.0,276242.0,87177.0,285.82646886579903,319.7085457020744,350.08622610241076
276242,22186,276242.0,59090.0,276242.0,87115.0,276.04801515465954,306.6254456974292,337.30398153689373
276242,22168,276242.0,59046.0,276242.0,87090.0,266.00345118979124,293.22831082471214,324.1513744823765
276242,22151,276242.0,58999.0,276242.0,87089.0,255.7079803958163,279.5405430514845,310.64395641348176
276242,22124,276242.0,58953.0,276242.0,87096.0,245.17559335142803,265.58258174757293,296.79542114144806
276242,22119,276242.0,59044.0,276242.0,87092.0,234.4188121080811,251.37113196692667,282.61779607547425
276252,22123,276252.0,59074.0,276252.0,87075.0,223.44853918886818,236.91943547198585,268.1218952409123
276252,22132,276252.0,59031.0,276252.0,87062.0,212.27418489994776,222.2385738328693,253.31766533914816
276252,22109,276252.0,59023.0,276252.0,87062.0,200.904044264668,207.3386294002854,238.21436984985536
276252,22124,276252.0,59039.0,276252.0,87070.0,189.3456763746944,192.2290824939413,222.82082535869114
276252,22132,276252.0,59104.0,276252.0,87069.0,177.60625350115876,176.91921954856429,207.14585777015526
276252,22129,276252.0,59021.0,276252.0,87024.0,165.69304970346693,161.4190719918792,191.19881621261925
276262,22067,276262.0,58962.0,276262.0,87000.0,153.61388453546894,145.74007200658605,174.9897638806454
276262,22045,276262.0,58947.0,276262.0,86962.0,141.3770622227226,129.89464571135903,158.52922813034002
276262,22036,276262.0,58920.0,276262.0,86956.0,128.9908465294995,113.89533633884508,141.82779079652727
276262,22014,276262.0,58826.0,276262.0,86924.0,116.46300530980835,97.75412888838827,124.89580373533522
276262,22011,276262.0,58893.0,276262.0,86924.0,103.80065518128225,81.48182205319739,107.74328389038033
276262,22006,276262.0,58871.0,276262.0,86899.0,91.01028869509202,65.08770607441716,90.37993897559852
276273,21988,276273.0,58881.0,276273.0,86885.0,78.09791496194362,48.57997722286319,72.81526273541397
276273,21980,276273.0,58849.0,276273.0,86882.0,65.06922245194625,31.96641707444553,55.05865089252433
276273,21978,276273.0,58899.0,276273.0,86894.0,51.929703056879646,15.254895131796843,37.11963865581231
276273,21988,276273.0,58896.0,276273.0,86895.0,38.684864718932715,-1.5459998922226532,19.00841530077531
276273,21966,276273.0,58866.0,276273.0,86858.0,25.340607318449372,-18.426089094379336,0.7364718186161667
276273,21934,276273.0,58816.0,276273.0,86819.0,11.903537002202597,-35.37305356575098,-17.683047735847367
276283,21905,276283.0,58741.0,276283.0,86761.0,-1.6190706367991083,-52.37268570107119,-36.23556477906982
276283,21877,276283.0,58710.0,276283.0,86733.0,-15.219634459808674,-69.40982060916605,-54.9057275497928
276283,21872,276283.0,58602.0,276283.0,86664.0,-28.8906837724262,-86.46958582994694,-73.67823242285891
276283,21827,276283.0,58595.0,276283.0,86680.0,-42.62515058387834,-103.53877758082507,-92.53859520867184
276283,21828,276283.0,58670.0,276283.0,86668.0,-56.416597063226504,-120.60688235395907,-111.4735815124431
276283,21828,276283.0,58639.0,276283.0,86629.0,-70.25936830228085,-137.66595705830758,-130.47115495998708
276293,21829,276293.0,58646.0,276293.0,86654.0,-84.1484682239788,-154.70963315786207,-149.52024727899902
276293,21820,276293.0,58649.0,276293.0,86654.0,-98.07916691931541,-171.73224074480623,-168.610441700382
276293,21789,276293.0,58680.0,276293.0,86646.0,-112.04663504471142,-188.72813979089335,-187.73137172406558
276293,21807,276293.0,58687.0,276293.0,86615.0,-126.04577138572739,-205.69082975004386,-206.8720703500689
276293,21776,276293.0,58631.0,276293.0,86572.0,-140.07107804272215,-222.61199758534332,-226.02069915040687
276293,21737,276293.0,58538.0,276293.0,86531.0,-154.1165510295108,-239.4812248881645,-245.16476480154392
276304,21709,276304.0,58465.0,276304.0,86492.0,-168.17585562048703,-256.2868582692447,-264.29166358887596
276304,21699,276304.0,58449.0,276304.0,86464.0,-182.2427704511976,-273.017612299628,-283.38930739127784
276304,21674,276304.0,58398.0,276304.0,86451.0,-196.31154642537064,-289.6639683817732,-302.44661501118935
276304,21659,276304.0,58420.0,276304.0,86397.0,-210.3770753944463,-306.21893277734785,-321.45381257469364
276304,21673,276304.0,58471.0,276304.0,86457.0,-224.43493355472873,-322.6780711191974,-340.4025615720893
276304,21656,276304.0,58434.0,276304.0,86410.0,-238.481216757962,-339.0387710680708,-359.285736772473
276314,21624,276314.0,58416.0,276314.0,86371.0,-252.51225490366267,-355.2993100287148,-378.0969736875654
276314,21622,276314.0,58392.0,276314.0,86371.0,-266.524509102647,-371.4584707274621,-396.8305342509108
276314,21635,276314.0,58488.0,276314.0,86392.0,-280.5145707872716,-387.51538901902643,-415.48135533656375
276314,21601,276314.0,58427.0,276314.0,86378.0,-294.4789552830034,-403.46884877113064,-434.04467926606094
276314,21579,276314.0,58361.0,276314.0,86301.0,-308.4138579254968,-419.31641444444324,-452.5155113460788
276314,21556,276314.0,58323.0,276314.0,86270.0,-322.31520473020544,-435.05449827180973,-470.8886736102763
276325,21516,276325.0,58220.0,276325.0,86225.0,-336.17895119479624,-450.6794248527956,-489.15952373659604
276325,21514,276325.0,58207.0,276325.0,86224.0,-350.0014533021397,-466.1888618704636,-507.32472409364755
276325,21482,276325.0,58236.0,276325.0,86196.0,-363.77978335848843,-481.5830139659223,-525.3826381040541
276325,21495,276325.0,58276.0,276325.0,86206.0,-377.5118774552832,-496.8648351073972,-543.3333580778976
276325,21464,276325.0,58250.0,276325.0,86188.0,-391.1965004839943,-512.039182546362,-561.1784859943243
276325,21471,276325.0,58214.0,276325.0,86181.0,-404.8331117460556,-527.1118735410622,-578.9207906820823
276335,21465,276335.0,58217.0,276335.0,86170.0,-418.4216817956237,-542.0893752656381,-596.5638749205453
276335,21458,276335.0,58305.0,276335.0,86170.0,-431.96242208802335,-556.9786440596337,-614.111872617712
276335,21454,276335.0,58314.0,276335.0,86188.0,-445.4554577976593,-571.7861808870421,-631.5690403691124
276335,21432,276335.0,58235.0,276335.0,86132.0,-458.90055511029755,-586.5165800454974,-648.9392331554222
276335,21396,276335.0,58167.0,276335.0,86110.0,-472.2970223914051,-601.1719632495862,-666.2256141540488
276335,21375,276335.0,58117.0,276335.0,86066.0,-485.64389249874193,-615.752827138446,-683.4308677001525
276345,21373,276345.0,58076.0,276345.0,86028.0,-498.9402567443875,-630.2594683387191,-700.5577311384751
276345,21336,276345.0,58031.0,276345.0,86001.0,-512.1854854296934,-644.6932170397455,-717.6096006052866
276345,21321,276345.0,58039.0,276345.0,86003.0,-525.3793653372885,-659.057321205293,-734.5910285126113
276345,21313,276345.0,58038.0,276345.0,86006.0,-538.5222877653976,-673.3573619692967,-751.507849538697
276345,21316,276345.0,58097.0,276345.0,85994.0,-551.6153373568891,-687.600993688597,-768.3668783148886
276345,21309,276345.0,58044.0,276345.0,85976.0,-564.6601218390821,-701.7971157357115,-785.1754740889788
276356,21284,276356.0,58078.0,276356.0,85972.0,-577.65848632744,-715.9550141049103,-801.9412433312618
276356,21315,276356.0,58158.0,276356.0,86000.0,-590.6122801156536,-730.0836000536624,-818.6717586307429
276356,21279,276356.0,58036.0,276356.0,85989.0,-603.5230848320374,-744.1904156302963,-835.374008300719
276356,21244,276356.0,58119.0,276356.0,85955.0,-616.3919706915283,-758.2808247247372,-852.0537201440509
