c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
380124,1422,380124,13051,380124.0,33769.0,130.81439782405886,116.41284556706194,218.50599777274797
380124,1376,380124,12909,380124.0,33673.0,125.4052661789614,107.40312098027063,209.29694586377252
380134,1358,380134,12817,380134.0,33572.0,119.92034987051241,98.40123873116666,200.00233533932578
380134,1327,380134,12818,380134.0,33570.0,114.37599977619237,89.44688203888856,190.65695642823556
380134,1357,380134,12893,380134.0,33643.0,108.78690769477755,80.57386058729998,181.29119235527253
380134,1377,380134,12962,380134.0,33687.0,103.165980614115,71.8101598000953,171.93102138620662
380134,1355,380134,12995,380134.0,33664.0,97.52474261404514,63.17961871114932,162.5993512873713
380134,1340,380134,12862,380134.0,33600.0,91.87375805311363,54.70369141015547,153.31718374768425
380145,1321,380145,12825,380145.0,33539.0,86.22263651434965,46.4017188445664,144.10355567524
380145,1317,380145,12854,380145.0,33579.0,80.57976082607611,38.28978717850944,134.9746088124388
380145,1357,380145,12976,380145.0,33671.0,74.95214866166575,30.38005212019243,125.94314901908123
380145,1357,380145,13012,380145.0,33709.0,69.34575302712238,22.681878516957994,117.01968227370571
380145,1338,380145,12963,380145.0,33625.0,63.76604760182404,15.203963062824357,108.21421866407829
380145,1306,380145,12818,380145.0,33544.0,58.21833211585138,7.95541000548377,99.53706111336871
380155,1281,380155,12783,380155.0,33493.0,52.707480333234145,0.94470520326891,90.99786211263245
380155,1285,380155,12837,380155.0,33528.0,47.237409743525376,-5.8222744258938235,82.60403284490448
380155,1301,380155,12912,380155.0,33589.0,41.8107504053192,-12.343109631947186,74.36003837947499
380155,1331,380155,12938,380155.0,33600.0,36.42902042200163,-18.617847736556428,66.26809070348688
380155,1308,380155,12886,380155.0,33561.0,31.09320070431602,-24.647375912230814,58.329403643887275
380155,1274,380155,12796,380155.0,33492.0,25.80418279728633,-30.432755564452037,50.54475489043938
380165,1252,380165,12768,380165.0,33513.0,20.562644516620168,-35.97604801016686,42.914023182319056
380165,1275,380165,12907,380165.0,33566.0,15.368577997664403,-41.281500155775376,35.435643685121704
380165,1326,380165,12965,380165.0,33601.0,10.221186532433961,-46.35526268561267,28.107029847523165
380165,1321,380165,12958,380165.0,33604.0,5.119514462094571,-51.20345040091908,20.925836310632917
380165,1282,380165,12830,380165.0,33520.0,0.06328195278950943,-55.830487297670004,13.891004534762317
380165,1238,380165,12778,380165.0,33427.0,-4.946929331697447,-60.23939160246118,7.0026117288422824
380176,1213,380176,12722,380176.0,33415.0,-9.910303575501587,-64.43362016332907,0.2604543117670346
380176,1256,380176,12806,380176.0,33492.0,-14.826577528113887,-68.41885715370685,-6.337415806058232
380176,1266,380176,12894,380176.0,33522.0,-19.696223672370934,-72.20334654694963,-12.794799665784126
380176,1278,380176,12906,380176.0,33510.0,-24.51992866453739,-75.79653139972021,-19.116211620692923
380176,1232,380176,12799,380176.0,33436.0,-29.297986293981126,-79.20738188966666,-25.305895961413512
380176,1195,380176,12746,380176.0,33388.0,-34.03024848883146,-82.44419066492631,-31.3680074810963
380186,1191,380186,12790,380186.0,33431.0,-38.7166930474381,-85.51579272151167,-37.307589551497756
380186,1248,380186,12901,380186.0,33518.0,-43.35795848361224,-88.43233152465746,-43.13100177475445
380186,1257,380186,12918,380186.0,33531.0,-47.955127564177815,-91.20430423836146,-48.84495518150851
380186,1230,380186,12857,380186.0,33484.0,-52.508947727203406,-93.84082272572164,-54.4549480782062
380186,1179,380186,12769,380186.0,33370.0,-57.019415215730504,-96.34896800601615,-59.964684889227954
