c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
178.0,1894.0,178.0,13074.0,178.0,28037.0,164.80979928419973,56.11668502429446,86.87973625453715
178.0,1901.0,178.0,13083.0,178.0,28027.0,161.08553792559005,53.85874076182511,83.88661248709752
178.0,1890.0,178.0,13097.0,178.0,28063.0,157.24488969935572,51.573348893938146,80.81166061641872
178.0,1892.0,178.0,13039.0,178.0,28014.0,153.2942771708191,49.26506271585492,77.65937267779479
178.0,1861.0,178.0,13076.0,178.0,28021.0,149.24053880308793,46.9385233567369,74.43453734470432
178.0,1859.0,178.0,13061.0,178.0,28009.0,145.09077799298672,44.59824273408261,71.14206600175564
188.0,1851.0,188.0,13057.0,188.0,28008.0,140.85210612927716,42.24856923568925,67.78677460124666
188.0,1829.0,188.0,13024.0,188.0,27987.0,136.53142312891427,39.893676110689,64.37326685353547
188.0,1829.0,188.0,13014.0,188.0,27992.0,132.1352271284617,37.537266849341485,60.90580324542611
188.0,1834.0,188.0,13022.0,188.0,27986.0,127.6694551326808,35.18213503262627,57.38816788102943
188.0,1830.0,188.0,13066.0,188.0,28025.0,123.13948999921905,32.83000958717052,53.82371514179849
188.0,1824.0,188.0,13043.0,188.0,27967.0,118.5503032101287,30.481901893361808,50.215622349850975
199.0,1819.0,199.0,13057.0,199.0,27997.0,113.90656123745285,28.138614702411644,46.56704678929478
199.0,1818.0,199.0,13040.0,199.0,27993.0,109.21266295954422,25.801002009179413,42.881091865250994
199.0,1840.0,199.0,13064.0,199.0,28009.0,104.47283546833464,23.470040561152594,39.16091418549705
199.0,1811.0,199.0,13037.0,199.0,27989.0,99.6913670466058,21.146917368394888,35.410024077958155
199.0,1800.0,199.0,13030.0,199.0,27971.0,94.87277885028898,18.833066398668834,31.632445525171917
199.0,1790.0,199.0,12992.0,199.0,27942.0,90.02172064021286,16.52995407168084,27.832526957185877
209.0,1772.0,209.0,13020.0,209.0,27931.0,85.14271183937815,14.238660054149321,24.014473604520305
209.0,1768.0,209.0,13021.0,209.0,27955.0,80.23990180646085,11.959619604850133,20.18190685634964
209.0,1764.0,209.0,13018.0,209.0,27944.0,75.3168916794422,9.692729808702666,16.337770239129654
209.0,1772.0,209.0,13032.0,209.0,27951.0,70.37668848608277,7.437601123647568,12.484537377796286
209.0,1764.0,209.0,13019.0,209.0,27968.0,65.42182175950268,5.193757939912217,8.624481019210165
209.0,1764.0,209.0,13019.0,209.0,27938.0,60.45452137301683,2.9607658997664714,4.759934226758702
220.0,1754.0,220.0,13005.0,220.0,27914.0,55.47684318062116,0.7382374218286003,0.893379747528428
220.0,1764.0,220.0,13051.0,220.0,27951.0,50.49074643486048,-1.474181347776991,-2.9727418057695445
220.0,1754.0,220.0,13039.0,220.0,27951.0,45.498203860949786,-3.6765750162368107,-6.8360922007210405
220.0,1749.0,220.0,13010.0,220.0,27903.0,40.50133824937399,-5.868386153386226,-10.694198394137217
