c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
69718,11512,69718,9480,69718.0,34266.0,493.88174065772074,179.82507458490477,388.2192413460309
69718,11450,69718,9507,69718.0,34289.0,488.18459819583654,178.99433494105125,386.8448412175383
69729,11350,69729,9551,69729.0,34324.0,482.3030652524347,178.16236494137257,385.4571269898547
69729,11274,69729,9482,69729.0,34274.0,476.2838649943826,177.33555548735433,384.06519018560755
69729,11278,69729,9476,69729.0,34260.0,470.1709921442672,176.52166578662204,382.67954743642997
69729,11255,69729,9448,69729.0,34258.0,464.00414575925316,175.72935670548318,381.3118757612431
69729,11222,69729,9425,69729.0,34219.0,457.81801529774316,174.96744045928764,379.9745434322707
69729,11260,69729,9435,69729.0,34236.0,451.64199979105035,174.2442511122904,378.6802193751571
69739,11285,69739,9436,69739.0,34202.0,445.50029828791514,173.56727322288432,377.44155261264274
69739,11461,69739,9447,69739.0,34196.0,439.41292713449786,172.9431133651537,376.27089908444606
69739,11472,69739,9393,69739.0,34175.0,433.3980214829053,172.37758762931406,375.1800023462155
69739,11448,69739,9426,69739.0,34209.0,427.47460074058336,171.87557276052354,374.17970262809433
69739,11384,69739,9454,69739.0,34189.0,421.6641601502216,171.4408231197076,373.2799207674307
69739,11314,69739,9475,69739.0,34234.0,415.9904686028503,171.07628149721015,372.4899369003167
69749,11197,69749,9451,69749.0,34233.0,410.47811636507964,170.78475211114034,371.8188583519492
69749,11205,69749,9470,69749.0,34189.0,405.1504636043717,170.56934476206484,371.276088211592
69749,11183,69749,9431,69749.0,34177.0,400.02783485472844,170.43353422005214,370.8713652628584
69749,11168,69749,9424,69749.0,34179.0,395.1266042544551,170.3809561638036,370.61432436996375
69749,11166,69749,9426,69749.0,34170.0,390.4589098524209,170.41503062845794,370.5140910304152
69749,11182,69749,9440,69749.0,34144.0,386.03259778510085,170.5386860495216,370.5790898967741
69760,11292,69760,9407,69760.0,34121.0,381.8516488925581,170.75433354986703,370.8167613938801
69760,11407,69760,9394,69760.0,34146.0,377.9177067630675,171.06378174789705,371.23312747435625
69760,11397,69760,9411,69760.0,34139.0,374.2326989552356,171.467915947122,371.8325523297479
69760,11348,69760,9425,69760.0,34147.0,370.80121767884555,171.9664978246804,372.6178415474018
69760,11280,69760,9438,69760.0,34140.0,367.6312513333139,172.5583668872615,373.5904326763899
69760,11186,69760,9489,69760.0,34208.0,364.7332262664291,173.24195465501177,374.75063056163924
69770,11116,69770,9471,69770.0,34152.0,362.11807894593403,174.0159881558964,376.0980675034066
69770,11106,69770,9433,69770.0,34172.0,359.7950867679601,174.88003873940315,377.6321271652778
69770,11099,69770,9415,69770.0,34161.0,357.77022416416725,175.83441436262012,379.3519861805094
69770,11084,69770,9412,69770.0,34175.0,356.04538776055523,176.8795167855339,381.25652036580544
69770,11101,69770,9417,69770.0,34135.0,354.6181828013677,178.01527483345893,383.3442860338895
69770,11137,69770,9397,69770.0,34125.0,353.4820461462768,179.24089251880923,385.6133255004328
69781,11317,69781,9412,69781.0,34124.0,352.6271349386626,180.5547217994986,388.06071183753426
69781,11336,69781,9395,69781.0,34141.0,352.04251944538686,181.95414262606496,390.68217494857726
69781,11308,69781,9423,69781.0,34144.0,351.7189356255957,183.43551104293593,393.4720822629115
69781,11261,69781,9434,69781.0,34144.0,351.65035937389865,184.99427863740266,396.4236466938404
69781,11196,69781,9462,69781.0,34168.0,351.8337996459245,186.6253643994752,399.52914752400756
69781,11098,69781,9466,69781.0,34191.0,352.2679339624014,188.3237062795967,402.7802251436839
69791,11081,69791,9449,69791.0,34171.0,352.95116518690577,190.08473356473684,406.16831464323957
69791,11069,69791,9432,69791.0,34197.0,353.87975128111924,191.9044789333482,409.6849959142192
69791,11074,69791,9429,69791.0,34157.0,355.046682009806,193.77930200252422,413.32209660841073
69791,11056,69791,9408,69791.0,34146.0,356.4412885659644,195.7054693673227,417.07152393926606
69791,11088,69791,9407,69791.0,34134.0,358.04917148732943,197.6787551758561,420.9248094012849
69791,11214,69791,9395,69791.0,34124.0,359.8525848196374,199.69407450867672,424.87255690254307
69801,11329,69801,9412,69801.0,34144.0,361.83200754058333,201.74521041524298,428.90405362533625
69801,11323,69801,9433,69801.0,34138.0,363.96887445875245,203.824774410979,433.00714308476654
69801,11287,69801,9441,69801.0,34168.0,366.24798986894194,205.92447551282768,437.16833644729365
69801,11225,69801,9458,69801.0,34177.0,368.65827268905247,208.0355624589318,441.37310178784475
69801,11146,69801,9492,69801.0,34257.0,371.1918861717242,210.1493058082647,445.6064126632691
69801,11078,69801,9478,69801.0,34181.0,373.8424446670462,212.2575323368169,449.8535382482325
69812,11067,69812,9452,69812.0,34200.0,376.6029432772874,214.35299951441897,454.10052708120196
69812,11077,69812,9478,69812.0,34182.0,379.464131079254,216.4293512856154,458.334022644489
69812,11061,69812,9437,69812.0,34195.0,382.4137450470603,218.48085978268296,462.5408766823984
69812,11102,69812,9453,69812.0,34193.0,385.4363844004483,220.50217781071348,466.707987695213
69812,11131,69812,9423,69812.0,34173.0,388.5137890012709,222.48804360567004,470.82225170752514
69812,11293,69812,9432,69812.0,34163.0,391.62581167867006,224.4329481606431,474.87038288895326
69822,11313,69822,9432,69822.0,34177.0,394.7524412269837,226.33086850378155,478.8385882625195
69822,11320,69822,9459,69822.0,34204.0,397.87628172399286,228.17520067377808,482.71241060736526
69822,11281,69822,9456,69822.0,34203.0,400.9841612246817,229.95896544116243,486.47695856271076
69822,11201,69822,9485,69822.0,34231.0,404.06724706381,231.67517163352647,490.1173442849169
69822,11091,69822,9471,69822.0,34236.0,407.11981794268956,233.31718955329669,493.6191267600773
69822,11077,69822,9503,69822.0,34240.0,410.13709177223905,234.87907197223598,496.96872279393153
69832,11069,69832,9456,69832.0,34226.0,413.11305455879824,236.35576624727946,500.1536768574672
69832,11071,69832,9470,69832.0,34236.0,416.03919916212635,237.74308822847854,503.1626991542716
69832,11066,69832,9439,69832.0,34211.0,418.90412152104324,239.03742776631387,505.98555932889826
69832,11088,69832,9460,69832.0,34216.0,421.6934808416322,240.2353923750192,508.61290701048955
69832,11215,69832,9394,69832.0,34182.0,424.3904010152642,241.33348631103684,511.03599523849914
69832,11310,69832,9454,69832.0,34164.0,426.97695118729064,242.32773411370596,513.2462564824698
69843,11306,69843,9452,69843.0,34216.0,429.43664933179963,243.21347538087832,515.2348549891014
69843,11279,69843,9455,69843.0,34200.0,431.75663753510867,243.98560208640473,516.9926144078652
69843,11222,69843,9448,69843.0,34224.0,433.9283658535767,244.63891074528428,518.5103837144651
69843,11162,69843,9513,69843.0,34241.0,435.94688633264104,245.16833685889918,519.779493643515
69843,11078,69843,9485,69843.0,34234.0,437.8093281560234,245.56938143024743,520.7921926126713
69843,11066,69843,9465,69843.0,34227.0,439.5130033686619,245.83860828270673,521.5419976505739
69853,11059,69853,9461,69853.0,34201.0,441.05373421463577,245.97367603709614,522.0237480819205
69853,11047,69853,9455,69853.0,34211.0,442.42488991309574,245.97298985198006,522.2333783655373
69853,11054,69853,9449,69853.0,34205.0,443.6170217157386,245.8354121507962,522.16767940564
69853,11111,69853,9406,69853.0,34154.0,444.61788397385646,245.56002429588742,521.8241314405782
69853,11274,69853,9408,69853.0,34174.0,445.41328066051767,245.14570045167744,521.2005839816487
69853,11290,69853,9427,69853.0,34163.0,445.9892294868398,244.59063128400382,520.2948537151055
69863,11290,69863,9431,69863.0,34181.0,446.3346406230701,243.8922063263374,519.1046047070906
69863,11228,69863,9480,69863.0,34165.0,446.44292182290593,243.04736637557107,517.6275109810011
69863,11166,69863,9471,69863.0,34177.0,446.3119193590675,242.05325397990683,515.861454645201
69863,11047,69863,9486,69863.0,34201.0,445.94257138948416,240.90790711925465,513.8047434503634
69863,11039,69863,9431,69863.0,34189.0,445.33679798097273,239.61063998606602,511.4564854502932
69863,11032,69863,9443,69863.0,34177.0,444.495481793077,238.1619105758587,508.81698522328236
69874,11003,69874,9440,69874.0,34150.0,443.41730637231115,236.56293212049508,505.88783585717414
69874,11004,69874,9417,69874.0,34143.0,442.0982800282524,234.81542297627647,502.6716722804069
69874,11033,69874,9408,69874.0,34141.0,440.5315325024801,232.9214463611422,499.1718509932931
69874,11146,69874,9410,69874.0,34098.0,438.7077043040149,230.88316180043523,495.3922180122578
69874,11243,69874,9366,69874.0,34071.0,436.61652996336625,228.70255499907023,491.3367787380899
69874,11235,69874,9410,69874.0,34105.0,434.2493948948977,226.38118452327862,487.0092129617966
69884,11210,69884,9408,69884.0,34106.0,431.60155884220404,223.92011117375927,482.4126983109484
