c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
69534.0,2442.0,69534.0,72303.0,69534.0,89815.0,-306.15493419211776,-170.03091449843018,-189.1955079976904
69534.0,2439.0,69534.0,72261.0,69534.0,89802.0,-308.2035360944535,-167.35418195495095,-188.77960682746715
69545.0,2460.0,69545.0,72312.0,69545.0,89854.0,-310.21077608825624,-164.66259227853755,-188.30037635582795
69545.0,2468.0,69545.0,72392.0,69545.0,89870.0,-312.1690286462289,-161.96146050648952,-187.75628243268167
69545.0,2449.0,69545.0,72379.0,69545.0,89861.0,-314.0696699118444,-159.25516529506473,-187.14472500159687
69545.0,2449.0,69545.0,72296.0,69545.0,89807.0,-315.9029606862173,-156.5462471254011,-186.4616848785113
69545.0,2411.0,69545.0,72275.0,69545.0,89785.0,-317.6582389812398,-153.83565420789554,-185.70213572656638
69545.0,2418.0,69545.0,72286.0,69545.0,89788.0,-319.324345549089,-151.1239660066186,-184.8609704098054
69555.0,2440.0,69555.0,72345.0,69555.0,89836.0,-320.8900196435955,-148.41226273583288,-183.93366274739816
69555.0,2446.0,69555.0,72399.0,69555.0,89843.0,-322.3439314559299,-145.70186774003062,-182.9161791325739
69555.0,2434.0,69555.0,72402.0,69555.0,89863.0,-323.6744143220499,-142.99326628124982,-181.80438503211641
69555.0,2419.0,69555.0,72281.0,69555.0,89815.0,-324.8693341915459,-140.2852955309634,-180.59356980567264
69555.0,2396.0,69555.0,72282.0,69555.0,89781.0,-325.9163213673562,-137.5756540412567,-179.27857972186268
69555.0,2420.0,69555.0,72343.0,69555.0,89806.0,-326.8031908655074,-134.8622308691654,-177.85452491787265
69565.0,2417.0,69565.0,72395.0,69565.0,89847.0,-327.5181996627227,-132.14359294553765,-176.31733394685307
69565.0,2435.0,69565.0,72411.0,69565.0,89876.0,-328.04998539558846,-129.41815315430162,-174.66351454811152
69565.0,2418.0,69565.0,72414.0,69565.0,89828.0,-328.3873750953702,-126.68303305613895,-172.88947087526242
69565.0,2400.0,69565.0,72255.0,69565.0,89799.0,-328.5193537175005,-123.93374752809555,-170.99130618494775
69565.0,2390.0,69565.0,72261.0,69565.0,89801.0,-328.43534055677685,-121.16533471745798,-168.965412636857
69565.0,2400.0,69565.0,72333.0,69565.0,89834.0,-328.12562009742214,-118.3741624280818,-166.80916835625038
69576.0,2430.0,69576.0,72359.0,69576.0,89880.0,-327.5815593180111,-115.55862818751844,-164.52098702197733
69576.0,2436.0,69576.0,72457.0,69576.0,89880.0,-326.79541343777214,-112.7182775294539,-162.09969375487512
69576.0,2421.0,69576.0,72404.0,69576.0,89849.0,-325.75995513488766,-109.8523362188772,-159.54386888109516
69576.0,2412.0,69576.0,72306.0,69576.0,89817.0,-324.46835854070014,-106.9589212721614,-156.8518395820466
69576.0,2411.0,69576.0,72296.0,69576.0,89814.0,-322.91443538180204,-104.03578278770128,-154.0223478076926
69576.0,2414.0,69576.0,72361.0,69576.0,89857.0,-321.0929523092565,-101.0818056041896,-151.0552509581717
69586.0,2443.0,69586.0,72413.0,69586.0,89874.0,-318.9997685507485,-98.09753247298649,-147.95162598990908
69586.0,2440.0,69586.0,72448.0,69586.0,89875.0,-316.6317110793203,-95.08429593568123,-144.71332956438084
69586.0,2437.0,69586.0,72389.0,69586.0,89879.0,-313.9863533767008,-92.04305170202423,-141.34257072946014
69586.0,2435.0,69586.0,72324.0,69586.0,89844.0,-311.06197109574083,-88.97414593805865,-137.84185427375002
69586.0,2434.0,69586.0,72339.0,69586.0,89871.0,-307.85770303129743,-85.87827547084467,-134.21426432725497
69586.0,2451.0,69586.0,72430.0,69586.0,89899.0,-304.3737292465765,-82.75751570214425,-130.46372992568146
69596.0,2474.0,69596.0,72485.0,69596.0,89912.0,-300.6112801974257,-79.61507447620866,-126.59487376356411
69596.0,2470.0,69596.0,72470.0,69596.0,89912.0,-296.5724323252814,-76.45392159095374,-122.61257757488158
69596.0,2466.0,69596.0,72358.0,69596.0,89890.0,-292.25991066403884,-73.2758420029781,-118.52174968568
69596.0,2466.0,69596.0,72353.0,69596.0,89871.0,-287.6771351682411,-70.08204591847831,-114.3275455229053
69596.0,2472.0,69596.0,72423.0,69596.0,89899.0,-282.8284378183819,-66.8745788360346,-110.03587497168681
69596.0,2495.0,69596.0,72484.0,69596.0,89977.0,-277.7192115901797,-63.65677085654548,-105.6535994126931
69607.0,2513.0,69607.0,72551.0,69607.0,89970.0,-272.3558353180809,-60.432166643426,-101.1879487440271
69607.0,2503.0,69607.0,72472.0,69607.0,89959.0,-266.7454410598498,-57.20298826728177,-96.64564386308246
69607.0,2515.0,69607.0,72393.0,69607.0,89911.0,-260.8957827915549,-53.96962838440925,-92.03266136139851
69607.0,2508.0,69607.0,72390.0,69607.0,89914.0,-254.81531952955288,-50.731732226640844,-87.35483246983912
69607.0,2535.0,69607.0,72435.0,69607.0,89957.0,-248.51336084733947,-47.489737120865016,-82.61860417957018
69607.0,2553.0,69607.0,72513.0,69607.0,89978.0,-242.00007213867997,-44.24532948536938,-77.83121154270896
69617.0,2566.0,69617.0,72533.0,69617.0,90007.0,-235.28626647017262,-41.0005541756089,-73.00019011071836
69617.0,2568.0,69617.0,72497.0,69617.0,89972.0,-228.38313852060048,-37.75656370488076,-68.13279491896168
69617.0,2568.0,69617.0,72402.0,69617.0,89991.0,-221.30216286657398,-34.51328020243719,-63.23582968464973
69617.0,2587.0,69617.0,72393.0,69617.0,89957.0,-214.0551683938241,-31.270443622614522,-58.31590419724566
69617.0,2601.0,69617.0,72475.0,69617.0,90002.0,-206.65439823121224,-28.02906671715408,-53.379808025994635
69617.0,2631.0,69617.0,72570.0,69617.0,90040.0,-199.11239090144366,-24.79167374418438,-48.434595582076014
69627.0,2639.0,69627.0,72570.0,69627.0,90032.0,-191.44169241041627,-21.56094444357157,-43.48718196655014
69627.0,2639.0,69627.0,72450.0,69627.0,89993.0,-183.65457493395456,-18.33830123264076,-38.54392697483283
69627.0,2623.0,69627.0,72427.0,69627.0,89996.0,-175.76300454256244,-15.124135420129022,-33.610840458341244
69627.0,2630.0,69627.0,72435.0,69627.0,90014.0,-167.7789385133503,-11.919385021938183,-28.694180154415307
69627.0,2678.0,69627.0,72536.0,69627.0,90064.0,-159.71466042147637,-8.726658995919621,-23.800697056132037
69627.0,2706.0,69627.0,72570.0,69627.0,90056.0,-151.58269323572023,-5.5498251648185715,-18.93727919850332
69638.0,2710.0,69638.0,72584.0,69638.0,90065.0,-143.39527383008655,-2.3926041008589607,-14.11043481443042
69638.0,2695.0,69638.0,72519.0,69638.0,90060.0,-135.16392681739774,0.7425177483092398,-9.326080096135115
69638.0,2701.0,69638.0,72460.0,69638.0,90034.0,-126.89952181700946,3.854151200645447,-4.589679922395277
69638.0,2717.0,69638.0,72485.0,69638.0,90054.0,-118.61260736266428,6.940830012388545,0.09338613683883068
69638.0,2753.0,69638.0,72606.0,69638.0,90118.0,-110.31357182881789,10.000104436371402,4.717586870752484
69638.0,2766.0,69638.0,72589.0,69638.0,90132.0,-102.01243675357966,13.029042073830965,9.277619424541058
69648.0,2766.0,69648.0,72612.0,69648.0,90110.0,-93.71849673560212,16.025551241976302,13.769177738840995
69648.0,2766.0,69648.0,72502.0,69648.0,90081.0,-85.44016175586182,18.989031415308062,18.189259636688234
69648.0,2757.0,69648.0,72474.0,69648.0,90055.0,-77.18512102222144,21.919676905643485,22.535672711692314
69648.0,2774.0,69648.0,72510.0,69648.0,90117.0,-68.96067830557166,24.817004497014977,26.806267310323506
69648.0,2807.0,69648.0,72596.0,69648.0,90157.0,-60.773979239880646,27.679001409667762,30.9987466487122
69648.0,2826.0,69648.0,72641.0,69648.0,90152.0,-52.63189357050288,30.502767863171186,35.111288887135146
69658.0,2821.0,69658.0,72603.0,69658.0,90140.0,-44.54067151754839,33.28595206960546,39.14324459991249
69658.0,2810.0,69658.0,72531.0,69658.0,90097.0,-36.50579294182239,36.02748221217038,43.09517103811601
69658.0,2820.0,69658.0,72518.0,69658.0,90086.0,-28.532193268177252,38.726905391207595,46.9681890406535
69658.0,2848.0,69658.0,72600.0,69658.0,90128.0,-20.624576593396284,41.383230085294144,50.76318470303491
69658.0,2866.0,69658.0,72611.0,69658.0,90170.0,-12.787443450101648,43.994668516922275,54.48056610142075
69658.0,2887.0,69658.0,72671.0,69658.0,90156.0,-5.024814858376487,46.55946716451126,58.12074908705844
69669.0,2875.0,69669.0,72571.0,69669.0,90148.0,2.6600702310231554,49.076837899387925,61.684698238080784
69669.0,2879.0,69669.0,72526.0,69669.0,90118.0,10.264817100565551,51.54691925100872,65.17390167077104
69669.0,2876.0,69669.0,72524.0,69669.0,90147.0,17.78765869265527,53.9695816474962,68.58990919757204
69669.0,2898.0,69669.0,72607.0,69669.0,90191.0,25.227168823886984,56.34322611064775,71.93404899860309
69669.0,2919.0,69669.0,72684.0,69669.0,90188.0,32.58215619012174,58.6649039794097,75.20772345510179
69669.0,2931.0,69669.0,72688.0,69669.0,90197.0,39.85181408952127,60.93173342867033,78.41296637726882
69679.0,2918.0,69679.0,72594.0,69679.0,90158.0,47.03592555528144,63.14223066734891,81.5526726751954
69679.0,2912.0,69679.0,72533.0,69679.0,90137.0,54.13481632017948,65.2961534623631,84.63027375030879
69679.0,2922.0,69679.0,72578.0,69679.0,90144.0,61.149021219976134,67.39303512596632,87.64903660553523
69679.0,2959.0,69679.0,72686.0,69679.0,90191.0,68.07900199119024,69.43116557381074,90.61152690462046
69679.0,2972.0,69679.0,72715.0,69679.0,90241.0,74.92523822152754,71.40828025313357,93.51979240315771
69679.0,2982.0,69679.0,72712.0,69679.0,90226.0,81.68859227729479,73.3232365485315,96.37618976576067
69689.0,2959.0,69689.0,72594.0,69689.0,90146.0,88.37054547159283,75.17696565912664,99.18397235624053
69689.0,2962.0,69689.0,72542.0,69689.0,90164.0,94.97304640972072,76.97172859254772,101.94686788517885
69689.0,2975.0,69689.0,72638.0,69689.0,90182.0,101.49811919882302,78.70939264944124,104.66814162507498
69689.0,3006.0,69689.0,72752.0,69689.0,90215.0,107.94763418416608,80.39075003383226,107.35022372234079
69689.0,3036.0,69689.0,72738.0,69689.0,90249.0,114.3234900679198,82.01682361059969,109.99512311528713
69689.0,3017.0,69689.0,72669.0,69689.0,90206.0,120.6280434291296,83.59057722825801,112.6050755026182
69700.0,2994.0,69700.0,72605.0,69700.0,90198.0,126.86428977132908,85.11708374467136,115.18277365602697
69700.0,3010.0,69700.0,72596.0,69700.0,90181.0,133.03552686816806,86.60217898992039,117.73096751252021
69700.0,3031.0,69700.0,72639.0,69700.0,90244.0,139.1448989872448,88.05102418828858,120.25195810666949
69700.0,3046.0,69700.0,72719.0,69700.0,90259.0,145.19531365478247,89.46776256492359,122.7476611796366
69700.0,3053.0,69700.0,72729.0,69700.0,90252.0,151.18966408064261,90.85642175438514,125.22020801155438
69700.0,3054.0,69700.0,72651.0,69700.0,90200.0,157.13102323701895,92.22205405895573,127.67232451785134
69710.0,3047.0,69710.0,72588.0,69710.0,90191.0,163.02263950504965,93.57075043305235,130.1069401118421
69710.0,3049.0,69710.0,72569.0,69710.0,90210.0,168.8677378394538,94.90830542340012,132.5263804010359
69710.0,3065.0,69710.0,72666.0,69710.0,90243.0,174.66926193946642,96.23880175239216,134.93192883336837
69710.0,3094.0,69710.0,72713.0,69710.0,90282.0,180.42979005382114,97.56451073626496,137.32411137424987
69710.0,3092.0,69710.0,72725.0,69710.0,90260.0,186.1517214656987,98.88711245589019,139.70339049551103
69710.0,3088.0,69710.0,72627.0,69710.0,90253.0,191.83749882363367,100.20883113765217,142.07063907730492
69721.0,3084.0,69721.0,72616.0,69721.0,90214.0,197.48957280222186,101.53226133241785,144.42700767419342
69721.0,3112.0,69721.0,72600.0,69721.0,90225.0,203.1101838931927,102.859168142534,146.77333487423
69721.0,3110.0,69721.0,72713.0,69721.0,90273.0,208.70126480860984,104.18960314867508,149.10964712470496
69721.0,3129.0,69721.0,72764.0,69721.0,90294.0,214.26452818578377,105.52235998875716,151.43528226382153
69721.0,3124.0,69721.0,72704.0,69721.0,90272.0,219.8015715645841,106.85640531385036,153.74949712147566
69721.0,3110.0,69721.0,72661.0,69721.0,90255.0,225.31384780428516,108.19172688670213,156.05181043109877
69731.0,3123.0,69731.0,72619.0,69731.0,90240.0,230.80243613222257,109.52873269850201,158.34172490086985
69731.0,3147.0,69731.0,72691.0,69731.0,90263.0,236.2677938925338,110.86707130728573,160.61820082640537
69731.0,3172.0,69731.0,72747.0,69731.0,90325.0,241.7098066874956,112.20526773662957,162.8794944530801
69731.0,3185.0,69731.0,72773.0,69731.0,90324.0,247.12815713485753,113.54159588290341,165.12367277547395
69731.0,3174.0,69731.0,72764.0,69731.0,90308.0,252.52270463799942,114.87536786587032,167.34937377413394
69731.0,3162.0,69731.0,72645.0,69731.0,90264.0,257.89355440618675,116.20745446868023,169.55601682595227
69741.0,3154.0,69741.0,72618.0,69741.0,90276.0,263.2407408532965,117.53940123896831,171.74328726730778
69741.0,3192.0,69741.0,72701.0,69741.0,90282.0,268.5638066734549,118.87183234453516,173.9104739175571
69741.0,3212.0,69741.0,72737.0,69741.0,90330.0,273.86171067371805,120.2038056448778,176.0562666957598
69741.0,3205.0,69741.0,72793.0,69741.0,90341.0,279.13312509313226,121.53368560616428,178.17914387471336
69741.0,3201.0,69741.0,72753.0,69741.0,90318.0,284.3766832953644,122.86048984637603,180.27796652981232
69741.0,3194.0,69741.0,72651.0,69741.0,90279.0,289.5908662254715,124.1844182197533,182.3521447804119
69752.0,3205.0,69752.0,72648.0,69752.0,90278.0,294.7736835039467,125.50598163825569,184.40112491965562
69752.0,3234.0,69752.0,72717.0,69752.0,90342.0,299.9224709830852,126.82458868876631,186.4237721927396
69752.0,3264.0,69752.0,72783.0,69752.0,90343.0,305.03403756113346,128.13821508685754,188.41841623640812
69752.0,3267.0,69752.0,72786.0,69752.0,90342.0,310.1051249132962,129.44447169057491,190.38344791251637
69752.0,3251.0,69752.0,72723.0,69752.0,90324.0,315.1328058522009,130.74177595281623,192.3177046451109
69752.0,3245.0,69752.0,72669.0,69752.0,90305.0,320.114467270614,132.02936408100487,194.22031444437596
69762.0,3247.0,69762.0,72678.0,69762.0,90308.0,325.04744454546466,133.30618645361687,196.09022733645372
69762.0,3286.0,69762.0,72770.0,69762.0,90349.0,329.9287102124653,134.5699288909463,197.92584909564505
69762.0,3301.0,69762.0,72841.0,69762.0,90379.0,334.75495496285134,135.81736798153963,199.72518610748176
69762.0,3293.0,69762.0,72771.0,69762.0,90348.0,339.52296392295864,137.04580757157956,201.48641641758314
69762.0,3290.0,69762.0,72720.0,69762.0,90320.0,344.22984310471077,138.25395729928164,203.20819289193173
69762.0,3282.0,69762.0,72693.0,69762.0,90321.0,348.8728795929058,139.44130008417594,204.8892778506671
69772.0,3310.0,69772.0,72758.0,69772.0,90350.0,353.4492622217463,140.60688762223762,206.527990866812
69772.0,3325.0,69772.0,72782.0,69772.0,90398.0,357.95600281682283,141.74895825572912,208.12217605248605
69772.0,3329.0,69772.0,72873.0,69772.0,90402.0,362.39013904464156,142.86570914262046,209.66981638152373
69772.0,3320.0,69772.0,72775.0,69772.0,90361.0,366.74894778858004,143.9565245932788,211.1697183540283
69772.0,3320.0,69772.0,72703.0,69772.0,90325.0,371.0299080876449,145.02239579939416,212.62152031112345
69772.0,3313.0,69772.0,72683.0,69772.0,90334.0,375.23045217876785,146.06482164891793,214.02496979919079
69783.0,3323.0,69783.0,72785.0,69783.0,90385.0,379.34767876839163,147.08429960293685,215.37925925241314
69783.0,3356.0,69783.0,72780.0,69783.0,90406.0,383.37821480340597,148.08004783483668,216.68313842776888
69783.0,3372.0,69783.0,72838.0,69783.0,90382.0,387.3183998776595,149.05094445458303,217.93557898652034
69783.0,3373.0,69783.0,72793.0,69783.0,90364.0,391.1647083862775,149.9965626975671,219.1361554632855
69783.0,3359.0,69783.0,72709.0,69783.0,90344.0,394.9140371795868,150.91744000077244,220.28476826547103
69783.0,3354.0,69783.0,72690.0,69783.0,90344.0,398.5636200306665,151.8142065912196,221.3810406094019
69793.0,3376.0,69793.0,72799.0,69793.0,90367.0,402.11073496352833,152.68632033071765,222.4238589060539
69793.0,3395.0,69793.0,72851.0,69793.0,90447.0,405.55258499392966,153.53198832997336,223.41145528621348
69793.0,3385.0,69793.0,72848.0,69793.0,90422.0,408.88646974910995,154.34951819604748,224.34217800721734
69793.0,3377.0,69793.0,72755.0,69793.0,90367.0,412.10993033425126,155.1385184378305,225.2152718462712
69793.0,3369.0,69793.0,72713.0,69793.0,90365.0,415.22059230849186,155.89960432631372,226.03075785502472
69793.0,3381.0,69793.0,72722.0,69793.0,90395.0,418.21583637105454,156.63296742374538,226.78870998721766
69803.0,3422.0,69803.0,72842.0,69803.0,90405.0,421.0926509891434,157.33736298923768,227.4889404626485
69803.0,3430.0,69803.0,72887.0,69803.0,90415.0,423.8479038294229,158.0106950911836,228.13128207516772
69803.0,3418.0,69803.0,72845.0,69803.0,90409.0,426.47882364609245,158.65168341321095,228.71596354476793
69803.0,3404.0,69803.0,72770.0,69803.0,90383.0,428.9831948894435,159.26085117371733,229.24371971814273
69803.0,3413.0,69803.0,72679.0,69803.0,90353.0,431.3591356057577,159.83977578805016,229.7154989976818
69803.0,3420.0,69803.0,72821.0,69803.0,90394.0,433.60480880580127,160.3894259165529,230.13191166288368
69814.0,3439.0,69814.0,72851.0,69814.0,90408.0,435.7183689005481,160.90952155891875,230.4929573683763
69814.0,3454.0,69814.0,72850.0,69814.0,90441.0,437.6981594553255,161.39955868839394,230.7983636912748
69814.0,3446.0,69814.0,72845.0,69814.0,90405.0,439.543012566076,161.86006968466077,231.04817955068432
69814.0,3432.0,69814.0,72746.0,69814.0,90378.0,441.25239896847603,162.29285069955685,231.24298603326272
69814.0,3422.0,69814.0,72719.0,69814.0,90371.0,442.8262548779712,162.7000486794234,231.3834837989221
69814.0,3437.0,69814.0,72808.0,69814.0,90396.0,444.26462926470936,163.08283046313883,231.46989822333364
69824.0,3465.0,69824.0,72856.0,69824.0,90445.0,445.5675178625555,163.44101407422872,231.50187008578476
69824.0,3454.0,69824.0,72890.0,69824.0,90436.0,446.7350518817332,163.7741417934747,231.47899369439224
69824.0,3451.0,69824.0,72822.0,69824.0,90410.0,447.76776012847427,164.0828212531409,231.40144390977443
69824.0,3449.0,69824.0,72728.0,69824.0,90386.0,448.66658477909067,164.36892200178107,231.27002627200713
69824.0,3443.0,69824.0,72720.0,69824.0,90393.0,449.4327094794943,164.63430170080866,231.08568058086036
69824.0,3465.0,69824.0,72836.0,69824.0,90401.0,450.06741425597744,164.8793105385641,230.84900859566056
69834.0,3487.0,69834.0,72856.0,69834.0,90440.0,450.57213731183447,165.102733263359,230.56023259718773
69834.0,3475.0,69834.0,72882.0,69834.0,90442.0,450.9487821186736,165.30311620895532,230.21959895888145
69834.0,3462.0,69834.0,72802.0,69834.0,90394.0,451.1999702437134,165.47994131667386,229.82783006817263
69834.0,3447.0,69834.0,72751.0,69834.0,90392.0,451.328930221622,165.6335483118255,229.3860700888117
69834.0,3449.0,69834.0,72789.0,69834.0,90396.0,451.3391215501388,165.76403980226985,228.8953731103802
69834.0,3469.0,69834.0,72877.0,69834.0,90440.0,451.2339357177442,165.87051506937826,228.35640147910598
69845.0,3490.0,69845.0,72913.0,69845.0,90450.0,451.0167372384382,165.95170512372184,227.76972485570667
69845.0,3475.0,69845.0,72872.0,69845.0,90422.0,450.6911960150863,166.0074181230183,227.13639618194122
69845.0,3459.0,69845.0,72797.0,69845.0,90399.0,450.2615223667412,166.03924703815608,226.45815491950756
69845.0,3455.0,69845.0,72728.0,69845.0,90390.0,449.7323293744139,166.04976043633297,225.73704503557335
69845.0,3444.0,69845.0,72810.0,69845.0,90414.0,449.10828026078224,166.04090690008923,224.9748989709446
69845.0,3484.0,69845.0,72851.0,69845.0,90450.0,448.3938505245241,166.01320139575046,224.1732480990838
69855.0,3486.0,69855.0,72892.0,69855.0,90473.0,447.59343943240566,165.9663937429143,223.33382960967296
