c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207851,5294,207851,16255,207851.0,47842.0,358.6387404788138,215.00258655875075,516.3387799267689
207851,5330,207851,16290,207851.0,47889.0,362.44255240960126,213.53536583870158,520.7955275387559
207851,5303,207851,16261,207851.0,47826.0,366.3253131019234,212.18101541240577,525.3831212061925
207851,5256,207851,16180,207851.0,47777.0,370.28349158873914,210.94365054845517,530.0997416630817
207851,5256,207851,16163,207851.0,47774.0,374.3127941132189,209.8259641000787,534.9418916248235
207851,5308,207851,16253,207851.0,47840.0,378.4075076764833,208.82821364327356,539.9034526921486
207861,5329,207861,16380,207861.0,47915.0,382.56048108153254,207.9483725910136,544.9757645747771
207861,5352,207861,16366,207861.0,47922.0,386.7638286535002,207.1840038140279,550.1488745602178
207861,5314,207861,16234,207861.0,47849.0,391.0096647490604,206.5341943422596,555.4128323076503
207861,5278,207861,16120,207861.0,47796.0,395.2902257600326,205.99937166535778,560.7577614043736
207861,5269,207861,16141,207861.0,47788.0,399.59727463116593,205.579036066863,566.1726776490013
207861,5316,207861,16254,207861.0,47874.0,403.9213709788584,205.26974639146346,571.6443171894119
207871,5356,207871,16302,207871.0,47923.0,408.2518003802074,205.06526157442337,577.1571951817677
207871,5374,207871,16312,207871.0,47944.0,412.57730479759243,204.9583219971204,582.6948528994909
207871,5334,207871,16226,207871.0,47855.0,416.88694057981974,204.94215439404917,588.2410572891758
207871,5309,207871,16140,207871.0,47800.0,421.1702872875051,205.0103952325419,593.7797291447073
207871,5325,207871,16205,207871.0,47854.0,425.41696519498225,205.15571205592312,599.2937299416617
207871,5388,207871,16335,207871.0,47981.0,429.61624903361434,205.36892208985637,604.764145046432
207882,5389,207882,16368,207882.0,48012.0,433.75744006887965,205.6400775712975,610.1713408217399
207882,5360,207882,16303,207882.0,47941.0,437.83061032417754,205.96057705689458,615.4968774605823
207882,5335,207882,16207,207882.0,47852.0,441.82682480786934,206.32407287678515,620.7242079033452
207882,5287,207882,16128,207882.0,47809.0,445.7375810026749,206.72531694654728,625.8374591727994
207882,5332,207882,16204,207882.0,47881.0,449.5539333902283,207.15809057662264,630.8195837563175
207882,5363,207882,16280,207882.0,47937.0,453.2660379035179,207.61414504732346,635.6516199381412
207892,5420,207892,16328,207892.0,47997.0,456.86359014971475,208.08404157269328,640.3135675696028
207892,5371,207892,16288,207892.0,47940.0,460.3367995184593,208.55887500675868,644.7858943315832
207892,5345,207892,16192,207892.0,47866.0,463.67694632808735,209.03114523141468,649.0502180678075
207892,5309,207892,16148,207892.0,47855.0,466.876004248598,209.49398523131148,653.0885647682253
207892,5350,207892,16240,207892.0,48011.0,469.92581600113436,209.93963653947432,656.8823360816918
207892,5409,207892,16342,207892.0,48042.0,472.8177838650694,210.35904624899993,660.4127738843815
207902,5406,207902,16316,207902.0,48005.0,475.5434860724081,210.74324557484414,663.6627869084531
207902,5367,207902,16261,207902.0,47919.0,478.0955454634395,211.08496210247128,666.6180980898225
207902,5321,207902,16116,207902.0,47849.0,480.4677469041644,211.37861834550006,669.266537396201
207902,5302,207902,16160,207902.0,47813.0,482.6542559708434,211.618617685361,671.59614438142
207902,5331,207902,16215,207902.0,47938.0,484.64865752888227,211.79759757402653,673.5935420023013
207902,5366,207902,16290,207902.0,47957.0,486.4435996060872,211.9063217871444,675.2438529951594
207913,5397,207913,16332,207913.0,47969.0,488.0312714508879,211.93515125559222,676.5320175847235
207913,5349,207913,16203,207913.0,47921.0,489.4042121023055,211.87561846988586,677.4440296089645
207913,5300,207913,16174,207913.0,47866.0,490.55558154134417,211.72060617882,677.9670675311277
207913,5325,207913,16171,207913.0,47877.0,491.4786012226051,211.46308815478193,678.0887150635442
207913,5390,207913,16297,207913.0,47985.0,492.16602226535406,211.09510790179,677.7963403436
207913,5390,207913,16326,207913.0,48014.0,492.61052410235254,210.60838785702384,677.0777369899287
207923,5371,207923,16299,207923.0,47961.0,492.8056390725094,209.9960229326395,675.9226712630511
