c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
241773,22991,241773.0,64257.0,241773.0,93775.0,547.8493407252425,890.5299285466319,865.4296490695364
241773,23019,241773.0,64318.0,241773.0,93775.0,550.6209983335756,886.9843945896677,864.3265697984671
241773,23021,241773.0,64211.0,241773.0,93800.0,553.2824326799504,883.2042724494986,862.984999207567
241773,23005,241773.0,64160.0,241773.0,93754.0,555.825168014944,879.2047575358492,861.4066106526826
241783,22980,241783.0,64145.0,241783.0,93720.0,558.2412861633183,875.0003569362292,859.5934457559513
241783,22989,241783.0,64143.0,241783.0,93705.0,560.5231533482727,870.603720355007,857.5474861543153
241783,22986,241783.0,64095.0,241783.0,93672.0,562.6630947382929,866.0250407103368,855.2699722003078
241783,22978,241783.0,64069.0,241783.0,93694.0,564.65326992993,861.2716961449645,852.7608793695588
241783,22996,241783.0,64076.0,241783.0,93711.0,566.4856767618551,856.3477627852392,850.0187972081765
241783,22992,241783.0,64123.0,241783.0,93689.0,568.1522371666839,851.2538027538889,847.0412573641335
241794,22996,241794.0,64117.0,241794.0,93698.0,569.6449774585998,845.9873603765908,843.8251646859808
241794,23001,241794.0,64143.0,241794.0,93708.0,570.9562142703188,840.5438973994463,840.3670865902551
241794,23008,241794.0,64229.0,241794.0,93694.0,572.0787302029747,834.9178616985171,836.663560661304
241794,23007,241794.0,64194.0,241794.0,93695.0,573.0059880014994,829.1040434083361,832.7114307050218
241794,22995,241794.0,64111.0,241794.0,93677.0,573.7323126540199,823.0987410290993,828.5080535099784
241794,22974,241794.0,64056.0,241794.0,93639.0,574.2528938915301,816.8996833086153,824.0513096288087
241804,22972,241804.0,64025.0,241804.0,93592.0,574.5635667715164,810.5047920116433,819.3392846967686
241804,22951,241804.0,64044.0,241804.0,93583.0,574.6605000195976,803.910953342455,814.3695970730998
241804,22935,241804.0,63972.0,241804.0,93572.0,574.5398833335781,797.1134375938396,809.1387280452186
241804,22933,241804.0,63983.0,241804.0,93551.0,574.1975955632909,790.1056150039985,803.6416724017441
241804,22957,241804.0,64041.0,241804.0,93595.0,573.6289915045413,782.8787939361555,797.8719135365596
241804,22951,241804.0,64020.0,241804.0,93571.0,572.8290179068042,775.4226591877158,791.8217353848213
241814,22942,241814.0,64016.0,241814.0,93581.0,571.7925273001766,767.7261710632816,785.4827661599666
241814,22962,241814.0,64000.0,241814.0,93582.0,570.5145085028845,759.7781747324514,778.8464687862595
241814,22960,241814.0,64096.0,241814.0,93621.0,568.9902886098499,751.5678092584812,771.9046389969212
241814,22947,241814.0,64008.0,241814.0,93555.0,567.2158098277679,743.085291379422,764.6500368314807
241814,22928,241814.0,63949.0,241814.0,93530.0,565.1877748832169,734.3225745213558,757.0767187107276
241814,22924,241814.0,63933.0,241814.0,93519.0,562.903529589634,725.2729868446221,749.1797546164315
241825,22899,241825.0,63867.0,241825.0,93478.0,560.3608263621904,715.9302148750064,740.954733285003
241825,22883,241825.0,63856.0,241825.0,93462.0,557.5575557869889,706.2873877888768,732.3973753239723
241825,22886,241825.0,63854.0,241825.0,93432.0,554.4914523902368,696.3364345815683,723.503163328355
241825,22883,241825.0,63875.0,241825.0,93451.0,551.1599203843841,686.0679207648202,714.2670579435862
241825,22887,241825.0,63887.0,241825.0,93465.0,547.5600948159453,675.4715166299277,704.6835833393122
241825,22895,241825.0,63900.0,241825.0,93413.0,543.6890754603936,664.5368686914644,694.74728225125
241835,22881,241835.0,63865.0,241835.0,93427.0,539.544232365383,653.2544880992717,684.4530894705625
241835,22890,241835.0,63919.0,241835.0,93460.0,535.123481943238,641.6164276564732,673.796547045999
241835,22899,241835.0,63908.0,241835.0,93442.0,530.4255377380719,629.6169662944642,662.7743389485009
241835,22862,241835.0,63851.0,241835.0,93415.0,525.4501865206885,617.2533801706794,651.3850380728619
241835,22844,241835.0,63789.0,241835.0,93375.0,520.1983813041729,604.526177256111,639.6294342715782
241835,22833,241835.0,63740.0,241835.0,93360.0,514.6719995049842,591.4384251542008,627.5103362005175
241845,22823,241845.0,63726.0,241845.0,93321.0,508.8735272774093,577.9947023505673,615.0322051447224
241845,22810,241845.0,63750.0,241845.0,93313.0,502.80590066498235,564.2004458608318,602.2008494127925
241845,22809,241845.0,63712.0,241845.0,93304.0,496.4724630138919,550.0620128548989,589.0232641509608
241845,22809,241845.0,63675.0,241845.0,93279.0,489.87701629032904,535.5870250266956,575.5076750738665
241845,22822,241845.0,63700.0,241845.0,93268.0,483.0240390429532,520.7844834956641,561.6636826705975
241845,22818,241845.0,63701.0,241845.0,93271.0,475.91908707051414,505.6649352808387,547.5024195934637
241856,22789,241856.0,63713.0,241856.0,93271.0,468.56920462523306,490.24111400204345,533.0368645936102
241856,22793,241856.0,63702.0,241856.0,93270.0,460.9831091890244,474.5288460093793,518.2823915570973
241856,22773,241856.0,63692.0,241856.0,93236.0,453.17118803881215,458.5478471236895,503.25735893229864
241856,22738,241856.0,63653.0,241856.0,93190.0,445.1454419036062,442.32223946598947,487.98340917145197
241856,22742,241856.0,63539.0,241856.0,93101.0,436.9193187111569,425.88053880825976,472.4851780747508
241856,22709,241856.0,63494.0,241856.0,93111.0,428.5074856039481,409.25479191400564,456.78944976153093
241866,22675,241866.0,63470.0,241866.0,93077.0,419.9256096192503,392.4791786515269,440.9243453774901
241866,22671,241866.0,63388.0,241866.0,93026.0,411.1900332311292,375.58884484283544,424.9189575135608
241866,22665,241866.0,63406.0,241866.0,93071.0,402.31746162407114,358.6191347458654,408.8032270564918
241866,22672,241866.0,63407.0,241866.0,93027.0,393.324946512886,341.60520787295127,392.6080595017569
241866,22647,241866.0,63379.0,241866.0,92977.0,384.23013156205565,324.58224946677035,376.3656514204546
241866,22628,241866.0,63374.0,241866.0,92977.0,375.05145731330634,307.5859800494478,360.10953430868335
241877,22628,241877.0,63428.0,241877.0,93015.0,365.8081692182715,290.65318362033236,343.87450273842535
241877,22619,241877.0,63370.0,241877.0,92935.0,356.52030423787306,273.8224961763775,327.69699033271286
241877,22598,241877.0,63272.0,241877.0,92884.0,347.2087970413225,257.1350486045395,311.6154026910424
241877,22555,241877.0,63215.0,241877.0,92822.0,337.8955027804843,240.63402975216582,295.6696370670868
241877,22526,241877.0,63184.0,241877.0,92761.0,328.60289088990464,224.36335654923107,279.89998588028186
241877,22502,241877.0,63097.0,241877.0,92746.0,319.3534800358793,208.36638272689504,264.34599953725626
241887,22484,241887.0,63064.0,241887.0,92717.0,310.1692927639091,192.68482281161357,249.0456695139452
241887,22468,241887.0,63054.0,241887.0,92697.0,301.0714910168419,177.35776453293352,234.03505387163136
241887,22496,241887.0,63031.0,241887.0,92722.0,292.08025657169594,162.42108602598125,219.34826302893043
241887,22463,241887.0,63032.0,241887.0,92674.0,283.21498451416164,147.90740810730972,205.01774188210288
241887,22441,241887.0,63047.0,241887.0,92654.0,274.4945644596866,133.84639427681293,191.07459824350178
241887,22440,241887.0,63048.0,241887.0,92650.0,265.93740890283584,120.26535488082902,177.54867500503894
241897,22430,241897.0,63096.0,241897.0,92658.0,257.56135759629933,107.19015648429513,164.4686038093289
241897,22418,241897.0,63047.0,241897.0,92620.0,249.38372044278924,94.6462918639761,151.86212257454906
241897,22408,241897.0,62961.0,241897.0,92578.0,241.42138546458733,82.65955931499559,139.75633011861862
241897,22355,241897.0,62892.0,241897.0,92486.0,233.69079498569283,71.25563403736192,128.17736295433065
241897,22349,241897.0,62850.0,241897.0,92502.0,226.20765186472647,60.45867445114209,117.1494731406101
241897,22338,241897.0,62818.0,241897.0,92452.0,218.98647869319143,50.28985912635528,106.69409727401978
241908,22312,241908.0,62806.0,241908.0,92470.0,212.0403249148876,40.76641615268841,96.82940962847704
241908,22312,241908.0,62792.0,241908.0,92441.0,205.38062949214208,31.901164510182298,87.57028387362095
241908,22311,241908.0,62876.0,241908.0,92436.0,199.0171557230346,23.70259521654441,78.92841386257533
241908,22295,241908.0,62782.0,241908.0,92416.0,192.95806259518753,16.17552218441631,70.9124250328606
241908,22301,241908.0,62840.0,241908.0,92423.0,187.21005771517065,9.321792524040234,63.52794770231185
241908,22307,241908.0,62904.0,241908.0,92454.0,181.77858095057093,3.1408456531157753,56.77785434409543
241918,22323,241918.0,62902.0,241918.0,92426.0,176.66814200682563,-2.369231275965717,50.66280635602834
241918,22284,241918.0,62792.0,241918.0,92427.0,171.88276520832846,-7.210479475966395,45.18184106354488
241918,22260,241918.0,62739.0,241918.0,92344.0,167.42617503659778,-11.385070447118324,40.332535492333704
241918,22241,241918.0,62736.0,241918.0,92350.0,163.30151587078262,-14.8966004438239,36.11057289453686
241918,22223,241918.0,62718.0,241918.0,92340.0,159.51086079727702,-17.75134782705652,32.50907232761665
241918,22223,241918.0,62696.0,241918.0,92325.0,156.0548250886793,-19.95883142061973,29.518217712513206
241928,22216,241928.0,62705.0,241928.0,92335.0,152.93238344887845,-21.53202178909828,27.125233138979297
241928,22205,241928.0,62703.0,241928.0,92377.0,150.14084850581924,-22.487413572970922,25.31459545099017
241928,22214,241928.0,62730.0,241928.0,92351.0,147.67590939663137,-22.844835019826178,24.068579630695922
241928,22215,241928.0,62741.0,241928.0,92339.0,145.53173659883453,-22.626965854362197,23.367844032336507
241928,22211,241928.0,62762.0,241928.0,92363.0,143.70119766323853,-21.858657973010395,23.19166747350357
241928,22245,241928.0,62832.0,241928.0,92380.0,142.1761556981843,-20.566076458812063,23.518130214117264
241939,22229,241939.0,62810.0,241939.0,92385.0,140.94787915935092,-18.775597396743933,24.324609823209926
241939,22214,241939.0,62758.0,241939.0,92325.0,140.00744379970024,-16.512884619810848,25.58826681288815
241939,22170,241939.0,62708.0,241939.0,92343.0,139.34576480906082,-13.802921654801025,27.286016857015397
241939,22188,241939.0,62714.0,241939.0,92278.0,138.95319466955345,-10.670939354457687,29.394051039516626
241939,22173,241939.0,62708.0,241939.0,92291.0,138.81910188290703,-7.1433338024693285,31.887224627121327
241939,22182,241939.0,62566.0,241939.0,92310.0,138.93174253537063,-3.2483348683606437,34.7385681049351
241949,22169,241949.0,62756.0,241949.0,92303.0,139.27831576275912,0.983194991507844,37.91921472772685
241949,22169,241949.0,62720.0,241949.0,92334.0,139.84500921571248,5.517544951328205,41.39871914801108
241949,22180,241949.0,62754.0,241949.0,92348.0,140.61702481652173,10.319147349504647,45.145529247637455
241949,22188,241949.0,62776.0,241949.0,92363.0,141.57870869649753,15.3517698040622,49.12757571859527
241949,22206,241949.0,62824.0,241949.0,92389.0,142.7138647114856,20.579346446765157,53.31293183103196
241949,22203,241949.0,62852.0,241949.0,92391.0,144.0061791801894,25.966935118852575,57.67045739061655
241959,22195,241959.0,62803.0,241959.0,92379.0,145.43957927311283,31.48171060822392,62.17032064754585
241959,22170,241959.0,62758.0,241959.0,92321.0,146.99833129520397,37.09328067045976,66.78410773728615
241959,22181,241959.0,62734.0,241959.0,92329.0,148.66685914012658,42.77302840119137,71.48434657345183
241959,22175,241959.0,62700.0,241959.0,92325.0,150.42952626909687,48.49298585093754,76.24381645263372
241959,22159,241959.0,62690.0,241959.0,92315.0,152.27054563831507,54.22480443480947,81.03514614459937
241959,22161,241959.0,62721.0,241959.0,92343.0,154.17389260917508,59.93905780300008,85.83073372907438
241970,22168,241970.0,62796.0,241970.0,92372.0,156.12318492336482,65.60521807779992,90.6029384688344
241970,22176,241970.0,62772.0,241970.0,92358.0,158.10170632199942,71.19246020589571,95.32458203042916
241970,22175,241970.0,62789.0,241970.0,92359.0,160.0926046904143,76.67066400028818,99.96944018869044
241970,22182,241970.0,62810.0,241970.0,92409.0,162.07912157991024,82.01099559466672,104.51251946348464
241970,22197,241970.0,62917.0,241970.0,92422.0,164.04481114670898,87.18648412957805,108.93049391326485
241970,22202,241970.0,62865.0,241970.0,92373.0,165.97382999140456,92.17315717832719,113.2023494264364
241980,22174,241980.0,62787.0,241980.0,92347.0,167.85122354574673,96.95100115749347,117.30955426210994
241980,22157,241980.0,62771.0,241980.0,92319.0,169.66292821652155,101.50361622680737,121.23546307514368
241980,22168,241980.0,62764.0,241980.0,92322.0,171.39545536369747,105.81696904310786,124.9644751210119
241980,22156,241980.0,62716.0,241980.0,92329.0,173.0356036227081,109.8783630216875,128.4814935874407
241980,22127,241980.0,62679.0,241980.0,92298.0,174.5703153594015,113.67566502082389,131.77175334306537
241980,22154,241980.0,62725.0,241980.0,92339.0,175.9864813842222,117.19649745361971,134.82078891059984
241990,22177,241990.0,62761.0,241990.0,92347.0,177.2708582675678,120.4279102483838,137.61455932682293
241990,22159,241990.0,62756.0,241990.0,92353.0,178.41036985441684,123.35691148997876,140.1398841516617
241990,22173,241990.0,62756.0,241990.0,92340.0,179.3925161507981,125.9712581309766,142.38493810502905
241990,22173,241990.0,62795.0,241990.0,92346.0,180.20560060524235,128.2599648221044,144.3394930942643
241990,22185,241990.0,62859.0,241990.0,92335.0,180.83892188897323,130.21389753463927,145.99497478750766
241990,22167,241990.0,62777.0,241990.0,92346.0,181.28301351827406,131.82671539643502,147.34450809595216
242000,22149,242000.0,62725.0,242000.0,92303.0,181.52974345311617,133.09533129773035,148.38294981241756
242000,22131,242000.0,62672.0,242000.0,92280.0,181.5721242189722,134.01913257017964,149.10670220463612
242000,22122,242000.0,62621.0,242000.0,92267.0,181.40392892813577,134.59844146318312,149.5132065419972
242000,22122,242000.0,62663.0,242000.0,92226.0,181.01934413110934,134.83312612322118,149.60032106853077
242000,22118,242000.0,62686.0,242000.0,92242.0,180.41280338422183,134.722013714456,149.36577171363513
242000,22122,242000.0,62738.0,242000.0,92272.0,179.57899362543122,134.26336269896592,148.80688405424917
242010,22125,242010.0,62646.0,242010.0,92253.0,178.512973823295,133.45581552188492,147.92082527940443
242010,22121,242010.0,62661.0,242010.0,92260.0,177.2103615436252,132.29879964766837,146.70508708103864
242010,22100,242010.0,62709.0,242010.0,92284.0,175.66748033041495,130.79232031537367,145.1578574249245
242010,22126,242010.0,62711.0,242010.0,92289.0,173.881395183083,128.93713057253603,143.27844923846874
242010,22118,242010.0,62689.0,242010.0,92260.0,171.85000218804316,126.73546678295793,141.0678346298289
242010,22103,242010.0,62637.0,242010.0,92238.0,169.57225536584843,124.19146520793618,138.5288880005221
242020,22076,242020.0,62581.0,242020.0,92180.0,167.04825354693213,121.31074150777306,135.66609111823368
242020,22064,242020.0,62589.0,242020.0,92174.0,164.27900314711468,118.09942646742502,132.48483361994727
242020,22051,242020.0,62563.0,242020.0,92131.0,161.26603694903275,114.56332154870881,128.99062045617723
242020,22046,242020.0,62517.0,242020.0,92144.0,158.01111956101596,110.70743311232627,125.18845728489418
242020,22022,242020.0,62562.0,242020.0,92141.0,154.5160718836139,106.53563620786315,121.082565418321
242020,22023,242020.0,62553.0,242020.0,92154.0,150.78261941122167,102.0505871676063,116.67649496579429
242031,22028,242031.0,62546.0,242031.0,92133.0,146.8122906162405,97.25408724447016,111.97349234443163
242031,22031,242031.0,62593.0,242031.0,92134.0,142.60651713502,92.14762197233597,106.97682454701635
242031,22025,242031.0,62631.0,242031.0,92147.0,138.16691951070914,86.73310046040262,101.68999933947987
242031,22024,242031.0,62606.0,242031.0,92161.0,133.49559630438665,81.01396657003318,96.11711804568847
242031,22001,242031.0,62524.0,242031.0,92079.0,128.59529913836303,74.99602620847918,90.26330615475547
242031,21979,242031.0,62478.0,242031.0,92066.0,123.46942276697729,68.68716696128297,84.13466913358025
242041,21962,242041.0,62429.0,242041.0,92031.0,118.12177567874517,62.096152007192245,77.73763768578874
242041,21945,242041.0,62378.0,242041.0,92014.0,112.55624242302412,55.23124291496595,71.07824259228244
242041,21934,242041.0,62356.0,242041.0,91995.0,106.77648931687588,48.09901329743218,64.16163665277486
242041,21931,242041.0,62414.0,242041.0,91992.0,100.78578423641807,40.70359186556573,56.9918210366086
242041,21912,242041.0,62404.0,242041.0,91985.0,94.58693846738362,33.04675358230588,49.57157789853329
242041,21915,242041.0,62415.0,242041.0,91972.0,88.1823158657449,25.1287130684741,41.90258079256603
242051,21915,242051.0,62405.0,242051.0,91975.0,81.57390316186212,16.94893414890987,33.985573506885316
242051,21912,242051.0,62434.0,242051.0,91989.0,74.76351013202384,8.506722786705723,25.82063546899076
242051,21916,242051.0,62443.0,242051.0,91995.0,67.75307528107408,-0.1981193451723584,17.407665228455016
