c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
35259,11305,35259,8350,35259.0,29104.0,459.0012152264184,122.43243462619861,240.22915781589563
35259,11301,35259,8350,35259.0,29118.0,460.80781933118413,121.50701073389939,239.48036310697486
35259,11321,35259,8358,35259.0,29107.0,462.5009881044476,120.51938125880235,238.6024966786607
35259,11442,35259,8301,35259.0,29083.0,464.0536993706664,119.47151284428386,237.59536908392212
35270,11513,35270,8324,35270.0,29069.0,465.44027818844563,118.36533493398692,236.45925762815642
35270,11502,35270,8325,35270.0,29079.0,466.6385999236591,117.20235431487923,235.1945333162144
35270,11467,35270,8338,35270.0,29082.0,467.63184541335016,115.98357915483393,233.80143769234076
35270,11416,35270,8352,35270.0,29099.0,468.40883955212774,114.70979296036123,232.28018157798684
35270,11353,35270,8378,35270.0,29117.0,468.96318632668704,113.38199223592969,230.63129284319876
35270,11276,35270,8339,35270.0,29106.0,469.2917308821378,112.0018562708901,228.85607963335354
35280,11258,35280,8337,35280.0,29076.0,469.3927110926336,110.57194545777209,226.95693582507639
35280,11249,35280,8329,35280.0,29089.0,469.26411278649806,109.0954985665557,224.9372680789628
35280,11267,35280,8299,35280.0,29074.0,468.90273868035695,107.57608590477815,222.80125487634447
35280,11238,35280,8326,35280.0,29049.0,468.3039668155624,106.01729634922631,220.55367218175812
35280,11274,35280,8283,35280.0,29063.0,467.4617877900771,104.42250468304704,218.19969048307289
35280,11425,35280,8272,35280.0,29012.0,466.36927473374453,102.79464020052703,215.74459853481144
35290,11436,35290,8292,35290.0,29030.0,465.02017224678355,101.13584516945743,213.19347994838063
35290,11425,35290,8312,35290.0,29030.0,463.41114309311274,99.44732256901035,210.55092138599673
35290,11400,35290,8308,35290.0,29038.0,461.5431793190153,97.72963004567077,207.82098492269728
35290,11323,35290,8331,35290.0,29061.0,459.4216355272135,95.98315089005848,205.0074869245849
35290,11240,35290,8355,35290.0,29064.0,457.05520603983615,94.20855785113795,202.1144517649318
35290,11192,35290,8309,35290.0,29044.0,454.45414327515925,92.40727786178417,199.14657025444887
35301,11181,35301,8296,35301.0,29025.0,451.62832014627116,90.58163992407941,196.10937123321497
35301,11171,35301,8295,35301.0,29009.0,448.58587280632617,88.73452801899252,193.00899891153347
35301,11164,35301,8274,35301.0,29007.0,445.3325853361631,86.86892752074371,189.85183053233
35301,11163,35301,8260,35301.0,29014.0,441.8717004202657,84.98759573110851,186.64422557393846
35301,11289,35301,8275,35301.0,28970.0,438.2041618951605,83.09276942217073,183.39244271572704
35301,11367,35301,8256,35301.0,28953.0,434.32989414574837,81.18598620278192,180.1024288997619
35311,11366,35311,8284,35311.0,28993.0,430.2501365087786,79.26809451529508,176.7794256475025
35311,11323,35311,8278,35311.0,28959.0,425.96951723808405,77.33941173765106,173.42782146873765
35311,11268,35311,8305,35311.0,28975.0,421.49667904111743,75.40002833613346,170.05131495224038
35311,11207,35311,8328,35311.0,29011.0,416.84355518532556,73.45027019489385,166.65314149991764
35311,11117,35311,8296,35311.0,28962.0,412.02389896688027,71.4912381627457,163.23641417178305
35311,11093,35311,8299,35311.0,28974.0,407.05146282200275,69.52512326525509,159.80439842025066
35321,11078,35321,8263,35321.0,28971.0,401.93831032717446,67.55509314634213,156.36048180967555
35321,11085,35321,8246,35321.0,28962.0,396.6938050433761,65.5848731152803,152.9081037193488
35321,11070,35321,8238,35321.0,28946.0,391.32432237225987,63.61819776454969,149.45076229436134
35321,11109,35321,8237,35321.0,28921.0,385.83337044866255,61.65833541612602,145.99187592376978
35321,11247,35321,8229,35321.0,28910.0,380.2222817542331,59.70783908352489,142.5344363984358
35321,11274,35321,8237,35321.0,28920.0,374.4920075582784,57.768469206822914,139.0806398223968
35332,11248,35332,8252,35332.0,28946.0,368.64550513725266,55.841249627915445,135.63180278794454
35332,11211,35332,8255,35332.0,28917.0,362.68924039692115,53.926707339729234,132.18864671477544
35332,11142,35332,8267,35332.0,28929.0,356.63319866292386,52.025233236577236,128.75161234560386
35332,11033,35332,8277,35332.0,28943.0,350.4897717410802,50.137454561792055,125.321014139987
35332,10997,35332,8247,35332.0,28945.0,344.27188722916907,48.26453606114579,121.89727132096093
35332,10998,35332,8223,35332.0,28926.0,337.9910394333359,46.408193279649964,118.48124389063506
35342,10974,35342,8209,35342.0,28881.0,331.6560694308345,44.570290469499824,115.07429920876555
35342,10965,35342,8231,35342.0,28903.0,325.2727343974615,42.75233673316582,111.67795530214244
35342,10967,35342,8222,35342.0,28890.0,318.8435660624528,40.95529925501556,108.29348536795584
35342,11067,35342,8202,35342.0,28867.0,312.3680727433755,39.17967286353422,104.92177888738217
35342,11164,35342,8168,35342.0,28877.0,305.8439344812233,37.425366747099346,101.56325289068133
35342,11168,35342,8209,35342.0,28852.0,299.26929650162594,35.69131724149622,98.2176898987448
35352,11143,35352,8192,35352.0,28893.0,292.6450318102587,33.975267864663195,94.88417454312119
35352,11070,35352,8235,35352.0,28889.0,285.97571824662555,32.27397566975402,91.56129481438023
35352,11012,35352,8276,35352.0,28907.0,279.26914781536067,30.583773155595296,88.24760796328027
35352,10917,35352,8247,35352.0,28878.0,272.5348781246757,28.901382620587498,84.9421059859927
35352,10918,35352,8255,35352.0,28904.0,265.7824145973567,27.224582371374836,81.6444480047189
35352,10872,35352,8228,35352.0,28846.0,259.01965051887265,25.552356566627225,78.35498385516107
35363,10867,35363,8194,35363.0,28871.0,252.25190664250215,23.884625902189725,75.07459722140817
35363,10861,35363,8213,35363.0,28859.0,245.48143249618494,22.221761544189036,71.80447556390794
35363,10911,35363,8171,35363.0,28838.0,238.70732470196697,20.564110998011287,68.54600108916335
35363,11024,35363,8165,35363.0,28812.0,231.92625078407707,18.91161887960864,65.30061094484992
35363,11056,35363,8190,35363.0,28816.0,225.13427394041918,17.26347580083248,62.069436367844816
35363,11034,35363,8192,35363.0,28806.0,218.32912924355816,15.618022030006955,58.852947397293576
35373,10989,35373,8199,35373.0,28824.0,211.51165618823495,13.973019281903916,55.65084596435682
35373,10928,35373,8209,35373.0,28844.0,204.68582908994927,12.326013438086548,52.46225186465469
35373,10843,35373,8252,35373.0,28848.0,197.85772933293885,10.674725528413617,49.28615935744605
35373,10804,35373,8205,35373.0,28811.0,191.0339268274874,9.017558065062474,46.121903352901626
35373,10785,35373,8175,35373.0,28810.0,184.21980678363826,7.353842408551145,42.969244635949025
35373,10774,35373,8184,35373.0,28810.0,177.41840622537933,5.683483182896978,39.82812473733944
35383,10763,35383,8161,35383.0,28797.0,170.6298815083564,4.006398435857136,36.698474965499855
35383,10779,35383,8187,35383.0,28796.0,163.85138211678685,2.3222291019642824,33.580164597629306
35383,10858,35383,8183,35383.0,28778.0,157.0773752544485,0.6303461065334517,30.4729344297742
35383,10972,35383,8185,35383.0,28765.0,150.30089485975054,-1.0699582062238449,27.37624485963579
35383,10949,35383,8171,35383.0,28758.0,143.51577995876266,-2.7792946514011874,24.289040534684347
35383,10911,35383,8164,35383.0,28770.0,136.71876319693735,-4.498187759875165,21.20954895970968
35394,10868,35394,8192,35394.0,28774.0,129.91017525258172,-6.22716503790609,18.135295232671524
35394,10801,35394,8219,35394.0,28821.0,123.0933400999055,-7.966597072476816,15.063428077979012
35394,10718,35394,8193,35394.0,28776.0,116.27328441767241,-9.716203473375273,11.991276302055496
35394,10702,35394,8139,35394.0,28789.0,109.45509091675899,-11.474758906705716,8.916773509693257
35394,10680,35394,8143,35394.0,28765.0,102.64238315935717,-13.240488970875688,5.838492124776678
35394,10676,35394,8136,35394.0,28773.0,95.8364334860222,-15.011789659058621,2.7554891500942063
35404,10678,35404,8179,35404.0,28736.0,89.0358656121665,-16.78756418249499,-0.3328460587566724
35404,10695,35404,8160,35404.0,28755.0,82.23674138885627,-18.567001139949625,-3.426988519663098
35404,10820,35404,8141,35404.0,28731.0,75.43319366360458,-20.349219051125175,-6.527470260525774
35404,10851,35404,8144,35404.0,28741.0,68.61901009549962,-22.13323666774933,-9.634971711683676
35404,10827,35404,8135,35404.0,28725.0,61.7897896527553,-23.918190167926156,-12.750350287904467
35404,10790,35404,8140,35404.0,28715.0,54.944390951105845,-25.70347751790571,-15.874689111250177
35414,10723,35414,8172,35414.0,28727.0,48.08500472629595,-27.488702534610454,-19.009380014054756
35414,10629,35414,8182,35414.0,28783.0,41.21613581496399,-29.273327603667838,-22.156008061789777
35414,10594,35414,8145,35414.0,28726.0,34.342905397523,-31.05618280276765,-25.315845302664457
35414,10604,35414,8132,35414.0,28701.0,27.469325013454693,-32.83532726400442,-28.489469747150736
35414,10574,35414,8087,35414.0,28729.0,20.597290977635623,-34.608475305194375,-31.676989162097357
35414,10557,35414,8136,35414.0,28708.0,13.726250511532953,-36.37362514422199,-34.87837182794763
35425,10573,35425,8095,35425.0,28696.0,6.853037651130194,-38.129398501354274,-38.0934815352814
35425,10653,35425,8108,35425.0,28676.0,-0.027969273797680216,-39.875068889097136,-41.322156805205225
35425,10752,35425,8095,35425.0,28687.0,-6.923708765495462,-41.610602427313026,-44.56447195051612
35425,10707,35425,8089,35425.0,28685.0,-13.840364298167174,-43.33677798965424,-47.820896662046096
35425,10704,35425,8118,35425.0,28677.0,-20.781557316886904,-45.05524097482525,-51.09224281362697
35425,10667,35425,8140,35425.0,28662.0,-27.747733808118767,-46.76830449688137,-54.37959679598504
35435,10586,35435,8167,35435.0,28718.0,-34.73653184929998,-48.47836842847188,-57.684279854234774
