c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
414188,20546,414188.0,38350.0,414188.0,35486.0,-75.26996158079335,-298.9276861680099,-346.6883800445923
414188,20506,414188.0,38255.0,414188.0,35435.0,-83.22775224998891,-308.9644973607184,-358.6852481639167
414188,20486,414188.0,38206.0,414188.0,35393.0,-91.40141279641063,-319.22698386275744,-370.98049121049615
414188,20454,414188.0,38183.0,414188.0,35348.0,-99.77542746224583,-329.68776278612364,-383.55243504084007
414188,20449,414188.0,38149.0,414188.0,35341.0,-108.33512281314879,-340.32227350220796,-396.3807740317198
414188,20440,414188.0,38184.0,414188.0,35364.0,-117.06711733223366,-351.1095840267567,-409.44725252635743
414198,20465,414198.0,38204.0,414198.0,35368.0,-125.95945763837433,-362.0324938923591,-422.7356786703198
414198,20465,414198.0,38242.0,414198.0,35357.0,-135.0013790262323,-373.07691597144907,-436.2314493145184
414198,20472,414198.0,38243.0,414198.0,35374.0,-144.18281416589474,-384.2308292302928,-449.92104387468544
414198,20479,414198.0,38289.0,414198.0,35404.0,-153.49387697450672,-395.4831995330144,-463.7915341739742
414198,20472,414198.0,38316.0,414198.0,35394.0,-162.92441913302244,-406.8229053293087,-477.8298840600098
414198,20455,414198.0,38263.0,414198.0,35360.0,-172.46371016907267,-418.23769288507634,-492.02226183425614
414209,20417,414209.0,38205.0,414209.0,35312.0,-182.10039321844414,-429.71372806992656,-506.3538941137192
414209,20377,414209.0,38117.0,414209.0,35259.0,-191.82284633155572,-441.23628138733983,-520.8096275193415
414209,20371,414209.0,38111.0,414209.0,35237.0,-201.61985254989668,-452.79123503384494,-535.3749092710909
414209,20348,414209.0,38044.0,414209.0,35202.0,-211.4812411606217,-464.36661510094666,-550.0367621871612
414209,20329,414209.0,38076.0,414209.0,35211.0,-221.3983021602023,-475.95367378173137,-564.7844651533431
414209,20354,414209.0,38119.0,414209.0,35221.0,-231.36401270105907,-487.5472851792641,-579.6097897181012
414219,20377,414219.0,38130.0,414219.0,35217.0,-241.37293009398425,-499.14544250448125,-594.506762801195
414219,20352,414219.0,38129.0,414219.0,35226.0,-251.42066457717323,-510.74822717575665,-609.4711723226766
414219,20363,414219.0,38176.0,414219.0,35243.0,-261.50332665980307,-522.3568772494748,-624.5000223715432
414219,20395,414219.0,38243.0,414219.0,35269.0,-271.61714953880755,-533.9728094874525,-639.5908571112316
414219,20376,414219.0,38202.0,414219.0,35233.0,-281.7579993559623,-545.596277315412,-654.7409616248553
414219,20327,414219.0,38148.0,414219.0,35171.0,-291.92090901431243,-557.2253223518996,-669.9469153629962
414229,20298,414229.0,38061.0,414229.0,35171.0,-302.1001901908861,-568.8559504195683,-685.2048929113073
414229,20274,414229.0,38021.0,414229.0,35127.0,-312.29010751609826,-580.4834713883427,-700.5113499409697
414229,20268,414229.0,37961.0,414229.0,35098.0,-322.48557881252697,-592.104223831906,-715.86361686084
414229,20235,414229.0,37957.0,414229.0,35081.0,-332.6826222973775,-603.7170714393296,-731.260430631789
414229,20254,414229.0,37984.0,414229.0,35096.0,-342.878617688949,-615.3243130802082,-746.702352204795
414229,20242,414229.0,38039.0,414229.0,35092.0,-353.07238134267527,-626.9316726341822,-762.1917842744849
414240,20261,414240.0,38051.0,414240.0,35108.0,-363.2639806242323,-638.5473604153369,-777.7325852822919
414240,20262,414240.0,38045.0,414240.0,35105.0,-373.4543442254898,-650.1808151557402,-793.3295062521639
414240,20297,414240.0,38144.0,414240.0,35127.0,-383.6447190208113,-661.8416119909041,-808.9875758122234
414240,20275,414240.0,38186.0,414240.0,35137.0,-393.8359977277356,-673.5381455842438,-824.7114130214159
414240,20254,414240.0,38087.0,414240.0,35082.0,-404.02817637720665,-685.2760172716,-840.5045771289485
414240,20217,414240.0,37999.0,414240.0,35042.0,-414.22028965103283,-697.0574191260323,-856.369393270726
414250,20200,414250.0,37954.0,414250.0,34996.0,-424.41081599364895,-708.8823019916747,-872.3075029055663
414250,20165,414250.0,37909.0,414250.0,34982.0,-434.598259086559,-720.7503175680317,-888.3207645213216
414250,20150,414250.0,37847.0,414250.0,34950.0,-444.78171954532553,-732.6624680229464,-904.412012782848
414250,20148,414250.0,37858.0,414250.0,34952.0,-454.96136783603856,-744.6223740749219,-920.5855222473813
414250,20162,414250.0,37916.0,414250.0,34952.0,-465.138642371157,-756.6369753106533,-936.8471694762877
414250,20168,414250.0,37930.0,414250.0,34984.0,-475.31605135439685,-768.7161890618423,-953.2042124533791
414260,20160,414260.0,37954.0,414260.0,34962.0,-485.4967280859774,-780.8717765369298,-969.6647033122139
414260,20176,414260.0,38010.0,414260.0,34967.0,-495.68399261766643,-793.1160675365869,-986.2368397250984
414260,20190,414260.0,38019.0,414260.0,34995.0,-505.8809257349711,-805.4606587431651,-1002.9284489785628
414260,20163,414260.0,38035.0,414260.0,34999.0,-516.0898802892759,-817.9150953234683,-1019.7463757987304
414260,20132,414260.0,37913.0,414260.0,34912.0,-526.3121908464273,-830.4860636765077,-1036.6958566541791
414260,20097,414260.0,37888.0,414260.0,34865.0,-536.5483891835576,-843.1777324957161,-1053.7805967147538
414271,20084,414271.0,37838.0,414271.0,34859.0,-546.798792023528,-855.9930699078564,-1071.0036889301323
414271,20076,414271.0,37781.0,414271.0,34810.0,-557.0640643348504,-868.9352987183161,-1088.3685838243464
414271,20066,414271.0,37787.0,414271.0,34771.0,-567.345519381023,-882.0090747825286,-1105.879745622551
414271,20058,414271.0,37778.0,414271.0,34789.0,-577.64520001489,-895.2212730283277,-1123.5432171942607
414271,20071,414271.0,37831.0,414271.0,34818.0,-587.9658403358382,-908.5811077642807,-1141.366840694942
414271,20056,414271.0,37800.0,414271.0,34808.0,-598.3106955025125,-922.0996032381413,-1159.3597775339354
414281,20081,414281.0,37868.0,414281.0,34806.0,-608.6832497339827,-935.7887804446307,-1177.5317078773687
414281,20073,414281.0,37900.0,414281.0,34842.0,-619.0868327545747,-949.6606589988643,-1195.8921525921478
414281,20101,414281.0,37948.0,414281.0,34826.0,-629.524128386277,-963.7258652596607,-1214.449783762671
414281,20053,414281.0,37862.0,414281.0,34798.0,-639.9966783980301,-977.9921822694233,-1233.2117275291434
414281,20002,414281.0,37802.0,414281.0,34744.0,-650.5047559181963,-992.4640226846382,-1252.1833183570295
414281,19986,414281.0,37767.0,414281.0,34703.0,-661.0478896572656,-1007.1432049083234,-1271.3685210456902
414291,19971,414291.0,37719.0,414291.0,34663.0,-671.6256807281816,-1022.0302834972285,-1290.7707572134582
414291,19946,414291.0,37656.0,414291.0,34648.0,-682.238383879657,-1037.1257659396924,-1310.3937435172857
414291,19930,414291.0,37665.0,414291.0,34621.0,-692.8872612409816,-1052.43120159897,-1330.2420804231804
414291,19952,414291.0,37687.0,414291.0,34628.0,-703.5748279627783,-1067.9498918471927,-1350.321524613384
414291,19961,414291.0,37728.0,414291.0,34641.0,-714.3047853148363,-1083.6867234953972,-1370.638908448534
414291,19956,414291.0,37704.0,414291.0,34655.0,-725.081572354637,-1099.6472630256621,-1391.2016354679845
414302,19966,414302.0,37730.0,414302.0,34657.0,-735.9098315146217,-1115.836787396771,-1412.0168609932912
414302,19993,414302.0,37810.0,414302.0,34665.0,-746.7939154662512,-1132.2594030347207,-1433.0906206876584
414302,19962,414302.0,37802.0,414302.0,34622.0,-757.7373298858298,-1148.916779303058,-1454.4271314827674
414302,19932,414302.0,37698.0,414302.0,34619.0,-768.7423426920043,-1165.8068525102221,-1476.028438725003
414302,19917,414302.0,37625.0,414302.0,34575.0,-779.8100895113668,-1182.9237672572967,-1497.8944094080134
414302,19869,414302.0,37586.0,414302.0,34512.0,-790.9410457794986,-1200.2592595855976,-1520.0230026172658
414312,19867,414312.0,37526.0,414312.0,34485.0,-802.1355983040414,-1217.8043791711602,-1542.4108900372053
414312,19830,414312.0,37478.0,414312.0,34467.0,-813.3945907951074,-1235.5508809575276,-1565.054240394072
