c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
103898,8712,103898.0,43743.0,103898.0,57236.0,-231.36112097259814,-20.57660352963692,-68.58685298570741
103898,8729,103898.0,43761.0,103898.0,57245.0,-224.33519546429196,-17.90116910701009,-58.96048203162461
103898,8733,103898.0,43722.0,103898.0,57215.0,-216.91881805821833,-15.050201565399938,-49.013419498445614
103898,8713,103898.0,43655.0,103898.0,57232.0,-209.11300028813326,-12.022691899473429,-38.75989427923756
103898,8715,103898.0,43674.0,103898.0,57234.0,-200.91987392127987,-8.819744277087224,-28.21666558547787
103898,8764,103898.0,43761.0,103898.0,57292.0,-192.3430481917938,-5.445441723578654,-17.40325889287297
103909,8764,103909.0,43807.0,103909.0,57302.0,-183.38765168586787,-1.9065477130465283,-6.341735606232618
103909,8799,103909.0,43782.0,103909.0,57335.0,-174.06001221405197,1.78877635150603,4.9438402664730745
103909,8766,103909.0,43752.0,103909.0,57326.0,-164.36737317738564,5.631890181705842,16.427868799835323
103909,8769,103909.0,43732.0,103909.0,57321.0,-154.31797608875516,9.613512005680356,28.08334581701328
103909,8791,103909.0,43746.0,103909.0,57365.0,-143.9214665139119,13.722982561005225,39.881698814114316
103909,8819,103909.0,43813.0,103909.0,57391.0,-133.1891880604664,17.9478443971259,51.79273276199379
103919,8838,103919.0,43858.0,103919.0,57474.0,-122.13407268256455,22.274285263266066,63.78508335859155
103919,8842,103919.0,43833.0,103919.0,57459.0,-110.77034549366957,26.68819706297152,75.8271159682823
103919,8844,103919.0,43778.0,103919.0,57432.0,-99.11338770106701,31.175834906646102,87.88764997382603
103919,8848,103919.0,43771.0,103919.0,57422.0,-87.17986445795276,35.723406862880466,99.93585387465669
103919,8888,103919.0,43811.0,103919.0,57489.0,-74.98793702139204,40.316169592449256,111.94060962838248
103919,8932,103919.0,43890.0,103919.0,57549.0,-62.55720654672305,44.938179790006586,123.8703975474142
