c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138938,6371,138938,24608,138938.0,63466.0,-114.27718881694074,-137.09473194313045,-343.1663042309906
138938,6318,138938,24450,138938.0,63331.0,-123.09270672085893,-147.04366412846906,-359.9068129933697
138938,6284,138938,24415,138938.0,63260.0,-132.09005268904565,-157.14628396899536,-377.0655374472609
138938,6300,138938,24474,138938.0,63324.0,-141.25464424262356,-167.37488501557675,-394.6157027885876
138948,6327,138948,24518,138948.0,63392.0,-150.57326246783038,-177.70568540746552,-412.53351701896077
138948,6333,138948,24572,138948.0,63393.0,-160.03374517747295,-188.1179464660565,-430.7972006444136
138948,6323,138948,24513,138948.0,63359.0,-169.62430091660764,-198.59240814732317,-449.3853471719028
138948,6254,138948,24415,138948.0,63232.0,-179.3331322772563,-209.1105254247411,-468.2762523119241
138948,6246,138948,24394,138948.0,63196.0,-189.14875139077162,-219.65518417984208,-487.44876101566024
138948,6263,138948,24484,138948.0,63308.0,-199.0606358511312,-230.21193593059635,-506.88361713719024
138959,6301,138959,24578,138959.0,63336.0,-209.05940583142876,-240.7689346467256,-526.5634950517648
138959,6294,138959,24528,138959.0,63285.0,-219.1362414373878,-251.3152401864738,-546.4715175543627
138959,6241,138959,24444,138959.0,63229.0,-229.28217403094206,-261.8392534355357,-566.5900536253731
138959,6190,138959,24348,138959.0,63107.0,-239.48806939778217,-272.32894296494277,-586.9010229940947
138959,6173,138959,24316,138959.0,63086.0,-249.74540423542334,-282.7736106171873,-607.3873943924908
138959,6207,138959,24426,138959.0,63163.0,-260.04710164141295,-293.16556527715574,-628.0346638390685
138969,6248,138969,24481,138969.0,63197.0,-270.38760221755587,-303.5001489196861,-648.8309393861261
138969,6224,138969,24476,138969.0,63218.0,-280.7621103077454,-313.7741131590004,-669.765521495614
138969,6195,138969,24386,138969.0,63107.0,-291.1658088539705,-323.98404436456104,-690.8273758072677
138969,6150,138969,24317,138969.0,62992.0,-301.59377561974645,-334.1263228725462,-712.0049860925267
138969,6142,138969,24330,138969.0,63022.0,-312.04152606191496,-344.19837760747134,-733.2877375082728
138969,6188,138969,24430,138969.0,63119.0,-322.50551315622545,-354.19965772255864,-754.6671305905032
138979,6204,138979,24486,138979.0,63163.0,-332.98294077677474,-364.130997824696,-776.1360960459107
138979,6160,138979,24410,138979.0,63070.0,-343.47101824108336,-373.992846311423,-797.6870339285658
138979,6113,138979,24293,138979.0,62932.0,-353.9665586956514,-383.78431171939724,-819.3108581761427
138979,6085,138979,24244,138979.0,62875.0,-364.4664253415582,-393.5041886910244,-840.9981962310075
138979,6096,138979,24310,138979.0,62937.0,-374.96832776558136,-403.1528586297965,-862.7414528981781
138979,6115,138979,24377,138979.0,62988.0,-385.4712014824968,-412.73303325455873,-884.5355895376798
138990,6152,138990,24397,138990.0,62972.0,-395.9748651778684,-422.24872379910937,-906.3771169459653
138990,6119,138990,24360,138990.0,62913.0,-406.47922282068794,-431.70362774725055,-928.2627227458413
138990,6061,138990,24252,138990.0,62805.0,-416.9837209849582,-441.10045280095125,-950.1890066758397
138990,6032,138990,24209,138990.0,62799.0,-427.4876381480324,-450.4417567519567,-972.1534918581283
138990,6068,138990,24309,138990.0,62856.0,-437.99084171274654,-459.7313924893126,-994.1557606510652
138990,6089,138990,24395,138990.0,62916.0,-448.4940413872958,-468.97472658499476,-1016.197318793101
139000,6077,139000,24343,139000.0,62890.0,-458.9982576286571,-478.1771334984521,-1038.280117023589
139000,6041,139000,24283,139000.0,62791.0,-469.5042033131958,-487.34250563553906,-1060.405162937607
139000,5984,139000,24150,139000.0,62684.0,-480.0122929790313,-496.4734769988997,-1082.5726315310494
139000,5955,139000,24158,139000.0,62666.0,-490.5233544942617,-505.5731963802744,-1104.7834359511012
139000,6015,139000,24271,139000.0,62731.0,-501.03945018133726,-514.6469784015662,-1127.0407709983397
139000,6037,139000,24334,139000.0,62782.0,-511.5639331179366,-523.70210200974,-1149.3501439274667
139009,6030,139009,24302,139009.0,62766.0,-522.1006049824518,-532.7459383897926,-1171.7179410108781
139009,5996,139009,24211,139009.0,62645.0,-532.6528475655191,-541.7844398884426,-1194.1500657002857
139009,5955,139009,24127,139009.0,62596.0,-543.2234664904477,-550.8224387056694,-1216.6520384850692
139009,5937,139009,24179,139009.0,62622.0,-553.8151843009448,-559.8652006617544,-1239.230206129604
139009,5984,139009,24288,139009.0,62705.0,-564.4311777301612,-568.9193477663164,-1261.8923379188884
139009,5987,139009,24299,139009.0,62711.0,-575.0750094455476,-577.9919291107248,-1284.6466332715022
139020,5976,139020,24240,139020.0,62665.0,-585.7499824997336,-587.0886193565616,-1307.500010675882
139020,5912,139020,24112,139020.0,62544.0,-596.4586762712615,-596.2130764188465,-1330.4572885790994
139020,5887,139020,24082,139020.0,62461.0,-607.2032263853571,-605.368186703601,-1353.52203309462
139020,5913,139020,24129,139020.0,62490.0,-617.9860308052165,-614.5579633017246,-1376.6983559673047
139020,5917,139020,24214,139020.0,62542.0,-628.8100705081963,-623.7882534208634,-1399.9920072605946
139020,5941,139020,24237,139020.0,62602.0,-639.6785390848181,-633.0656741106909,-1423.409746714823
139030,5914,139030,24170,139030.0,62500.0,-650.5941879343254,-642.3959478332127,-1446.9577120139122
139030,5857,139030,24128,139030.0,62393.0,-661.5589758615339,-651.7832040365831,-1470.6405949813457
139030,5840,139030,24061,139030.0,62380.0,-672.5743811869023,-661.2306452276634,-1494.462519995113
139030,5856,139030,24135,139030.0,62456.0,-683.6420585797325,-670.7416788738599,-1518.4283333315693
139030,5907,139030,24255,139030.0,62516.0,-694.7640169085473,-680.3200963956772,-1542.5434273091269
139030,5891,139030,24195,139030.0,62502.0,-705.9419841408801,-689.9686819066599,-1566.8120080094159
139040,5838,139040,24098,139040.0,62365.0,-717.1766149173231,-699.687701595051,-1591.235490148848
139040,5785,139040,24006,139040.0,62283.0,-728.4674595176784,-709.4752083412445,-1615.8126197377483
139040,5758,139040,23988,139040.0,62238.0,-739.8137994307526,-719.3289672811629,-1640.5411969843776
139040,5799,139040,24065,139040.0,62327.0,-751.2155683789558,-729.2481911323027,-1665.4197015671068
139040,5824,139040,24131,139040.0,62377.0,-762.6735128976698,-739.2336626624992,-1690.4472620665683
139040,5813,139040,24163,139040.0,62340.0,-774.1885175914406,-749.2862503951566,-1715.6220748375517
139051,5783,139051,24054,139051.0,62243.0,-785.7608498945845,-759.40519771454,-1740.9399581174207
139051,5738,139051,23981,139051.0,62161.0,-797.3900164257941,-769.5877881427643,-1766.3944580427042
139051,5728,139051,23996,139051.0,62178.0,-809.07522283503,-779.8305487137461,-1791.978140415017
139051,5781,139051,24075,139051.0,62251.0,-820.8158300396012,-790.1303826675239,-1817.6834433681447
139051,5791,139051,24120,139051.0,62274.0,-832.6111208317388,-800.4841765153928,-1843.5019720527005
139051,5751,139051,24069,139051.0,62201.0,-844.4594962799001,-810.8873126302149,-1869.4228771059618
139061,5710,139061,23975,139061.0,62081.0,-856.3580186969325,-821.3327610884351,-1895.4320555635347
139061,5675,139061,23890,139061.0,62006.0,-868.3027768037509,-831.8118113473431,-1921.5130953590817
139061,5678,139061,23918,139061.0,62041.0,-880.2896279622311,-842.31586924057,-1947.6490794923825
139061,5710,139061,24028,139061.0,62115.0,-892.3146092948999,-852.8376054668036,-1973.8234472452573
139061,5734,139061,24072,139061.0,62126.0,-904.3736211721927,-863.3702153001288,-2000.0190609970941
139061,5697,139061,24048,139061.0,62074.0,-916.4616260441494,-873.9054211653342,-2026.216454612996
139071,5644,139071,23890,139071.0,61975.0,-928.5721580766981,-884.4322056063228,-2052.3929133028323
139071,5608,139071,23867,139071.0,61906.0,-940.6976739728117,-894.937549867783,-2078.5230696048325
139071,5657,139071,23950,139071.0,61978.0,-952.8302979427133,-905.4081767004213,-2104.5801804265116
139071,5673,139071,24040,139071.0,62061.0,-964.9619917003216,-915.8310049258132,-2130.5363860293196
139071,5673,139071,24029,139071.0,62037.0,-977.0838866555969,-926.1916443123623,-2156.3612394716806
139071,5633,139071,23926,139071.0,61909.0,-989.1855050821739,-936.4726796885178,-2182.0199806883365
139082,5582,139082,23824,139082.0,61831.0,-1001.254617305288,-946.6536551612627,-2207.473480757929
139082,5561,139082,23834,139082.0,61775.0,-1013.277810127306,-956.7127468602096,-2232.6798493864403
139082,5599,139082,23843,139082.0,61857.0,-1025.2411840497464,-966.628471475352,-2257.596043359211
139082,5598,139082,23926,139082.0,61881.0,-1037.1304592750282,-976.3800753844424,-2282.1780222450584
139082,5589,139082,23970,139082.0,61915.0,-1048.9304787926376,-985.9465119673307,-2306.3794082179047
139082,5564,139082,23864,139082.0,61757.0,-1060.6247464851517,-995.3049265552017,-2330.150007320519
139092,5510,139092,23786,139092.0,61716.0,-1072.1954500129802,-1004.4301816623553,-2353.435729682169
139092,5511,139092,23794,139092.0,61733.0,-1083.6239487729397,-1013.295975717303,-2376.179827340454
139092,5556,139092,23899,139092.0,61778.0,-1094.8912296668611,-1021.8760302147791,-2398.3237352934098
139092,5571,139092,23931,139092.0,61844.0,-1105.9776715474409,-1030.1436806112692,-2419.8063984929804
139092,5548,139092,23885,139092.0,61772.0,-1116.8622140730695,-1038.0702947735317,-2440.5626816509794
139092,5486,139092,23773,139092.0,61635.0,-1127.521815976977,-1045.624393816224,-2460.5224504384205
139102,5452,139102,23719,139102.0,61579.0,-1137.931794360859,-1052.7725427594942,-2479.611487802683
139102,5453,139102,23763,139102.0,61625.0,-1148.0667158880217,-1059.4811661012368,-2497.7534381719875
139102,5509,139102,23817,139102.0,61683.0,-1157.900954276805,-1065.7175509937915,-2514.870752138977
139102,5514,139102,23885,139102.0,61705.0,-1167.4083421987104,-1071.4492296124404,-2530.8838751861517
139102,5500,139102,23820,139102.0,61623.0,-1176.561276610049,-1076.6425006712893,-2545.7098364824756
139102,5442,139102,23720,139102.0,61526.0,-1185.330180948392,-1081.2616656005139,-2559.2618795439685
139113,5414,139113,23683,139113.0,61481.0,-1193.6838067355125,-1085.269919484539,-2571.450677773517
139113,5439,139113,23789,139113.0,61546.0,-1201.5899890100095,-1088.6309346172297,-2582.1860448636535
139113,5479,139113,23865,139113.0,61618.0,-1209.015986394456,-1091.3091546084813,-2591.377485507719
