c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207167.0,8080.0,207167.0,16057.0,207167.0,35852.0,530.4140777510696,464.41662917376505,912.0215942681698
207167.0,8038.0,207167.0,15984.0,207167.0,35779.0,526.9022567644981,459.7740371207855,901.7809066595701
207167.0,8030.0,207167.0,15914.0,207167.0,35747.0,523.127252167367,454.86827315516746,891.0639008570929
207167.0,8020.0,207167.0,15929.0,207167.0,35700.0,519.0969394939845,449.7183087091082,879.8966457716709
207167.0,7999.0,207167.0,15924.0,207167.0,35721.0,514.8189272508558,444.34103029761474,868.304236889009
207167.0,8021.0,207167.0,15959.0,207167.0,35718.0,510.3003857108929,438.75099297127656,856.3105105793609
207178.0,8041.0,207178.0,15950.0,207178.0,35717.0,505.54814688716755,432.9608672931621,843.9383692865451
207178.0,8039.0,207178.0,15959.0,207178.0,35640.0,500.56918068183927,426.9820693854421,831.2102108875206
207178.0,8039.0,207178.0,15957.0,207178.0,35662.0,495.3712061575113,420.8252700669708,818.1479231632416
207178.0,8039.0,207178.0,16014.0,207178.0,35700.0,489.9631300893415,414.50088388643155,804.77276846613
207178.0,8021.0,207178.0,16042.0,207178.0,35660.0,484.35529837175625,408.0199060087985,791.1058418831724
207178.0,7973.0,207178.0,15934.0,207178.0,35636.0,478.5595195099776,401.3949083971456,777.1687824477216
207188.0,7950.0,207188.0,15875.0,207188.0,35563.0,472.58868784298215,394.64014258917166,762.9839069814477
207188.0,7920.0,207188.0,15835.0,207188.0,35493.0,466.45609111388285,387.77031558430457,748.5735574158516
207188.0,7889.0,207188.0,15844.0,207188.0,35526.0,460.17468934397243,380.7990583433922,733.9590656162718
207188.0,7867.0,207188.0,15827.0,207188.0,35460.0,453.75646577371833,373.73809425093856,719.1600311495412
207188.0,7893.0,207188.0,15830.0,207188.0,35493.0,447.2119344537342,366.59708889573403,704.19418046271
207188.0,7923.0,207188.0,15867.0,207188.0,35496.0,440.5501359896585,359.3838529499003,689.0776105353409
207198.0,7911.0,207198.0,15851.0,207198.0,35455.0,433.7792384719782,352.1048472345367,673.8253152359066
207198.0,7880.0,207198.0,15854.0,207198.0,35432.0,426.90721914572293,344.76582174063435,658.4516336274447
207198.0,7931.0,207198.0,15870.0,207198.0,35466.0,419.9421813263806,337.37230911161816,642.9703869975647
207198.0,7902.0,207198.0,15881.0,207198.0,35469.0,412.8926138980163,329.9300857177991,627.395220184311
207198.0,7865.0,207198.0,15866.0,207198.0,35407.0,405.7677469249909,322.4457458397592,611.7403126824343
207198.0,7830.0,207198.0,15815.0,207198.0,35400.0,398.57750323841924,314.9270771110059,596.0207993429724
207209.0,7810.0,207209.0,15777.0,207209.0,35318.0,391.33192022616004,307.3828423751074,580.2525622355893
207209.0,7797.0,207209.0,15720.0,207209.0,35264.0,384.04050696259606,299.8219717530727,564.4515530530713
207209.0,7775.0,207209.0,15720.0,207209.0,35228.0,376.7118237259243,292.25253093749745,548.6327831601457
207209.0,7771.0,207209.0,15683.0,207209.0,35230.0,369.35323705306956,284.68087827348114,532.809381473383
207209.0,7774.0,207209.0,15745.0,207209.0,35269.0,361.9708136287671,277.11128762298057,516.9923288294818
207209.0,7780.0,207209.0,15767.0,207209.0,35248.0,354.56943776388493,269.5462654882443,501.19103435851184
207219.0,7806.0,207219.0,15730.0,207219.0,35195.0,347.153206901022,261.98744284915756,485.41415447430484
207219.0,7784.0,207219.0,15725.0,207219.0,35157.0,339.7260220073004,254.43629486926045,469.6698305104949
207219.0,7807.0,207219.0,15777.0,207219.0,35255.0,332.292162243314,246.89439496582838,453.96552279736113
207219.0,7757.0,207219.0,15779.0,207219.0,35213.0,324.8566616356092,239.36385886885586,438.3084628820791
207219.0,7727.0,207219.0,15729.0,207219.0,35167.0,317.4253338028759,231.84811014834452,422.7066710207233
207219.0,7703.0,207219.0,15687.0,207219.0,35099.0,310.0043514783762,224.3521596681989,407.16932648633974
207229.0,7675.0,207229.0,15629.0,207229.0,35061.0,302.59960932187414,216.8819961311528,391.7061119883175
207229.0,7666.0,207229.0,15568.0,207229.0,35041.0,295.2161794543626,209.44341539910238,376.32625234830346
207229.0,7638.0,207229.0,15606.0,207229.0,35035.0,287.85792226455413,202.04079028906085,361.03790280747785
207229.0,7666.0,207229.0,15594.0,207229.0,35024.0,280.5272664913261,194.676389808417,345.8480546376164
207229.0,7674.0,207229.0,15627.0,207229.0,34946.0,273.2253163057208,187.3505289904952,330.7626380410675
207229.0,7699.0,207229.0,15671.0,207229.0,34940.0,265.95239458828996,180.06229224087195,315.7863141554851
207240.0,7670.0,207240.0,15589.0,207240.0,34907.0,258.70878558009593,172.8104314997712,300.9219660865982
207240.0,7676.0,207240.0,15640.0,207240.0,35000.0,251.49526809297777,165.5939090220894,286.1705444991578
207240.0,7664.0,207240.0,15713.0,207240.0,35018.0,244.3133360485112,158.4122102729662,271.5318970403148
207240.0,7624.0,207240.0,15668.0,207240.0,34940.0,237.16523785370504,151.2662121610668,257.0062496569167
207240.0,7614.0,207240.0,15616.0,207240.0,34931.0,230.05380420498284,144.15916948894346,242.59510127461908
207240.0,7554.0,207240.0,15518.0,207240.0,34875.0,222.98200151172608,137.09656487674664,228.30106028716557
207250.0,7560.0,207250.0,15469.0,207250.0,34827.0,215.95231405988983,130.084688488579,214.12722181924119
207250.0,7527.0,207250.0,15435.0,207250.0,34825.0,208.96615921976445,123.12878926422098,200.0764924461771
207250.0,7528.0,207250.0,15504.0,207250.0,34793.0,202.02351168513417,116.23176278560516,186.15107881045503
207250.0,7556.0,207250.0,15522.0,207250.0,34778.0,195.1228156245043,109.39405356659711,172.3522918200904
207250.0,7581.0,207250.0,15539.0,207250.0,34754.0,188.2613385441377,102.61461179798806,158.6804902915287
207250.0,7569.0,207250.0,15510.0,207250.0,34713.0,181.4359486902287,95.891991824267,145.13496971302357
207260.0,7559.0,207260.0,15488.0,207260.0,34729.0,174.64384656297085,89.22487395035017,131.7137920645241
207260.0,7573.0,207260.0,15548.0,207260.0,34768.0,167.8829410014743,82.61213710658001,118.41387443388714
207260.0,7559.0,207260.0,15555.0,207260.0,34761.0,161.15208038524935,76.05319677743188,105.23170277436168
207260.0,7510.0,207260.0,15510.0,207260.0,34732.0,154.45121793661713,69.54876607024028,92.16433090224052
207260.0,7479.0,207260.0,15454.0,207260.0,34666.0,147.78118736214628,63.101206161440814,79.209865462788
207260.0,7442.0,207260.0,15397.0,207260.0,34633.0,141.14300788606516,56.71388933267713,66.36712124722294
207271.0,7425.0,207271.0,15386.0,207271.0,34628.0,134.53705863805106,50.38998331536175,53.634875945680506
207271.0,7441.0,207271.0,15391.0,207271.0,34606.0,127.96248259088145,44.1314319291273,41.01136994120179
207271.0,7442.0,207271.0,15392.0,207271.0,34610.0,121.41705681457518,37.938583210532556,28.494249508197868
207271.0,7449.0,207271.0,15387.0,207271.0,34581.0,114.8975027646548,31.81033545470791,16.08073693012375
207271.0,7474.0,207271.0,15418.0,207271.0,34549.0,108.40000596525408,25.744479384081103,3.767758450369456
207271.0,7474.0,207271.0,15416.0,207271.0,34516.0,101.92084804297957,19.73818992571296,-8.448182351685887
207281.0,7452.0,207281.0,15427.0,207281.0,34536.0,95.45702777483734,13.78865551522324,-20.571286503365286
207281.0,7437.0,207281.0,15470.0,207281.0,34618.0,89.00657174838136,7.893753938541863,-32.60629372558276
207281.0,7440.0,207281.0,15425.0,207281.0,34580.0,82.56850436661853,2.0527707407389357,-44.557431418008605
207281.0,7398.0,207281.0,15360.0,207281.0,34492.0,76.14272819715046,-3.7332100820748906,-56.42725956208449
207281.0,7369.0,207281.0,15294.0,207281.0,34457.0,69.72979648165636,-9.461864371252489,-68.21666410335047
207281.0,7350.0,207281.0,15321.0,207281.0,34401.0,63.33042400700651,-15.130898330806133,-79.92591981269277
207291.0,7318.0,207291.0,15261.0,207291.0,34429.0,56.944882030526855,-20.739096396333878,-91.55576014335338
207291.0,7315.0,207291.0,15310.0,207291.0,34413.0,50.57248163599195,-26.28677414711609,-103.10778624245677
207291.0,7370.0,207291.0,15324.0,207291.0,34408.0,44.21135800466391,-31.775727363353383,-114.58425556757788
207291.0,7377.0,207291.0,15317.0,207291.0,34345.0,37.85889358149848,-37.20870150708538,-125.98779849062623
207291.0,7350.0,207291.0,15269.0,207291.0,34379.0,31.512596028934695,-42.58883489014579,-137.32146352070208
207291.0,7343.0,207291.0,15319.0,207291.0,34359.0,25.170686311870895,-47.91955507033151,-148.5887935824794
207302.0,7348.0,207302.0,15367.0,207302.0,34396.0,18.832188539434696,-53.2044265008837,-159.7934961374001
207302.0,7320.0,207302.0,15340.0,207302.0,34382.0,12.496920285127885,-58.44635233565555,-170.93874549542966
207302.0,7321.0,207302.0,15363.0,207302.0,34375.0,6.165512929971783,-63.64659776631947,-182.02643493705216
207302.0,7291.0,207302.0,15264.0,207302.0,34271.0,-0.1606593920735122,-68.80438561077733,-193.05683794241668
207302.0,7259.0,207302.0,15185.0,207302.0,34246.0,-6.47969690987145,-73.9174445779434,-204.02910952754064
207302.0,7216.0,207302.0,15187.0,207302.0,34258.0,-12.789638622296252,-78.9834616597239,-214.942299837434
207312.0,7214.0,207312.0,15194.0,207312.0,34190.0,-19.089149770563836,-84.00151387119956,-225.79604422475677
207312.0,7252.0,207312.0,15200.0,207312.0,34231.0,-25.37800947820176,-88.97256468017906,-236.59079020482739
207312.0,7243.0,207312.0,15242.0,207312.0,34194.0,-31.656965525612804,-93.89914050252122,-247.32781426488532
207312.0,7244.0,207312.0,15187.0,207312.0,34175.0,-37.92715459580643,-98.78472149823006,-258.00908518346614
207312.0,7228.0,207312.0,15201.0,207312.0,34171.0,-44.1896404515802,-103.63334038342225,-268.63718024536877
