c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
69448,19245,69448.0,65510.0,69448.0,96076.0,367.9617280941517,503.84071723331317,431.5585335302971
69448,19245,69448.0,65496.0,69448.0,96126.0,367.87567671826116,502.4319057031608,433.4197241726982
69459,19254,69459.0,65589.0,69459.0,96185.0,367.79289208816846,501.1276081792499,435.29247885262845
69459,19275,69459.0,65557.0,69459.0,96102.0,367.71695670266354,499.9345917654923,437.1748288863793
69459,19250,69459.0,65560.0,69459.0,96061.0,367.65162628846093,498.85985156633757,439.0663572460862
69459,19211,69459.0,65469.0,69459.0,96088.0,367.6009426111507,497.9109103275817,440.96750190784115
69459,19213,69459.0,65437.0,69459.0,96055.0,367.5688724582283,497.0951024482541,442.8786667011617
69459,19201,69459.0,65429.0,69459.0,96050.0,367.5587317013618,496.41826913004354,444.7997811715181
69469,19185,69469.0,65390.0,69469.0,95990.0,367.5727788203676,495.88360714424334,446.72988244644546
69469,19193,69469.0,65358.0,69469.0,96055.0,367.61195754918117,495.4908551998532,448.66649650461403
69469,19214,69469.0,65419.0,69469.0,96044.0,367.67578047801857,495.23565794704456,450.6053146940782
69469,19212,69469.0,65470.0,69469.0,96047.0,367.762501311348,495.1095407042198,452.54041247446054
69469,19219,69469.0,65473.0,69469.0,96076.0,367.8694624653413,495.10082491102884,454.4646118473705
69469,19235,69469.0,65549.0,69469.0,96072.0,367.9934075884773,495.1959442349419,456.369795406523
69479,19240,69479.0,65595.0,69479.0,96104.0,368.13079348721885,495.3808115847503,458.24730174985314
69479,19236,69479.0,65576.0,69479.0,96137.0,368.2781298868861,495.64228601389743,460.08845310014186
69479,19216,69479.0,65500.0,69479.0,96072.0,368.43217107270465,495.9691247373239,461.8851162420363
69479,19194,69479.0,65455.0,69479.0,96051.0,368.58979357513005,496.3516496376984,463.6297971903587
69479,19191,69479.0,65424.0,69479.0,96047.0,368.7476065496046,496.78041194606703,465.3150189098381
69479,19189,69479.0,65396.0,69479.0,96029.0,368.9015458951807,497.2447580003775,466.93255302076057
69490,19172,69490.0,65357.0,69490.0,96016.0,369.04662828846847,497.7317011485411,468.4729145307638
69490,19180,69490.0,65455.0,69490.0,96066.0,369.17679646037766,498.2251932465833,469.9250834379408
69490,19196,69490.0,65456.0,69490.0,96072.0,369.2848477824152,498.706227229658,471.27663160052236
69490,19210,69490.0,65507.0,69490.0,96081.0,369.36260825400035,499.15383602932064,472.5142795095845
69490,19215,69490.0,65532.0,69490.0,96085.0,369.40134200032594,499.5463529902586,473.62445635411655
69490,19245,69490.0,65606.0,69490.0,96146.0,369.39223059294056,499.86266124160665,474.5937464222753
69500,19244,69500.0,65617.0,69500.0,96133.0,369.326884015517,500.0836067397896,475.4095258233608
69500,19233,69500.0,65529.0,69500.0,96095.0,369.19780867272516,500.1931891127034,476.0606118665136
69500,19186,69500.0,65429.0,69500.0,96085.0,368.9985311722275,500.17850893294406,476.53732445158903
69500,19178,69500.0,65407.0,69500.0,96054.0,368.72318991365677,500.02816635634736,476.8309497119012
69500,19188,69500.0,65426.0,69500.0,96033.0,368.36590027771354,499.7303035274634,476.93304739597994
69500,19165,69500.0,65389.0,69500.0,96023.0,367.9203631121105,499.2715195370445,476.83478845909036
69510,19165,69510.0,65442.0,69510.0,96060.0,367.37971670905495,498.63662392695517,476.52649111359426
69510,19172,69510.0,65456.0,69510.0,96053.0,366.7364159417778,497.8088547916166,475.99762680461595
69510,19173,69510.0,65434.0,69510.0,96076.0,365.98220758785783,496.7704364913845,475.23721749729526
69510,19184,69510.0,65511.0,69510.0,96070.0,365.10828505337815,495.5031941894765,474.2342927199023
69510,19205,69510.0,65524.0,69510.0,96069.0,364.10557823874103,493.9892763673265,472.9782326694586
69510,19214,69510.0,65597.0,69510.0,96138.0,362.9651909663318,492.21231980242635,471.45910295919
69521,19206,69521.0,65574.0,69521.0,96122.0,361.6789012585982,490.1588653126036,469.66827882766717
69521,19190,69521.0,65441.0,69521.0,96044.0,360.2394677336773,487.81919302793784,467.59909603699515
69521,19170,69521.0,65450.0,69521.0,96019.0,358.64058452844284,485.18675396166753,465.24666055664864
69521,19162,69521.0,65393.0,69521.0,96024.0,356.8765740244968,482.2566353203218,462.60685772342
69521,19145,69521.0,65330.0,69521.0,95985.0,354.94201590677244,479.0241283016685,459.67549397582906
69521,19143,69521.0,65298.0,69521.0,96019.0,352.83143618769805,475.483445104147,456.44790724172356
69531,19149,69531.0,65352.0,69531.0,95985.0,350.5391191098198,471.62655091434823,452.9188558902493
69531,19157,69531.0,65414.0,69531.0,96019.0,348.0591271000112,467.4429124616321,449.08259533097555
69531,19154,69531.0,65405.0,69531.0,96017.0,345.38552086257914,462.92046088463496,444.93311814117817
69531,19157,69531.0,65422.0,69531.0,96000.0,342.5126280195077,458.04689903910656,440.4645052839355
69531,19173,69531.0,65557.0,69531.0,96077.0,339.43529167728985,452.8108456630765,435.6713319389587
69531,19165,69531.0,65513.0,69531.0,96088.0,336.1491699268183,447.2033409145617,430.54937501985535
69541,19139,69541.0,65432.0,69541.0,96010.0,332.65099536915375,441.2193392367977,425.096563851499
69541,19127,69541.0,65405.0,69541.0,95975.0,328.9385499327278,434.8578582163473,419.3132371507684
69541,19109,69541.0,65267.0,69541.0,95938.0,325.0103611565036,428.1206925244443,413.201329961713
69541,19096,69541.0,65277.0,69541.0,95936.0,320.86534262040396,421.0105348509111,406.7632939540089
69541,19081,69541.0,65254.0,69541.0,95901.0,316.50248178267873,413.52925459272694,400.0013885028666
69541,19093,69541.0,65268.0,69541.0,95944.0,311.9206137119186,405.67700407990174,392.91736878741244
69552,19087,69552.0,65307.0,69552.0,95937.0,307.11838800362125,397.4522595447216,385.51259309651965
69552,19088,69552.0,65336.0,69552.0,95919.0,302.09443296419664,388.85253779086014,377.78846428473275
69552,19087,69552.0,65328.0,69552.0,95912.0,296.84757544125296,379.8755052773447,369.7467722514531
