c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
70107,7163,70107.0,37717.0,70107.0,32280.0,-26.34510539070061,-55.50232875829195,-77.29726743651419
70107,7146,70107.0,37700.0,70107.0,32272.0,-28.59552417994183,-55.868168174381154,-79.33518883282503
70117,7149,70117.0,37732.0,70117.0,32275.0,-30.907880085791344,-56.27073058086168,-81.41355057153969
70117,7152,70117.0,37738.0,70117.0,32269.0,-33.279417539977615,-56.712577296529254,-83.53048328133961
70117,7155,70117.0,37737.0,70117.0,32262.0,-35.70749407491732,-57.195859775973794,-85.68424033852357
70117,7150,70117.0,37718.0,70117.0,32274.0,-38.18947663075947,-57.722069693659435,-87.87324745197307
70117,7141,70117.0,37713.0,70117.0,32269.0,-40.722668519722944,-58.29210143562783,-90.09609449230385
70117,7138,70117.0,37725.0,70117.0,32264.0,-43.30435213013355,-58.90649338500274,-92.35145949784301
70128,7152,70128.0,37720.0,70128.0,32270.0,-45.9318604379853,-59.56555453152609,-94.63806406589484
70128,7145,70128.0,37731.0,70128.0,32261.0,-48.60252765922629,-60.26931162696262,-96.95466826770802
70128,7133,70128.0,37719.0,70128.0,32266.0,-51.31357174664501,-61.01741246540971,-99.30005858349276
70128,7129,70128.0,37714.0,70128.0,32261.0,-54.06210511919605,-61.80910873502499,-101.67303496900269
70128,7117,70128.0,37686.0,70128.0,32247.0,-56.84529192744712,-62.64341154313412,-104.07242542510309
70128,7124,70128.0,37691.0,70128.0,32245.0,-59.66051635837717,-63.519433802329296,-106.49718679639582
70138,7123,70138.0,37701.0,70138.0,32258.0,-62.50545481275525,-64.43672320477329,-108.94653921894788
70138,7122,70138.0,37722.0,70138.0,32258.0,-65.37802977831701,-65.39530248949029,-111.41995211551085
70138,7130,70138.0,37718.0,70138.0,32241.0,-68.27630416252552,-66.39538868472957,-113.91700807186122
70138,7111,70138.0,37697.0,70138.0,32243.0,-71.19838293647784,-67.4371070268957,-116.43737733955624
70138,7109,70138.0,37703.0,70138.0,32238.0,-74.14240512655785,-68.5204909667775,-118.98093333463713
70138,7112,70138.0,37722.0,70138.0,32238.0,-77.10664240529476,-69.64562255247158,-121.54784724479387
70148,7107,70148.0,37718.0,70148.0,32249.0,-80.08956672869971,-70.8125732032164,-124.13858484690208
70148,7118,70148.0,37726.0,70148.0,32257.0,-83.08980612717016,-72.02116308579079,-126.7537771975262
70148,7112,70148.0,37700.0,70148.0,32242.0,-86.10602715092442,-73.27081027125396,-129.39400161016135
70148,7089,70148.0,37694.0,70148.0,32235.0,-89.13684924924047,-74.56062752898218,-132.05966920145434
70148,7087,70148.0,37686.0,70148.0,32233.0,-92.18094695358236,-75.88972225382778,-134.7511181510207
70148,7099,70148.0,37700.0,70148.0,32236.0,-95.23726503102588,-77.25747491892095,-137.46875076373655
70159,7088,70159.0,37722.0,70159.0,32239.0,-98.30508356635166,-78.66355323424624,-140.21305040138552
70159,7102,70159.0,37718.0,70159.0,32244.0,-101.38391276924041,-80.10762155648007,-142.9844762465595
70159,7089,70159.0,37709.0,70159.0,32241.0,-104.47336323860063,-81.58899852850189,-145.78330671449015
70159,7083,70159.0,37676.0,70159.0,32226.0,-107.57307467415147,-83.10660901802052,-148.6095367330118
70159,7080,70159.0,37683.0,70159.0,32215.0,-110.68275364196982,-84.65930323140996,-151.46294423429492
70159,7094,70159.0,37699.0,70159.0,32227.0,-113.8022354098644,-86.24621721615449,-154.3432833596536
70169,7087,70169.0,37709.0,70169.0,32230.0,-116.93141201253523,-87.86679027936037,-157.25037367920947
70169,7070,70169.0,37706.0,70169.0,32224.0,-120.07010547780646,-89.52047172926999,-160.18399234253855
70169,7069,70169.0,37691.0,70169.0,32215.0,-123.21810073232692,-91.20647515810899,-163.14375939592622
70169,7067,70169.0,37678.0,70169.0,32210.0,-126.37530783676866,-92.92381301361108,-166.12917412400327
70169,7066,70169.0,37681.0,70169.0,32204.0,-129.5418592796338,-94.67154470200333,-169.13974778745865
70169,7079,70169.0,37690.0,70169.0,32208.0,-132.71807352541578,-96.44898123983519,-172.1751174196831
70179,7070,70179.0,37703.0,70179.0,32203.0,-135.9043131455586,-98.25564613498524,-175.2350820088264
70179,7060,70179.0,37690.0,70179.0,32195.0,-139.1008468044732,-100.09104918343544,-178.31959547922241
70179,7064,70179.0,37664.0,70179.0,32191.0,-142.30784258470734,-101.95456663767763,-181.4288055216809
70179,7043,70179.0,37668.0,70179.0,32194.0,-145.52546026369683,-103.84563620581234,-184.56313422593556
70179,7058,70179.0,37682.0,70179.0,32201.0,-148.75395551620446,-105.76404833830088,-187.72328718161282
70179,7050,70179.0,37705.0,70179.0,32198.0,-151.99373127734378,-107.70993109872718,-190.91013841749242
70190,7056,70190.0,37690.0,70190.0,32199.0,-155.2452836410565,-109.68340029355485,-194.12457412974373
70190,7044,70190.0,37670.0,70190.0,32189.0,-158.50910906431778,-111.68427555551898,-197.36740040573835
70190,7031,70190.0,37653.0,70190.0,32181.0,-161.78570237980261,-113.7121983159614,-200.63935943752426
70190,7041,70190.0,37667.0,70190.0,32185.0,-165.07566786190563,-115.76701203448746,-203.94122586660455
70190,7035,70190.0,37656.0,70190.0,32177.0,-168.37980571671687,-117.84902221105975,-207.27388609639473
70190,7047,70190.0,37691.0,70190.0,32201.0,-171.6990566004243,-119.95897428512956,-210.63830947921446
70200,7035,70200.0,37711.0,70200.0,32179.0,-175.03435878131992,-122.0977352459881,-214.03539718330595
70200,7043,70200.0,37679.0,70200.0,32179.0,-178.38652315004902,-124.26578214411487,-217.46584227528552
70200,7025,70200.0,37656.0,70200.0,32164.0,-181.75617664251723,-126.46295281666181,-220.93016491068033
70200,7016,70200.0,37661.0,70200.0,32174.0,-185.1438125006856,-128.68872594428052,-224.42885785085025
70200,7038,70200.0,37689.0,70200.0,32182.0,-188.54990687622112,-130.9425690355742,-227.96242979800815
70200,7030,70200.0,37701.0,70200.0,32180.0,-191.97490546013464,-133.2238241396833,-231.5312574883993
70210,7023,70210.0,37687.0,70210.0,32171.0,-195.4190538151802,-135.53125070448937,-235.1353841411386
70210,7004,70210.0,37655.0,70210.0,32163.0,-198.8823385283547,-137.86276593770106,-238.7744585289621
70210,7009,70210.0,37647.0,70210.0,32151.0,-202.36464440919872,-140.21568019915287,-242.44784300201292
70210,7006,70210.0,37645.0,70210.0,32149.0,-205.86593143270193,-142.58718666722672,-246.15479738364115
70210,7011,70210.0,37644.0,70210.0,32161.0,-209.38626346042986,-144.97470668853933,-249.89460721484613
70210,7003,70210.0,37669.0,70210.0,32153.0,-212.92572516747666,-147.3759431656419,-253.66654708883578
70221,7000,70221.0,37651.0,70221.0,32156.0,-216.4843526442257,-149.78870075251243,-257.46973981029174
70221,6997,70221.0,37628.0,70221.0,32143.0,-220.06213231138605,-152.21072792140524,-261.3030672298166
