c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
69705,15068,69705,38570,69705,63311,-518.0278564583526,-351.7829601558509,-772.9613941048711
69705,15059,69705,38570,69705,63268,-528.4014503718049,-357.84238468280427,-789.6915241345906
69716,15061,69716,38583,69716,63277,-539.0703412652856,-364.127499441905,-806.8744585867893
69716,15068,69716,38591,69716,63299,-550.0293533677974,-370.63810557107973,-824.4989404586688
69716,15042,69716,38601,69716,63270,-561.272408712423,-377.37263927496076,-842.5527587043674
69716,15013,69716,38538,69716,63243,-572.7924461766788,-384.3278635536991,-861.0223411488205
69716,14992,69716,38494,69716,63187,-584.5816776023546,-391.4990951817509,-879.8927851002884
69716,14978,69716,38508,69716,63185,-596.6320496768908,-398.8810338187983,-899.1483625245621
69726,14989,69726,38535,69726,63185,-608.9355839793988,-406.4684446195034,-918.7730105165509
69726,14994,69726,38554,69726,63180,-621.4843748612159,-414.2560347740374,-938.7503785429799
69726,14974,69726,38511,69726,63174,-634.2703020813436,-422.2378479422312,-959.0635038023864
69726,14959,69726,38498,69726,63124,-647.284784271789,-430.40696802907235,-979.6945078330727
69726,14936,69726,38468,69726,63101,-660.5188021765048,-438.7557996267809,-1000.6246326418811
69726,14932,69726,38503,69726,63102,-673.9630948017475,-447.27650238749186,-1021.834552170716
69737,14931,69737,38521,69737,63116,-687.6082960390064,-455.96101697451604,-1043.3044841302374
69737,14933,69737,38514,69737,63088,-701.4448582548162,-464.8005614220448,-1065.0138518826202
69737,14906,69737,38474,69737,63055,-715.4628299322235,-473.78510612045034,-1086.940881520023
69737,14894,69737,38445,69737,63004,-729.6517325428088,-482.9033984029995,-1109.0626245449785
69737,14868,69737,38438,69737,62966,-744.0006604173828,-492.1434864643021,-1131.355467565392
69737,14870,69737,38437,69737,62966,-758.4984784814072,-501.49323299150444,-1153.7957978486356
69747,14871,69747,38447,69747,63006,-773.1338976193059,-510.9404647374354,-1176.3602730143375
69747,14855,69747,38445,69747,62961,-787.895330887162,-520.4727806853881,-1199.0254042098286
69747,14837,69747,38427,69747,62962,-802.7707009305811,-530.0772600220403,-1221.7669108843786
69747,14820,69747,38389,69747,62908,-817.7474155201226,-539.7403819734238,-1244.559442898924
69747,14800,69747,38391,69747,62920,-832.8125014749783,-549.4482935100624,-1267.3766606399658
69747,14801,69747,38416,69747,62914,-847.9527557190302,-559.1871015607132,-1290.1912833790998
69757,14805,69757,38433,69757,62886,-863.1547499645823,-568.9427024642446,-1312.9748780484315
69757,14794,69757,38404,69757,62857,-878.4046064770932,-578.7002057743238,-1335.6976240646654
69757,14772,69757,38375,69757,62824,-893.6877153479836,-588.4435599921632,-1358.3283748677868
69757,14740,69757,38317,69757,62810,-908.9886750218278,-598.1558137862701,-1380.8349422584783
69757,14746,69757,38322,69757,62795,-924.2914848813157,-607.8198735774437,-1403.1843333580332
69757,14744,69757,38361,69757,62789,-939.5796868275735,-617.4191286520603,-1425.3427854003603
69768,14742,69768,38379,69768,62797,-954.8362135247082,-626.9373149734726,-1447.2755710881825
69768,14725,69768,38374,69768,62750,-970.0430774057115,-636.3577335807298,-1468.946668696124
69768,14702,69768,38321,69768,62713,-985.1811822895816,-645.6626072853248,-1490.31862386289
69768,14671,69768,38306,69768,62684,-1000.2303998516243,-654.8331327333559,-1511.3528592236646
69768,14664,69768,38319,69768,62685,-1015.169858945014,-663.8499835380488,-1532.010163933817
