c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
949.0,8941.0,949.0,44136.0,949.0,64746.0,-25.814156426147218,-41.639595234274466,-38.54147703552702
949.0,8947.0,949.0,44138.0,949.0,64726.0,-28.067081452316838,-45.2260373384475,-46.44760331405156
949.0,8944.0,949.0,44144.0,949.0,64762.0,-30.375084566804443,-48.86732353084635,-54.48231041554121
949.0,8941.0,949.0,44167.0,949.0,64724.0,-32.73599565364597,-52.56178121401528,-62.631394956995564
949.0,8941.0,949.0,44145.0,949.0,64690.0,-35.147246073769466,-56.306954336671595,-70.87993302741769
949.0,8937.0,949.0,44160.0,949.0,64692.0,-37.60586552156245,-60.09931747260059,-79.2125204901749
960.0,8932.0,960.0,44136.0,960.0,64711.0,-40.108493582834356,-63.9341685249585,-87.61362161061237
960.0,8920.0,960.0,44173.0,960.0,64693.0,-42.65143644623201,-67.80559291607467,-96.06753271987162
960.0,8913.0,960.0,44131.0,960.0,64678.0,-45.23080732692107,-71.70635775687236,-104.55813141059107
960.0,8923.0,960.0,44085.0,960.0,64642.0,-47.84269203298887,-75.62795272596978,-113.06888127762804
960.0,8911.0,960.0,44063.0,960.0,64640.0,-50.48321837609129,-79.56115834867367,-121.58316557997676
960.0,8909.0,960.0,44055.0,960.0,64616.0,-53.14854978952183,-83.49695576219935,-130.084695368678
970.0,8910.0,970.0,44048.0,970.0,64619.0,-55.83491053597634,-87.42722173278814,-138.55779226668838
970.0,8924.0,970.0,44034.0,970.0,64602.0,-58.53858191829824,-91.3450736181661,-146.98752821118393
970.0,8907.0,970.0,44087.0,970.0,64606.0,-61.25578259675268,-95.24496167082286,-155.359767186638
970.0,8897.0,970.0,44035.0,970.0,64579.0,-63.98258288981029,-99.12248057230393,-163.66117014333707
970.0,8894.0,970.0,44077.0,970.0,64575.0,-66.71501305527616,-102.97408251500428,-171.8792586742986
970.0,8906.0,970.0,44062.0,970.0,64553.0,-69.44922401860549,-106.79689232587889,-180.00257835668143
980.0,8901.0,980.0,44134.0,980.0,64567.0,-72.18148211485675,-110.58838190597386,-188.02086704607194
980.0,8900.0,980.0,44110.0,980.0,64575.0,-74.90804046728343,-114.34567945377549,-195.9250423122781
980.0,8896.0,980.0,44094.0,980.0,64596.0,-77.62505509344831,-118.06485557145442,-203.70687680950138
980.0,8881.0,980.0,44035.0,980.0,64541.0,-80.3286065731213,-121.74080965989874,-211.35854401459054
980.0,8868.0,980.0,44012.0,980.0,64531.0,-83.01484561590989,-125.36793684160565,-218.8725101785006
980.0,8879.0,980.0,44032.0,980.0,64527.0,-85.68022420331745,-128.94106964031383,-226.2418840509076
991.0,8866.0,991.0,44045.0,991.0,64529.0,-88.32165255405339,-132.45598224065697,-233.46075309441113
991.0,8855.0,991.0,44048.0,991.0,64517.0,-90.93656178838447,-135.90924702230012,-240.52422106488407
991.0,8863.0,991.0,43991.0,991.0,64520.0,-93.52300595548402,-139.29795955237475,-247.4283211883609
991.0,8872.0,991.0,44054.0,991.0,64490.0,-96.07973065242427,-142.61979962765906,-254.16998925244553
