c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
35170.0,12637.0,35170.0,14139.0,35170.0,42537.0,-343.06650996663745,-226.7819761646146,-674.9743129862645
35170.0,12619.0,35170.0,14123.0,35170.0,42548.0,-350.40494937826946,-233.05249348974695,-687.7523680019558
35170.0,12617.0,35170.0,14118.0,35170.0,42527.0,-357.9073206854593,-239.47442907783812,-700.9269331261885
35170.0,12608.0,35170.0,14111.0,35170.0,42505.0,-365.5688554670736,-246.04472038050363,-714.4981595914066
35180.0,12617.0,35180.0,14139.0,35180.0,42517.0,-373.3850254901806,-252.76056450770886,-728.465374045539
35180.0,12598.0,35180.0,14140.0,35180.0,42525.0,-381.3514950328707,-259.619173732562,-742.8270656259585
35180.0,12593.0,35180.0,14109.0,35180.0,42471.0,-389.4640725107731,-266.6173786700822,-757.5806784461053
35180.0,12581.0,35180.0,14094.0,35180.0,42464.0,-397.71876678053604,-273.7515021800806,-772.7225738118639
35180.0,12568.0,35180.0,14068.0,35180.0,42457.0,-406.1119178989089,-281.017657899728,-788.2483160505519
35180.0,12570.0,35180.0,14066.0,35180.0,42452.0,-414.64032961069375,-288.4122043669969,-804.1528813706446
35191.0,12588.0,35191.0,14097.0,35191.0,42438.0,-423.30128428282313,-295.93200272847315,-820.430601686062
35191.0,12577.0,35191.0,14097.0,35191.0,42448.0,-432.0923230124065,-303.57423125294434,-837.0750014154685
35191.0,12577.0,35191.0,14102.0,35191.0,42426.0,-441.0109205166888,-311.33586401105475,-854.0785861281524
35191.0,12552.0,35191.0,14068.0,35191.0,42399.0,-450.0543098757433,-319.21324486907247,-871.432666219265
35191.0,12543.0,35191.0,14061.0,35191.0,42397.0,-459.21954220737814,-327.20204224315097,-889.1273716831666
35191.0,12539.0,35191.0,14060.0,35191.0,42375.0,-468.50367612960855,-335.29746533410025,-907.1517651732825
35201.0,12539.0,35201.0,14074.0,35201.0,42384.0,-477.9039008031574,-343.494375688476,-925.4938452227868
35201.0,12543.0,35201.0,14075.0,35201.0,42375.0,-487.41747527171094,-351.7870878208953,-944.1403752193462
35201.0,12519.0,35201.0,14033.0,35201.0,42340.0,-497.04156716296677,-360.1690735790719,-963.076635660839
35201.0,12518.0,35201.0,14033.0,35201.0,42327.0,-506.7731770217973,-368.6329508959551,-982.2863409429068
35201.0,12499.0,35201.0,14004.0,35201.0,42300.0,-516.6092090786896,-377.17078547168717,-1001.7517960312539
35201.0,12509.0,35201.0,14020.0,35201.0,42292.0,-526.5465651027176,-385.77439801589503,-1021.4540992651728
35211.0,12498.0,35211.0,14017.0,35211.0,42285.0,-536.582131919936,-394.4354425519138,-1041.3732259160802
35211.0,12489.0,35211.0,14012.0,35211.0,42279.0,-546.7126788863502,-403.1452439035139,-1061.4879323980722
35211.0,12476.0,35211.0,13990.0,35211.0,42248.0,-556.9348010052377,-411.8946091488235,-1081.775558678597
35211.0,12478.0,35211.0,13992.0,35211.0,42243.0,-567.2449482674057,-420.67381367116457,-1102.2119157584432
35211.0,12468.0,35211.0,13981.0,35211.0,42226.0,-577.639430019525,-429.472679132065,-1122.771275143491
35211.0,12479.0,35211.0,13991.0,35211.0,42247.0,-588.114317573687,-438.28056356962225,-1143.4262587186195
35222.0,12471.0,35222.0,13984.0,35222.0,42223.0,-598.6652451782726,-447.08621335851547,-1164.1474942678028
35222.0,12458.0,35222.0,14002.0,35222.0,42215.0,-609.2871843564794,-455.8775036858913,-1184.903183236177
35222.0,12449.0,35222.0,13960.0,35222.0,42158.0,-619.9743334157127,-464.6411610011626,-1205.6588994107676
35222.0,12421.0,35222.0,13948.0,35222.0,42134.0,-630.7201830024092,-473.3627025854786,-1226.3778097779389
35222.0,12427.0,35222.0,13945.0,35222.0,42136.0,-641.5176951531669,-482.02667664253556,-1247.0211324849952
35222.0,12419.0,35222.0,13926.0,35222.0,42135.0,-652.3594422474105,-490.6169342222605,-1267.5483554941302
35232.0,12422.0,35232.0,13941.0,35232.0,42106.0,-663.2375684742116,-499.1167331256812,-1287.917055281579
35232.0,12408.0,35232.0,13968.0,35232.0,42101.0,-674.1436286931635,-507.5086055052701,-1308.0826568757043
35232.0,12395.0,35232.0,13942.0,35232.0,42080.0,-685.0684729123512,-515.773937087693,-1327.9983490971317
35232.0,12389.0,35232.0,13905.0,35232.0,42066.0,-696.0022535582219,-523.8926127384084,-1347.615063352011
35232.0,12390.0,35232.0,13886.0,35232.0,42019.0,-706.9344647655018,-531.8431964509161,-1366.881527609686
35232.0,12376.0,35232.0,13927.0,35232.0,42016.0,-717.8538966292188,-539.6033873739923,-1385.744504405587
35242.0,12373.0,35242.0,13891.0,35242.0,42036.0,-728.7485452324374,-547.1501292618261,-1404.1490141754982
35242.0,12358.0,35242.0,13890.0,35242.0,42008.0,-739.6055698793571,-554.4594266825031,-1422.038201608404
35242.0,12360.0,35242.0,13869.0,35242.0,41939.0,-750.4112878031472,-561.5063382323858,-1439.3531199965805
35242.0,12342.0,35242.0,13860.0,35242.0,41950.0,-761.1511602177093,-568.2651920536854,-1456.033010155391
35242.0,12333.0,35242.0,13858.0,35242.0,41943.0,-771.809792415849,-574.7098139929842,-1472.015826897849
35242.0,12324.0,35242.0,13867.0,35242.0,41942.0,-782.370992904494,-580.8136316151405,-1487.2383775523367
35253.0,12330.0,35253.0,13832.0,35253.0,41928.0,-792.8178232669712,-586.5496468223203,-1501.636115000318
35253.0,12322.0,35253.0,13857.0,35253.0,41902.0,-803.1325259467649,-591.8904398339414,-1515.1429960679602
35253.0,12301.0,35253.0,13835.0,35253.0,41890.0,-813.296395259211,-596.8082256373584,-1527.6915813981711
35253.0,12296.0,35253.0,13816.0,35253.0,41859.0,-823.2897743397812,-601.2749030836808,-1539.213328343303
35253.0,12293.0,35253.0,13824.0,35253.0,41860.0,-833.0921644669772,-605.2622128773767,-1549.6389576310376
35253.0,12305.0,35253.0,13859.0,35253.0,41860.0,-842.6822328802274,-608.7418596588492,-1558.8987381639497
35263.0,12275.0,35263.0,13835.0,35263.0,41843.0,-852.0376630908238,-611.6852935124207,-1566.922586954212
35263.0,12272.0,35263.0,13775.0,35263.0,41800.0,-861.1350669372057,-614.063505966006,-1573.6401888159014
35263.0,12252.0,35263.0,13793.0,35263.0,41803.0,-869.9501048132463,-615.8474201878735,-1578.9814234197179
35263.0,12241.0,35263.0,13778.0,35263.0,41803.0,-878.4577156615492,-617.0085950171231,-1582.8769238896318
35263.0,12257.0,35263.0,13802.0,35263.0,41771.0,-886.6323016889174,-617.5196002187159,-1585.258455524257
35263.0,12249.0,35263.0,13790.0,35263.0,41763.0,-894.4477269512258,-617.3540112600431,-1586.0592686558107
35273.0,12246.0,35273.0,13790.0,35273.0,41781.0,-901.8771448003758,-616.4863280511036,-1585.2145735523427
35273.0,12218.0,35273.0,13764.0,35273.0,41748.0,-908.8929019320722,-614.8920593242676,-1582.6619330942149
35273.0,12218.0,35273.0,13770.0,35273.0,41756.0,-915.4666797756629,-612.5480422821062,-1578.3415935246562
35273.0,12204.0,35273.0,13762.0,35273.0,41735.0,-921.5697628132011,-609.4328465216431,-1572.1969576560764
35273.0,12191.0,35273.0,13791.0,35273.0,41757.0,-927.1732849840673,-605.5270383456923,-1564.1751255534382
35273.0,12199.0,35273.0,13780.0,35273.0,41768.0,-932.2484348615767,-600.8132150823568,-1554.2272920244272
35284.0,12195.0,35284.0,13775.0,35284.0,41732.0,-936.766576009099,-595.2759759833249,-1542.309018807222
35284.0,12192.0,35284.0,13783.0,35284.0,41741.0,-940.6992449939021,-588.902058941424,-1528.380702771533
35284.0,12175.0,35284.0,13763.0,35284.0,41726.0,-944.0181615478863,-581.6806313798119,-1512.408365004629
35284.0,12190.0,35284.0,13792.0,35284.0,41779.0,-946.6953489320172,-573.6036102659625,-1494.3644180167328
35284.0,12168.0,35284.0,13795.0,35284.0,41773.0,-948.7032763726631,-564.6658881481262,-1474.2280903793815
35284.0,12186.0,35284.0,13813.0,35284.0,41821.0,-950.014963759741,-554.8653723799661,-1451.9855643170488
35294.0,12176.0,35294.0,13814.0,35294.0,41817.0,-950.6040596122532,-544.2029409049712,-1427.630063690297
35294.0,12177.0,35294.0,13818.0,35294.0,41838.0,-950.4448952046016,-532.682486681774,-1401.162064824883
35294.0,12163.0,35294.0,13829.0,35294.0,41856.0,-949.5125946277326,-520.31108916954,-1372.5896931320774
35294.0,12165.0,35294.0,13859.0,35294.0,41924.0,-947.7833104175791,-507.09918929649325,-1341.9291193113772
35294.0,12191.0,35294.0,13868.0,35294.0,41956.0,-945.2344560326068,-493.06060578115785,-1309.20463106737
35294.0,12182.0,35294.0,13884.0,35294.0,42010.0,-941.8447457179244,-478.21244103457906,-1274.4483858811993
35305.0,12171.0,35305.0,13889.0,35305.0,42040.0,-937.5941578347329,-462.5750664235307,-1237.7001395082882
35305.0,12165.0,35305.0,13917.0,35305.0,42077.0,-932.4641299448805,-446.17222276556345,-1199.0071434347099
35305.0,12168.0,35305.0,13926.0,35305.0,42140.0,-926.4379822452594,-429.0311180175617,-1158.4241836921976
35305.0,12181.0,35305.0,13984.0,35305.0,42178.0,-919.5013028142066,-411.1823999630078,-1116.0135874796113
35305.0,12179.0,35305.0,13994.0,35305.0,42256.0,-911.6421656837238,-392.659920043207,-1071.8450885541583
35305.0,12211.0,35305.0,14047.0,35305.0,42313.0,-902.8512267188505,-373.5003338867742,-1025.9955493695652
35315.0,12204.0,35315.0,14043.0,35315.0,42370.0,-893.1217361359579,-353.74271553119917,-978.5485741279974
35315.0,12224.0,35315.0,14074.0,35315.0,42440.0,-882.44953069382,-333.42835009713644,-929.5941316782516
35315.0,12237.0,35315.0,14070.0,35315.0,42506.0,-870.8330806498611,-312.6007744807213,-879.2282219793237
35315.0,12248.0,35315.0,14185.0,35315.0,42617.0,-858.2735470907469,-291.30582795071246,-827.552417270995
35315.0,12279.0,35315.0,14170.0,35315.0,42672.0,-844.7747909950937,-269.5912761412126,-774.6731412789543
35315.0,12283.0,35315.0,14205.0,35315.0,42777.0,-830.3433319633929,-247.50616885560913,-720.700802568794
35325.0,12298.0,35325.0,14233.0,35325.0,42810.0,-814.9883212457737,-225.10050689835592,-665.749031572739
35325.0,12319.0,35325.0,14259.0,35325.0,42893.0,-798.7216138488943,-202.4251859937548,-609.9341897343209
35325.0,12329.0,35325.0,14312.0,35325.0,42984.0,-781.5578888283085,-179.53185595180452,-553.3750722151799
35325.0,12366.0,35325.0,14346.0,35325.0,43072.0,-763.5147263101626,-156.47258820037462,-496.1924543408908
35325.0,12394.0,35325.0,14383.0,35325.0,43153.0,-744.612576003481,-133.2994006066055,-438.5083443747483
35325.0,12425.0,35325.0,14396.0,35325.0,43236.0,-724.8745700853689,-110.06382813474329,-380.4451795345385
35336.0,12429.0,35336.0,14421.0,35336.0,43290.0,-704.3263072895282,-86.81672991224644,-322.12517379613905
35336.0,12460.0,35336.0,14448.0,35336.0,43377.0,-682.9958098190981,-63.60830270412521,-263.6698843525236
35336.0,12490.0,35336.0,14503.0,35336.0,43454.0,-660.9136117776319,-40.488064396345976,-205.1998895614962
35336.0,12535.0,35336.0,14540.0,35336.0,43557.0,-638.1127353612048,-17.50457313467433,-146.83432957620084
35336.0,12557.0,35336.0,14562.0,35336.0,43630.0,-614.6284647763797,5.295060795063534,-88.69021063993864
35336.0,12586.0,35336.0,14580.0,35336.0,43684.0,-590.4980868055806,27.86555014350921,-30.88168572776067
35346.0,12605.0,35346.0,14595.0,35346.0,43753.0,-565.760776987134,50.163502201224674,26.480374528034872
35346.0,12639.0,35346.0,14608.0,35346.0,43817.0,-540.4576281767291,72.14726297394134,83.28851218302816
35346.0,12676.0,35346.0,14643.0,35346.0,43901.0,-514.6316826054408,93.7766993597686,139.43879443909123
35346.0,12730.0,35346.0,14699.0,35346.0,43966.0,-488.3278082502139,115.01315543282203,194.8310897867675
35346.0,12770.0,35346.0,14732.0,35346.0,44038.0,-461.59234526765306,135.8197885301035,249.3694585837752
35346.0,12805.0,35346.0,14720.0,35346.0,44108.0,-434.4726303198507,156.16206985425248,302.96254191438175
